,별점,주문메뉴,리뷰,사진
0,5,[],맛있어요 양도 많구 ㅋㅋㅋ짱,[]
1,4,[],양많고 맛도 맛있어요.근데 가끔 살보다는 껍질이많을때가 있네요.,[]
2,4,[],올레파닭이 올레파닭이죠 뭐.,[]
3,5,[],깔끔하게  조으네요.전화통화해서 주소 안불러도되고 편하니 조으네요.,[]
4,5,[],다음에도 또 시켜먹을게요느낌 아니까~,[]
5,4,[],상상하,[]
6,4,[],후라이드+매운양념 주문했는데. . . 저도 매운거 좋아하고 잘 먹는편인데 진짜 맵네요!! 후라이드는 바삭바삭한게 맛나요!!,[]
7,4,[],껍데기만튀겨져있는게 몇개있지만 파가많이맵지도않고 좋네욤,[]
8,2,[],글쎄요...,[]
9,4,[],소스 담는 작은 접시 주시면 더 젛을거 같아요,[]
10,4,[],기본 음료는 없네요ㅜㅜ꼭 사이드메뉴에서 추가하구 드시길맛은 있으나 껍질만 튀겨진게 많고간장+강정 선택했는데..셋이 먹다보니 느끼해지더라구요양념 조합도 주의해야 할 듯,[]
11,3,[],배송시간에 딱 맞춰와서 좋앗어요..음식이.좀 식어서 와서 아쉽지만요...,[]
12,5,[],가격이 타 업체보다 2000원정도 비싸지만파도 신선하고 굉장히 맛있어요,[]
13,5,[],매운양념치킨은 진짜 매운거 잘 드시는 분만 시키세요엄청매워요,[]
14,4,[],매운맛은 매운거 좋아하는사람한텐 짱간장소스는 너무 짬....파 엄청 마니줘서 ....좋아용~~~음료는 안주니 따로시켜야함,[]
15,3,[],배송: 주문후 15분 빠름. 좋아요식감: 후라이드는 보기와 먹기 좋지는 않앗어요       남은 재료를 사용한 듯한 불규칙한       모양세가 전체적으로 살코기가 거의 없어서       양념은 모양세나 맛이 괜찬았습니다양념으로 추천드려요,[]
16,5,[],맛없어요,[]
17,4,[],바삭바삭하고  달달하게 맛나요,[]
18,2,[],맛은있는데 전화로해서시키면왜그리싸가지가없는건지 좋게전화했는데 전화받는사람은 영ㅡㅅㅡ시비거는것같아서짜증남,[]
19,4,[],맛은있는데 아주쬐끔퍽퍽하네요 배달은친절이요 ㅎㅎ,[]
20,5,[],싸고 맛잇어요!가격에 비해 많음!,[]
21,5,[],양도 많고 맛있어요! 배송시간이랑 비슷하게 왔네영배송하시는분도 친절해요~담에 또 시킬거에요,[]
22,5,[],매번시켜먹었는데요기요를 통해서도 주문가능한게참 편리해졌네요~,[]
23,4,[],양많고 좋은데 파가좀매워서..,[]
24,5,[],또 시켜먹었어용! 항상 친절하시고 양도 많고 맛있어요!간장 짱 b,[]
25,1,[],ㅡㅡ 여자친구랑 새벽에 먹고 화장실만 서로 4번씩가고잇네다신 안먹어 ㅡㅡ,[]
26,5,[],좋아요,[]
27,5,[],"배달 빠르고, 비주얼 좋고, 맛도 괜찮은 편...껍질만 튀겨진 몇몇개도 딱 제 스타일",[]
28,5,[],이번엔 다른맛으로  시켜봤는데 강정맛 정말 맛있네요,[]
29,4,[],책으로주문하는거보다 천원비싸네요맛잇고 겨자소스더주셧으면..,[]
30,4,[],맛있어요,[]
31,5,[],이거시키면천원더줘안돼요,[]
32,5,[],"매운양념과 후라이를 시켰는 데..파도 듬뿍주고, 서비스도 좋아요",[]
33,4,[],배달은 삼십분걸린다고 문자왓는데 그정도걸렷어요 만들어서 갖다주시면 그정도걸린다고생각하고 매운맛이랑 간장맛 시켯는데 둘다맛잇어요 간장맛보다 매운맛이더맛잇엇어요 만족했습니다,[]
34,5,[],배달도 정확하고 치킨도 맛있어요,[]
