,별점,주문메뉴,리뷰,사진
0,3,"['등심돈까스', '우동', '치즈스틱', '콜라 500mL', '사이다 500mL']",우동 맛있고요..돈까스도 맛나요..소스맛이 좀 이상해요..아이들이 싫어하네요.,[]
1,2,"['등심돈까스', '오므라이스']",이 가격이면 차라리 김밥천국이 낫겠네요. 배달도 문자로 온 시간보다 훨씬 지나서 와서 짜증났습니다.,[]
2,5,['등심돈까스'],너무 배고팟는데 맛닛게 잘먹엇어오 ㅎㅎ,[]
3,4,['매운소스돈까스'],맛있었어요 돈가스 튀김도 바삭하고 고기도 두툼하고 !!,[]
4,1,"['등심돈까스', '유부우동']",ㅎㅎ갶판 늦고  맛앖고  촤악,[]
5,5,['카레돈까스'],맛있어요~ 자주 주문하게 될 것 같습니다!,[]
6,5,"['고구마무스돈까스', '치즈오븐스파게티', '베이컨볶음밥']",맛 있어요 양도 많아서 배불러 죽는 줄,[]
7,5,[],양이 너무 많아서 겨우 다 먹음,[]
8,3,['치즈오븐스파게티'],치즈 오븐스파게티만 먹으면 느끼하니 다른것과 섞어드세요 맛은 굿,[]
9,2,"['고구마무스치즈돈까스', '베이컨치즈오븐스파게티']","양은 스파게티는 만족하는데 돈까스는 가격대비 양이 너무 적음.배달시간 12분초과그리고 맛은 돈아까움. 스파게티는 진심 너무 짜서 밥이랑 먹었고요, 돈까는 너무 질김. 처음 봤을땐 스마일 감자너겟때매 기분좋았다가 먹기 시작하고 돈이 너무아까움 25000원 주고 사기엔 진심 너무한거 같음.","['https://rev-static.yogiyo.co.kr/2183595fadaec35c0fd2b2c4156d5e24_tn.jpg', 'https://rev-static.yogiyo.co.kr/67c067aa47a3ef2c6960829dd807f049_tn.jpg']"
10,5,"['미트소스스파게티', '베이컨볶음밥', '마늘빵 5조각']",맛은 있는데 양이 넘 적네요!,['https://rev-static.yogiyo.co.kr/3d1064e5162480092b55bac05e708a9a_tn.jpg']
11,4,"['치즈돈까스', '카레볶음우동']",lots of food but long delivery time. more than 1 hour!,[]
12,5,"['치즈돈까스', '치킨텐더']",처음시켜보는데 양도많고 빨리와서 좋아요,[]
13,4,['치즈돈까스'],괜찮았습니다 그럭저럭,[]
14,5,['카레돈까스'],카레돈까쓰 추천합니다 ㅎㅎ,[]
15,1,['등심돈까스'],배달비 3천원받는건 대행을 쓰는거아닌가요? 아무리바빠도 대행쓰는데 45분걸린다하시고 1시간넘어서 배달이오면 참 난감하고 화나네요 대행도 아닌것 같던데 전화하려다가 그냥 먹습니다 밥은 떡이고요 감자는 눅눅하고 너무하네요,[]
16,4,"['등심돈까스', '물냉면']",그냥저냥 괜찬았습니다,[]
17,1,"['등심돈까스', '함박스테이크']",별로~~~~~~~~~~~~~~~~~,[]
