,별점,주문메뉴,리뷰,사진
0,1,[],최악. 오픈이 열시라 열시에 주문했으나 배달 한시간 반 소요. 피자 박스부터 피자까지 차갑게 식어서 배달 옴. 왜이리 늦는지 문의 하니 주문이 밀렸다는 말만하고 출발은 안함. 안시켜야지,[]
1,1,['고르곤졸라피자'],이집 너무 건방지네 두시간넘어서오고 밀려서난 영업시간지나서 자연스럽게 취소된줄알았다결제는 했는데 그냥 버림 이**로 장사하지마세요,[]
2,5,"['고구마골드크러스트피자', '치즈오븐스파게티']",맛있어요ㅎ배달도 괜찬은것 같아요,[]
3,3,[],맛은 너무 맛있었어요~특히 도우가 맛있네요~근데 어제 날씨 상황이 안좋아서 그랬는지 배달이 한시강나 걸렸어요 ㅠㅠ 그래도 맛있게 잘 먹었습니다~,[]
4,1,['리치골드피자'],진짜 이렇게 맛없는 피자 처음먹어보네욪. 다신 주문안합니다,[]
5,5,"['리치골드피자', '치킨텐더 10EA']",으무느무 맛잇는거~~~단골 예약이요ㅎㅎㅎㅎ,[]
6,5,['올리브세트 2（피자 R 한판＋치즈오븐스파게티＋콜라 500mL）'],고구마 치즈는 필히 추가해서 드세요그러면 정말 끝내줍니다.,[]
7,5,"['랍스타콤비피자', '순살치킨']",배달이 좀 늦기는 하지만 양과 맛은 좋습니다,[]
8,5,"['고구마골드크러스트피자', '순살치킨']",배달은 좀 느리지만 양과 맛은 좋습니다,[]
9,3,['치즈피자'],그냥배만채운느낌이에요,[]
10,5,"['고구마골드크러스트피자', '순살치킨']",맛도좋고 양도 많은데 배달이 너무 오래걸려요ㅠ,[]
11,2,['콤비네이션'],저희딸진짜 피자 좋아하는데...이건 안먹었어요 맛없다고. 사장님.. 맛 연구를더 하셔야할듯요..,[]
12,5,"['골든고구마피자', '순살치킨']",배달이 많이 아쉽네요한시간 걸리는ㅠ,[]
13,1,['리치골드피자'],배달출발도안해놓고 배달했다하네요,[]
14,2,['까르보나라'],카르보나 파스타를  시켰는데 많이 느끼하네요다음번에는 시키지 않을것같네요배달도 너무 늦께오고요그래도 음식은 따뜻해서  먹을만큼만   먹었네요,[]
15,1,['랍스타콤비피자'],랍스타콤비를시켰는데 이건뭐죠??게다가 올리브피자에다가 주문했는데 정작온건 토마토피자박스에다가 왔음 ㅡㅡ이시간에 전화해도 안받을건뻔하니 그냥 먹고맙니다만 두번다시 안시킬듯...절대비춥니다,"['https://rev-static.yogiyo.co.kr/734a2cfebedaa80843639e026f854694_tn.jpg', 'https://rev-static.yogiyo.co.kr/cc389ceec803a015d34eaf1004a86d64_tn.jpg']"
16,5,['리치골드피자'],맛있게 잘먹었습니다~~,[]
17,5,['핫불닭피자'],맛있어요.핫불 닭불고기 피자가 굿입니다.,[]
18,1,['랍스타콤비피자'],여기절대 금지. 스몰 사이즈 25000임.,['https://rev-static.yogiyo.co.kr/551182512e493d7df1fd75730d3e2792_tn.jpg']
19,5,[],혼자 먹기 적당함 배송도 적당,[]
20,1,['리치골드피자'],솔직히그냥... 되게 평범하기짝이없고 사진보고 주문했더니 사진과는 생판다른 피자가 왔네요 완전 불만족스럽습니다.,['https://rev-static.yogiyo.co.kr/f6ff82be5e15f47d17661a3c1c96e3d4_tn.jpg']
21,3,['리치골드피자'],이름ㅈ하구안어울리는맛. 이맛두저맛두아닌. 고구마피자흉내낸맛~~~ㅜㅜ,[]
22,5,['새우피자'],배달늣어서 짜증낫는데맛이 커버해준다새우존맛여기 시켜먹어라 후회 안한다.,[]
23,3,['핫불닭피자'],배달이. 넘 느려요 ㅠㅠ,[]
24,4,['핫불닭피자'],음  배달이 넘늦게왔어요  그래도  짱맛,[]
25,5,['올리브세트 1（피자 M 한판＋치즈오븐스파게티＋콜라 500mL）'],처음시켜봤는데 너무 맛있네요~,[]
26,5,['올리브세트 1（피자 M 한판＋치즈오븐스파게티＋콜라 500mL）'],맛있습니다👍,[]
