,별점,주문메뉴,리뷰,사진
0,5,[],전에 이용하던 호식이 두마리치킨 있었는데 하도 그지같아서 다른데 찾다가 여기서 시켜먹었느데 돼~~박!!! 맛도 맛있고 가격도 싸고 콜라도 커서 넘 맛있게 먹었네요 ~!! 자주 이용할께요~~,[]
1,5,[],간장치킨 정말 맛있어요 피자도 다른피잣집에 꿀리지도않고ㅎㅎㅎ 굳!,[]
2,5,[],맛괜찮아욧!,[]
3,5,[],맛납니다 엄청! 튀김옷이 적어서 좋네요,[]
4,5,[],가격대비 괜찮네요,[]
5,5,[],잡숴봐  ㅋ ㅋ   난 괜찮은디     먹어봐  잡숴봐   난개인적으로  좋았엉  ㅋ,"['https://rev-static.yogiyo.co.kr/b0453b1c7ec27d85a66967ade2c8499a_tn.jpg', 'https://rev-static.yogiyo.co.kr/405f523be4dc3aca3066cb5c229a7ce4_tn.jpg']"
6,4,[],가격저렴 오리지날치킨 먹을만함,[]
7,5,"['이순이（2마리 맛 선택＋콜라 1.25L）', '이순이 선택 2(양념)']",핵맛잇어요 !!짱,[]
8,5,[],정말 괜찮아요!!,[]
9,5,"['스페셜세트 小（콤비네이션피자M＋후라이드치킨＋감자튀김＋콜라1.25L） ', '피자 토핑 선택(콤비네이션（변경 안함）)']",별점 높은곳으로 찾아 주문함에도 크게 기대안했는데 ....정말 맛있습니다. 강추!!합니다. 단골예약입니다^^~~,[]
10,4,[],후라이드도 약간 매콤해요.감자튀김은... 매력적이지않아요ㅋ,[]
11,5,[],피자 치킨 둘 다 맛있네요특출나다기보다 기본적인 맛 자체를 제대로 지킨 느낌피자도 깔끔하고 담백해요,[]
12,5,[],마시조아,[]
13,4,[],Good,[]
14,5,[],맛도 좋고 친절하게 배달해 주셔서 좋았습니다,[]
15,5,"['스페셜세트 中（콤비네이션피자L＋후라이드치킨＋감자튀김＋콜라1.25L） ', '피자 토핑 선택(콤비네이션（변경 안함）)']",양도 많고 맛있어요,[]
16,4,[],맛있구가격대비개아나요,[]
17,5,"['이순이（2마리 맛 선택＋콜라 1.25L）', '이순이 선택 2(치즈)']",좋아요!!,[]
18,4,"['스페셜세트 小（콤비네이션피자M＋후라이드치킨＋감자튀김＋콜라1.25L） ', '피자 토핑 선택(콤비네이션（변경 안함）)']",치킨 맛있네요,[]
19,5,[],두식이 시킨줄알고 이순이 파순살이 와서 놀랐는데 제가 잘못시켰네요ㅠ 근데 제가 그동안 먹었던 파는 질기고 왜먹나했는데 지금 먹어보니 이맛에 파닭먹는구나 생각함ㅋ 맛있어요!! 호식이 초심잃어서 왕서방으로 갈아타요~~,[]
20,5,"['이순이（2마리 맛 선택＋콜라 1.25L）', '이순이 선택 2(치즈)']",맛있어요~ 두마리치킨 시키면 다른곳은 좀 적은느낌인데 양은 두마리 제대로 오네요!그런데 순살은 살짝 탕수육같은느낌.. 너무 늦게시킨것도 있어서그런가ㅠ 살이좀 모잘라요,[]
21,5,[],가격대비 품질 정말 최고입니다 ㅎㅎ 배달주시는 분도 친절하고요,[]
22,5,[],배달빠르게왓고 맛도일품입니다!,[]
23,5,[],포장도깔끔하고~맛있어요*^^*,[]
24,5,[],최고지,[]
25,2,[],싼게 비지떡,[]
26,5,['불닭 한마리'],양도 많고 맛나네여,[]
27,5,[],두번째 주문이에요 항상 맛있네요 그냥 후라이반 양념반 먹었네요~~^^,[]
28,4,[],맛있게 잘 먹었습니다.,[]
