,별점,주문메뉴,리뷰,사진
0,5,"['왕순이주먹밥', '참치 샐러드 김밥', '비빔밥']",첫주문인데 배달은 좀늦었지만 배달 해주신분도친절하고 첫주문 서비스 튀김도 보내주시고주먹밥 사이즈보고 빵터졌어요..ㅋㅋ맛나게 잘먹을께요 감사합니다~~앞으로 대박나시길!!!,['https://rev-static.yogiyo.co.kr/9f52db3f10cdb3f2ff67b4d45b89be05_tn.jpg']
1,5,"['김치볶음밥', '라면', '튀김만두와 떡볶이', '호박식혜']",맛도좋구~배달도 빨라서 좋았어요~^^,[]
2,4,"['돈까스김밥', '비빔밥', '오므라이스', '비빔국수']",맛있어요 영통2단지 주변음식점중 먹을만해요,[]
3,5,"['왕순이김밥（야채）', '쫄면']",Gooooooooood,[]
4,5,"['비빔밥', '갈비탕', '비빔국수']",맛있어습니다!!ㅎㅎ,[]
5,3,"['왕순이김밥（야채）', '떡볶이', '쫄면', '비빔국수', '비빔국수세트（비빔국수＋꼬마주먹밥2개）', '스파클링 복숭아 355mL']",음... 그냥 평범하고 좀 많이 달게 느껴졌습니다.,"['https://rev-static.yogiyo.co.kr/3ad648743151ae5af991111e17d4cb57_tn.jpg', 'https://rev-static.yogiyo.co.kr/31dd89ef793a09e7212210a273f3ed7e_tn.jpg', 'https://rev-static.yogiyo.co.kr/f2bb32eeac70b5a9cb4b2949a0fc0ae5_tn.jpg']"
6,4,"['떡갈비버거', '스팸치즈밥버거', '돈까스김밥']","맛은 있는데, 김밥이 잘 안잘려있어서 먹기 약간 불편했어요 ㅠㅠ",[]
7,5,"['참치김밥', '라볶이', '비빔국수']",맛있게 잘먹었어요~~,[]
8,5,"['제육덮밥', '등심돈까스', '우동', '쫄면', '튀김만두와 떡볶이']","잘먹었습니다,또시킬게요",[]
9,3,"['참치김밥', '라볶이', '쫄면']",맛도양도 좋았는데 요기요주문은 영수증이 않된다네요요기요에서 다른업체는 다영수증나오는데여기만않되는이유를모르겠씀,[]
10,5,"['치즈김밥', '라볶이', '쫄면']",맛있어요 맛있어요 맛있어요,[]
11,5,"['제육참치김치', '치즈김밥', '참치김밥', '매운멸치김밥']",김밥 내용물도 실하고 맛나요^^,[]
12,5,"['왕순이김밥（야채）', '치즈김밥', '라볶이', '칼국수']",여기 맛있어요!!  특히 김밥!김밥 속 꽉차고 맛있습니당!칼국수도 맛나요! 라볶이는 케바케인데저는 별로였지만 친구는 맛있데요!그러므로 5점만점에 5점!,[]
13,3,"['스팸치즈밥버거', '치킨 가라아게', '라면', '쫄면 세트（쫄면＋꼬마주먹밥2개）']",주먹밥만빼곤 괜찮아요..맛잇음..,[]
14,4,"['스팸치즈밥버거', '참치김밥', '떡볶이', '떡만두국']",맛도 포장도 깨끗해요,[]
15,5,"['돈까스밥버거', '치킨 가라아게', '새우튀김 데리야끼', '왕순이김밥（야채）', '오뎅탕']",맛있어요......,[]
16,5,"['참치김밥', '돈까스김밥', '쫄면']",맛잇어용             !!!!,[]
17,4,"['왕순이김밥（야채）', '차돌박이된장찌개', '비빔국수', '사이다 355mL']",이미 먹어서 사진은 못찍었구요 배달 와주신 분이 김밥 한줄을 빼먹고 왔다고 친절하게 설명 해주시고 김밥 한줄 값 돈도 돌려  주셨어요 비빔 국수 김밥 된장 찌개 시켰는데 맛있어요^^많이 파시고 배달 대행 하신분 정말 친절 하세요,[]
18,3,"['계란말이김밥', '오므라이스', '쫄면']",soso 잘먹었습니다.,[]
19,4,"['스팸치즈밥버거', '새우튀김 데리야끼', '참치김밥', '와사비참치김밥', '제육덮밥', '라볶이']",스팸치즈밥버거라고 써있어서 김치가 들어가는줄 몰랐어요 ㅠ아이들 먹이려고 시킨거였다가 못 먹였네요 ㅎㅎ;; 와사비참치김밥 맛있었어요^^라볶이는 전 괜찮았는데 일행은 그냥 그렇다네요~~,[]
