,별점,주문메뉴,리뷰,사진
0,5,[],삼겹살 배달시키면. 딱딱하고. 고기냄새나기 쉬운데여긴. 그런거. 전혀없네요 고기도 도톰 촉촉. 야채랑 같이구워주셔서 더좋았어요쌈도푸짐하고 된장국은 솔직히엄마가 끓인것보다 더맛있네용 ㅎㅎ다음엔 제육시켜먹을게요엄청배고팠눈데. 빠른배달. 감사요^^,"['https://rev-static.yogiyo.co.kr/bdd6b4daa28c180740573260c99174c2_tn.jpg', 'https://rev-static.yogiyo.co.kr/445e27095eba19f3ed68e415687aedaa_tn.jpg']"
1,5,[],와 ㅡ제육 엄청맛있어요ㅋㅋㅋ된장찌개 계란찜 쌈 모두모두만족집밥먹는거같았어요다음엔 삼겹주문해서 먹어보려구요,['https://rev-static.yogiyo.co.kr/b16ee363a1a3ca0e81f5551296acf903_tn.jpg']
2,5,['삼겹살 2人'],"사장님~ 이건 너무해요!! 앞으로 다른 집 가서 못먹게 생겼다구요~ 이렇게 맛있어도 되요? 와~ 리뷰를 안 쓸수가 없다.. 정말 푸짐하게 정성 가득한 집밥 먹은 것 같네요. 맛집이 따로 없다구요!! 오늘 점심 잘 시켰다고 창찬 받음.. 으쓱 ㅎㅎ 고기는 부드럽게 씹히는 맛도 좋고, 잡내없고, 숯인지 모르겠지만 훈제향까지 먹는 내내 즐거웠어요. 된장찌개도 맛있고... 배부르게 잘 먹었습니다. 앞으로 이 맛 그대로 쭈욱~ 대박 가즈아~~!!!",['https://rev-static.yogiyo.co.kr/47a902c8a036c3cf5af018c6405ec3a9_tn.jpg']
3,5,['나홀로 삽겹（250g）'],정말 맛있고 푸짐하네요. 다른 리뷰들 보고 주문한건데 진짜 추천합니다.완전 만족합니다~!!!,['https://rev-static.yogiyo.co.kr/68518d5cdb2723b925b3dd47a3377e38_tn.jpg']
4,5,"['삼겹쌈밥 2人', '추가메뉴(물냉면)']",대박!!! 양도 맛도 백점이네요!! 이제 힘들게 굽지 않고 배달시켜먹어야겠어요~~~^^,"['https://rev-static.yogiyo.co.kr/8e3ff3e1c914d41d3ec6396593c7e679_tn.jpg', 'https://rev-static.yogiyo.co.kr/62b1f739c02eb7be3f0db5460d667d3d_tn.jpg', 'https://rev-static.yogiyo.co.kr/2f9ffe0752e6b700e1228ce27b50695d_tn.jpg']"
5,5,"['제육쌈밥 2人', '된장찌개 추가']",맛나게 잘먹었어요~,[]
6,4,"['삼겹쌈밥 2人', '추가메뉴(계란', '공기', '된장찌개 추가', '음료 메뉴 추가(사이다 500m', '쥬시쿨 500mL)']","혼자 많이 먹을라규 2인셋에 고기 추가 까지....멍청하게 계란찜, 된장찌개 별도인줄 알고 추가했더니 -.-;;;맛나게 푸짐하게 잘 먹었습니다 ㅎㅎ된장찌개 넘나 맛나서 놀랐습니다 굳굳고기, 야채랑 같이 구워 주시는것도 굳굳다만 쌈장의 양이 적은게 조금 아쉽 ㅎㅎ많이 파셔유~","['https://rev-static.yogiyo.co.kr/b528ccd83a9a791d5d1553a876ccaca6_tn.jpg', 'https://rev-static.yogiyo.co.kr/ae87079d48e39227b6a16ec1c719f1d8_tn.jpg']"
7,5,['나홀로 삽겹（250g）'],배달고기집들 가게 종류별로 다먹어봤는데 대부분은 다 거기서 거기인데 여기가 제일 좋네요,[]
8,5,['삼겹쌈밥 2人'],와우  배달 맛 양 모두  훌륭하네요.,[]
9,5,['나홀로 삽겹（250g）'],너무 잘먹었어요 배터져요,[]
