,별점,주문메뉴,리뷰,사진
0,5,"['명란크림파스타', '한우데미함박']",배달도 빠르고 함박 진짜 맛있었어요^^,[]
1,5,"['명란크림파스타', '한우데미함박']",처음 주문했는데 잘 먹었습니다.데미함박 맛있네요. 고기로 꽉찬 함박이네요. 그래서 먹었을때 더 든든하네요.다음번에는 돈까스 한번 먹어보고 싶네요. 정성스런 쪽지까지 감사합니다.,['https://rev-static.yogiyo.co.kr/e83a011f52e9331c256b55cf5549a8a0_tn.jpg']
2,4,"['치즈면볶이', '크림짬뽕', '숯불닭갈비볶음밥']",크림짬뽕이 맛있어요!!,[]
3,4,"['명란크림파스타', '숯불닭갈비볶음밥']",파스타가 맛있네요 닭갈비 볶음밥은 괜찮은데 중간정도,[]
4,4,"['현미비빔국수', '한우데미함박', '면반장B세트3人（햔미두부피자＋스테이크파스타＋크림짬뽕）']",개인적으로 다 맛있었는데 비빔국수가 좀 더 매웠으면 좋았을거 같습니다.,[]
5,5,"['명란크림파스타', '현미돈까스']",면이쫀득해서 신기하고 맛있네요또먹을게요,[]
6,4,"['현미돈까스', '검은콩국수', '치즈볼4P']",양 많고 맛 좋고 사장님 센스도 신경많이 써주셔서 감사합니다,"['https://rev-static.yogiyo.co.kr/66f35921983e969d061714285cf8154d_tn.jpg', 'https://rev-static.yogiyo.co.kr/c8eb8a2863e148ecba56033102170966_tn.jpg']"
7,4,"['돈까스샐러드', '철판치즈돈까스']",동네에 있어서 가끔 가서 먹는데 이번에는 오랜만에 배달해서 잘 먹었습니다.,[]
8,5,"['누룽지짬뽕국수', '숯불닭갈비볶음밥']",누룽지 짬뽕에 왠 흰쌀밥이? ?,[]
9,5,"['크림짬뽕', '명란크림파스타']",배달도 빠르고 맛있네요...,[]
10,5,"['돈까스냉면', '한우데미함박']",돈까스 참 맛나네요~~ 깔끔해요~~ 냉면은 일반적인 냉면이 아니고 생면을 사용해서 독특했어요~~ 냉면도 맛있고 좋아요~~한우데미함박은 너무 짜요ㅠㅠ 데미소스가 짠것 같은데ㅠㅠ 이게 뭐 조리고 그러다보면 소스라는게 간맞추기가 힘든거니까요ㅠㅠ 넘나 짜서 먹는데 힘들었어요ㅠㅠ 소스가 짠거 빼고는 모두 참맛나요~~,"['https://rev-static.yogiyo.co.kr/e5d09d3dc763c21bfbe39bec5f02714f_tn.jpg', 'https://rev-static.yogiyo.co.kr/172c6a9480c082c723cab76e0d23cd87_tn.jpg']"
11,3,"['우리동네스테이크파스타', '숯불닭갈비볶음밥', '환타']",배달은 좋은데 맛이 또 먹고 싶은 맛은 아니네요,[]
12,5,"['명란크림파스타', '돈까스냉면']",맛있어요 배달도 빠름,[]
13,5,"['명란크림파스타', '현미돈까스', '숯불닭갈비볶음밥']",처음 시켜먹었는데 맛있어요신랑이랑 아이랑 셋이서 엄청 먹었어요잘먹었어요~,['https://rev-static.yogiyo.co.kr/6c2025baacbff0e26f5b1808d7ed684c_tn.jpg']
14,5,"['명란크림파스타', '돈까스냉면']",맛있어영 시킬 때마다 배달 빠르고 맛도 보장,[]
15,5,['면반장A세트2人（현미두부피자＋스테이크파스타）'],굳!!!!!!!!!,[]
16,5,"['명란크림파스타', '현미돈까스', '숯불닭갈비볶음밥', '치즈볼4P']","돈까스,파스타,볶음밥 첫주문인데 너무만족스럽게 잘먹었습니다~~^-^  배달도빨랐구요 백점입니다~",[]
17,5,"['치즈면볶이', '우리동네스테이크파스타']",배가 고파서 얼른 먹느라 사진을 못찍었네요^^맛있게 잘 먹었어요~사탕도 ㅎㅎ,[]
18,5,"['한우데미함박', '숯불닭갈비볶음밥']",진짜맛있어요 ㅠㅠㅠㅠㅠㅠ 대박,['https://rev-static.yogiyo.co.kr/ccd3eadef74c6bb9e7e242579f3653eb_tn.jpg']
19,5,"['현미비빔국수', '한우데미함박', '치즈볼4P']",면반장이라는 이름답게 국수가 넘 맛있것이에요 ㅎ,['https://rev-static.yogiyo.co.kr/5ee914479f9cb55df954f4f91515b1a5_tn.jpg']
20,4,"['현미돈까스', '숯불닭갈비볶음밥']",배달지를 같은이름 다른 아파트로 가셨어요ㅜ 2차로 고쳐주세요~ 맛은 있습니다^^,['https://rev-static.yogiyo.co.kr/e68ed5d7380780b716f78cc7e5f94038_tn.jpg']
21,5,"['우리동네스테이크파스타', '숯불닭갈비볶음밥']",오자마자 맛있게 먹고 있어요~,[]
