,별점,주문메뉴,리뷰,사진
0,5,"['오돌뼈（오돌뼈＋주먹밥＋김＋알찜）', '계란찜']",오돌뼈 매운맛 주문했는데 요청사항도 잘 들어주시고 양도 많네요~ 다만 예전보다 매운맛이 조금 덜한거같아요,['https://rev-static.yogiyo.co.kr/0225d72a455dda327ef8f6ad6eb9f3bf_tn.jpg']
1,5,"['무뼈닭발（무뼈닭발＋깨밥＋알찜）', '계란찜', '사조김（5개）']","생각보다 양이 많았구요 무료로 같이주신 계란찜,주먹밥도 맛/양 모두 매우 만족스러웠습니다. 특히 마요네즈 따로 주셨는데 새로운 맛이였어요! 다만 쿨피스가 최소500ml일줄 알았는데 200ml인건 살짝 아쉬웠습니다 ㅎ",[]
2,4,['무뼈닭발（무뼈닭발＋깨밥＋알찜）'],"배달은 1시간 예정, 1시간 걸렸구요봉투 열자마자 깨밥 고소한냄새나서 기분 좋았어요ㅋㅋㅋ 포장도 깔끔하게 잘 돼있구닭발 포장 뜯자마자 잡내가 나길래 살짝 쫄았는데 먹을만은 했어요. 닭발이라 어쩔수 없는듯...ㅠㅠ 주먹밥도 있고 김치도 있어서 그래도 괜찮게 먹었어요닭발에 파 뿌려져 있는것도 좋았어요! 데코정도로만 뿌린게 아니고 먹을때 확실히 덜심심했어요 ㅎㅎ주먹밥이랑 계란찜은 무난했구요 간은 쪼금 심심한 편이에요다른데에선 보통 단품으로 파는 가격에 계란찜이랑 주먹밥까지 세트로 먹을수있어서 좋네여담에 또 시킬게요",[]
3,5,"['무뼈닭발（무뼈닭발＋깨밥＋알찜）', '누룽지']",맛잇어용ㅋㅋ밥도닭발도계란찜도,['https://rev-static.yogiyo.co.kr/73ca33e4026819faad871188a3407997_tn.jpg']
4,5,"['갈비오돌뼈（갈비오돌뼈＋주먹밥＋김＋알찜）', '잔치국수', '콜라 1.25L']",영수증을 따로 주시는건 아닌가봐요... 배달하시는분이 가져가야한다고하셔서ㅎ... 잠깐 곤란했네요ㅎㅎ... 오돌뼈는 맛있었습니다 가격에 비해 양도 많구요~ 자주시킬게요~,[]
5,5,"['오돌뼈（오돌뼈＋주먹밥＋김＋알찜）', '추가 선택(날치알 추가)']",저는 외국인대 시켜먹는음식중에 가장 맛있는 음식이에요. 감사합니다.,['https://rev-static.yogiyo.co.kr/cb66fd7a835eca9dd9d09afeb3c4da37_tn.jpg']
6,2,['오돌뼈（오돌뼈＋주먹밥＋김＋알찜）'],"오돌뼈를 좋아해서 보통맛을 시켰는데 맵기만 해서 절반도 못먹고 화장실, 너무 실망했어요. 보통맛이 그렇게 매운건지 앞으로 배달음식 못먹겠어요",[]
7,5,['무뼈닭발（무뼈닭발＋깨밥＋알찜）'],중간맛인데 매움도 딱 좋고 양도 푸짐했어요 ㅎㅎ,[]
8,4,['오돌뼈（오돌뼈＋주먹밥＋김＋알찜）'],오돌뼈는 무난한거 같구~주먹밥이 맛있었어요!!!배달은 딱 1시간 걸렸네요,[]
9,5,"['무뼈닭발（무뼈닭발＋깨밥＋알찜）', '사조김（5개）', '사이다 1.25L']",명란만 제가올린거구요!항상 너무맛있게 잘먹구있어요!닭발과 파의식감이잘어울리네요!!,['https://rev-static.yogiyo.co.kr/deda10a6646dc1c98ecc938abb2ea707_tn.jpg']
