,별점,주문메뉴,리뷰,사진
0,1,"['날치알육회（180g）', '사이다']",인계점꺼만 배달하다 첨으로 시켰는데왜 달게 느껴지고 입에 남는 텁텁한맛은 뭘까요,[]
1,5,['기본육회（180g）'],둘이먹기 딱 좋네요~ 무순많이달라햇는데 많이주셔서감사해여~ 잘먹엇습니다~,"['https://rev-static.yogiyo.co.kr/4dc9e2312a2b608b3f587993bb5cec1c_tn.jpg', 'https://rev-static.yogiyo.co.kr/effdf3591e1a0fae400d1c6a3f7abe52_tn.jpg', 'https://rev-static.yogiyo.co.kr/a890d296b58b13ec92d724ba02c9a542_tn.jpg']"
2,5,"['삼색모듬육회（270g）', '고추', '날치알)']",전에 가게가서 자주먹었는데 맛있어서 이번에는 배달시켜먹었어요!! 너무맛있네요 양도괜찮아요 맛있게 잘먹었어요^^,"['https://rev-static.yogiyo.co.kr/7a50cb139c9c4b321a5f9d28622dd113_tn.jpg', 'https://rev-static.yogiyo.co.kr/a92821cc477f1a29136be6bfbc1c4f89_tn.jpg', 'https://rev-static.yogiyo.co.kr/be0236dedd7614e527428ac678dfc124_tn.jpg']"
3,5,"['삼색모듬육회（270g）', '마', '고추장)']",잘무씀데이 리뷰꼭들쓰세요 서비스좋데이,[]
4,5,['기본육회（180g）'],혼술족인데 육회가 너무 땡겨서 한번 시켜봤는데 가격대비 구성이 정말 알찬거같아요~맛은 두말할거 없이 간도 적당하고 너무 맛있네요육초밥 이벤트도 완전 꿀~,"['https://rev-static.yogiyo.co.kr/b6f1c42da0943c8253c0c025b43bc5af_tn.jpg', 'https://rev-static.yogiyo.co.kr/e50b8ddb80c35c3ed9017d2ba8594fe3_tn.jpg', 'https://rev-static.yogiyo.co.kr/bd2fa0d877b46c842545c05518f410e4_tn.jpg']"
5,5,['날치알육회（180g）'],맛잇어요,[]
6,4,['기본육회（180g）'],육회질 좋아요 바로먹기딱 냉동아니고 배달도완전 빨랐어요가까워서 그런지 배달비가 비싸단생각은들었으나 양만족 가격대비질 괜찮고 종종시켜 먹을듯 혼자먹기 딱~ 살짝 양념이 아쉬었어요 소스찍먹안좋아해서 심심한맛 ^^;;,['https://rev-static.yogiyo.co.kr/10efcf449dcadb8ae89e73aa7799b91c_tn.jpg']
7,5,['기본육회（180g）'],최고의 역대급 갓성비 존맛팅,[]
8,5,"['기본육회（180g）', '육회비빔밥', '공기밥']",집에서도 신선하게먹었음다 감사용,[]
9,5,"['기본육회（180g）', '육회비빔밥']",술한잔에 좋아요육회가 신선한거같아요,[]
10,5,['기본육회（180g）'],배달도 빠르고 맛있네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/b25418470067021fa1cf4286582c6981_tn.jpg']
11,5,['기본육회（180g）'],잘먹었습니다 수고하세요,[]
12,4,"['기본육회（180g）', '사이다']",가서막을때가 젤맛있는거 같아요~,[]
13,5,['기본육회（180g）'],혼자 먹기 좋은양에가격도 저렴하고 맛도 있네요배달도 빨라요~사장님 대박나세요!!,"['https://rev-static.yogiyo.co.kr/bcbfbd48fd2ad51652995e68563b47ca_tn.jpg', 'https://rev-static.yogiyo.co.kr/a13479501e17860640bf791a532b0c07_tn.jpg']"
14,5,['기본육회（180g）'],배달 육회 많이 먹어봤지만 이 집만큼 맛있는곳 못봤습니다 항상 대박나세요 사장님 !,[]
15,5,['육회＋육사시미（360g）'],넘 맛있게 잘먹었슴니다^^ 장점1. 깔끔한 포장 : 여기저기 육회먹어봣눈데 이렇게 포장 신경쓰시는데 첨봤어요 ㅎㅎ 아이스팩에 보냉백까지 ㅎㅎ 신선하게 잘먹엇네용2. 깔끔한 맛 : 육회는 양념이 잘베서 맛있었고 사시미 경우에 쫄깃쫄깃하니 냄새도 하나도 안나고 때깔이 기가막혔어요 ㅎㅎ 3. 빠른 배달 : 50분 걸린다고 했는데 24분 컷 ㄷㄷ 깜놀함요 ㅎㅎ단점1. 육회육사시미도 양을 선택할수있었으면 좋겟어요ㅠㅠ2. 이건 단점이라기 보다 사시미에 깻잎이 깔려잇엇눈데 이유가 궁금? 하네요? 별점만점! 재주문할게요!!,"['https://rev-static.yogiyo.co.kr/f79f7a4d7b678b5ca7a7b4f55ed6317a_tn.jpg', 'https://rev-static.yogiyo.co.kr/046a687301b242c37dc7136833c66aec_tn.jpg', 'https://rev-static.yogiyo.co.kr/0a8eadd1fc3b6e726b14bd4ba18953a0_tn.jpg']"
16,5,"['삼색모듬육회（270g）', '매운', '마늘)']",둘이먹는데 270g은 너무많았어요 ㅎㅎ 다른 맛들이 맛이없던건아니지만 기본맛이 너무맛있어스 딴게 손에안잡혔습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/b5c186e650bdb59ffe7849bb08310a5f_tn.jpg']
17,5,['기본육회（180g）'],맛있게 잘먹었습니다!또 시킬게용,['https://rev-static.yogiyo.co.kr/81c9f1b0004c18572dd36caf32dc7cb9_tn.jpg']
18,5,['기본육회（180g）'],너무 맛있어용ㅎㅎ또시킬거예용,['https://rev-static.yogiyo.co.kr/eb5e043595fd74c749a2324d2aa80e8e_tn.jpg']
19,5,"['기본육회（180g）', '참이슬 후레쉬']",맛있어요~포장도 깔끔하고 ㅎ,[]
20,5,"['기본육회（180g）', '공기밥']",너무 맛있게 잘먹었습니다!!!,['https://rev-static.yogiyo.co.kr/eee2685256f4a68443a69b7e621cf716_tn.jpg']
21,5,['기본육회（180g）'],맛있어요^^배달도 만족합니다,[]
22,5,"['기본육회（180g）', '내맘대로주먹밥', '사이다']",진짜 순삭함 또시켜먹으려고하니깐 일요일은 안하시나봐요 ㅜㅠ포장도 깔끔했고요 맛있었어요  육회도 신선하고,[]
23,4,['기본육회（180g）'],자주가던집인데 배달되니 넘 좋네요 ㅎㅎ 잘먹었어요~~,['https://rev-static.yogiyo.co.kr/a8684156ac13ebb1e72b42d7738a48d7_tn.jpg']
24,5,"['내맘대로주먹밥', '육회＋육사시미（360g）']","서비스 초밥은 좀 별로였지만.ㅠ육회랑 사시미는 맛있게 잘 먹었습니다. ㅋㅋㅋ배달도 빠른 편이고, 양도 많이 주셔서 너무 감사합니다. 사장님 번창하시고. 많이 파세요.ps: 육낙탕탕이 메뉴에 추가됐으면 하는 바람이 있습니다.그럼 종종시켜 먹을께요.","['https://rev-static.yogiyo.co.kr/2163d3ad8e67875f27be9687ec06dcfe_tn.jpg', 'https://rev-static.yogiyo.co.kr/3396cf8c570e1a536c9a2cc6c071c98f_tn.jpg', 'https://rev-static.yogiyo.co.kr/e7880d468d2b7d54f925e646dc938405_tn.jpg']"
25,5,['기본육회（180g）'],최고최고 진짜맛있고 포장깔끔하고 아쉬운점 참기름 취향대로 따로 포장해주셨으면좋겠어요 조리되서 나오는점 조금.아쉬웠어요,[]
26,5,"['삼색모듬육회（270g）', '매운', '마늘)']",혼자서 냠냠 다 먹었어요잘먹었어요,[]
27,5,"['기본육회（180g）', '참이슬 후레쉬']",맛있게 잘 먹었습니다,[]
28,5,['눈꽃치즈육회（180g）'],최고덴 치즈는 기대이하ㅜㅠ 넘기대했나봐요,[]
29,5,['기본육회（180g）'],맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/9f3bec9949905feba33faee4e09150d4_tn.jpg']
30,5,['육회＋육사시미（360g）'],제가 육회 킬러인데! 겁나맛있었습니다. 담에 또 시켜먹고싶은 육회!,[]
31,5,"['기본육회（180g）', '육회비빔밥']",ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,[]
32,5,['마늘육회（180g）'],너무너무 맛있었어욜><,['https://rev-static.yogiyo.co.kr/928cb8b631ec960838bae4c6f5b806b4_tn.jpg']
33,5,['기본육회（180g）'],맛있게 잘먹었습니다! 180그람인데도 양이 많은거같고 다른 반찬들도 많이 주셔서 너무 좋았어용 다음에 또 시킬게요!,['https://rev-static.yogiyo.co.kr/ed561bbeeb73cdad965637bce8239d58_tn.jpg']
34,5,"['기본육회（180g）', '내맘대로주먹밥', '처음처럼']",고기가 신선하고 맛있어요 주먹밥도 맛잇음,['https://rev-static.yogiyo.co.kr/484150c916ef6b7f5de725cda0d731dd_tn.jpg']
35,5,"['삼색모듬육회（270g）', '카', '매운불)', '클라우드']",양도 짱! 맛도 짱! 가격도 착해요!!,['https://rev-static.yogiyo.co.kr/267125e241262aca0be7e03fba872cc0_tn.jpg']
36,5,['기본육회（180g）'],딸이 육회를 워낙 좋아해서 주문했는데180g을 혼자 다 먹고 맛있다고 합니다.,[]
37,4,"['기본육회（180g）', '육회비빔밥']",배달은 빨라요 맛은 그냥저냥 간단히 먹을만해요,['https://rev-static.yogiyo.co.kr/44bdfd32e5a2d95b3c84bbe89717c72e_tn.jpg']
38,5,"['삼색모듬육회（270g）', '마', '날치알)']",너무맛있게먹었습니다!!,[]
39,5,['기본육회（180g）'],맛있게 잘먹었어요^^,['https://rev-static.yogiyo.co.kr/6dce88a6c0ab9574b927789080464b50_tn.jpg']
40,5,['기본육회（180g）'],"맛있어서 또 시켰어용ㅎㅎ양,구성품 만족스럽습니다. 단골육회집^^",['https://rev-static.yogiyo.co.kr/63b24a1d7a961814be725fe71c51cbbf_tn.jpg']
41,4,"['기본육회（180g）', '육회비빔밥']",포장도 깔끔하게 오고 리뷰서비스로 받은 초밥도 맛있었어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/657ac4410a8c312543edd6776c313af6_tn.jpg']
42,5,"['기본육회（180g）', '반찬 추가(흑참깨소스)']",맛있어요~근데 소스맛으로 먹는 저는 소스가 넘 적어요,[]
43,5,"['기본육회（180g）', '육회비빔밥', '클라우드']",심야시간에 육회가 생각나면 육회지존에 주문하면 될거 같네요. 맛있어요,[]
44,5,['고추장육회（180g）'],처음 시켰는데 다른곳보다 육회 양 조금 더 많이 주시는것같고 맛도 괜찮았어요~김이랑 같이 싸먹으니까 더 맛있더라구요 리뷰 이벤트도 해주시고 좋았습니다!,['https://rev-static.yogiyo.co.kr/fec5cdcc81f8c2ed22fbabdb90c21a04_tn.jpg']
45,5,"['기본육회（180g）', '육회비빔밥']",맛있어요~! 빠르게왔습니다!,['https://rev-static.yogiyo.co.kr/730e90c7ce6c2f571be406c2aff4cb52_tn.jpg']
46,5,['날치알육회（180g）'],신선한 육회쓰...♥️,[]
47,3,['기본육회（180g）'],소스도 많이 주시고 감사합니다^^,[]
48,5,"['기본육회（180g）', '육회비빔밥']",배불러서 돌아가실번햇네요.육회비빔밥 양 겁나많아요ㅎㅎ,[]
49,4,"['기본육회（180g）', '반찬 추가(흑참깨소스)']",맛도 괜찮고 먹을만합니당 양도좋고,[]
50,5,"['기본육회（180g）', '참이슬 후레쉬']",맛있어요^^ 육회를 저렴하게 맛있게 먹을 수 있어서 좋네요~ 또 시킬게요!!,['https://rev-static.yogiyo.co.kr/d622dc5b86ad35180625b05719a18b10_tn.jpg']
51,4,"['기본육회（180g）', '반찬 추가(무국)', '육회비빔밥', '고추장소', '기름', '배)']",맛 나쁘지않아요 가격에 비해 가성비가 괜찮은거 같아요,[]
52,5,"['기본육회（180g）', '육회비빔밥']",리뷰 이벤트 참여 하려고 했는데 까먹고 그냥 시켰네요ㅋㅋㅋ 그래도 양도 많고 맛도 좋아서 리뷰 남깁니다 특히 육회 찍어먹는 소스가 엄청 맛있었어요! 다음에는 꼭 리뷰 이벤트 참여해서 먹느려구요ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/e76f64259464777e05ac136d4c021ba9_tn.jpg']
53,5,['기본육회（180g）'],배달이 예상시간보다 빨리와서 좋구요 육회 처음배달해먹는데 너무 맛있어요^^ 한가지 아쉬운게 치즈가 국에 녹았나봐요 ㅠㅠ 보온재에 넣어주셔도될꺼같아요~ 맛있게 잘먹었습니다^^,"['https://rev-static.yogiyo.co.kr/85810ab5bbf4c8885f5a06efd2448d62_tn.jpg', 'https://rev-static.yogiyo.co.kr/b0ff591a6e429a9362983ca5b13ad709_tn.jpg']"
54,5,"['기본육회（180g）', '처음처럼']",양도 맛도 너무 좋습니다자주 시켜먹을것같아요,"['https://rev-static.yogiyo.co.kr/02a7c025deac2f5f27581479d32312ea_tn.jpg', 'https://rev-static.yogiyo.co.kr/928afd4c6368634f089999584ab6e547_tn.jpg']"
55,5,['기본육회（180g）'],맛있었어요~ 날씨 꿉꿉한데 보냉팩에와서 그런지 더 신선한 느낌이었고 육회랑 소스랑 잘어울렸습니당,"['https://rev-static.yogiyo.co.kr/5a5f2ba17376e4fc875892de2119cb92_tn.jpg', 'https://rev-static.yogiyo.co.kr/1e73137df745f6506e180caa22431a4a_tn.jpg']"
56,5,['기본육회（180g）'],존맛! 양은 무난했지만 싱싱한게 느껴져요~~! 육회먹을일 있음 여기서 시켜야징,['https://rev-static.yogiyo.co.kr/638b07d3a7aa55912d6df652bec0b68e_tn.jpg']
57,4,"['기본육회（180g）', '반찬 추가(', '계', '무', '무국)']",육회 맛있는데 소고기무국 돈주고 시킨건데 고기가 1도없음ㅠㅠ넘심했음..,"['https://rev-static.yogiyo.co.kr/150a5c3d31c1c59463fe88484334bfbb_tn.jpg', 'https://rev-static.yogiyo.co.kr/00be2a43b686b6f14e3735ba203f6a1e_tn.jpg']"
58,5,['기본육회（180g）'],음식도 깔끔하고  맛도 있어서 추천합니다~~,[]
59,5,['기본육회（180g）'],양 적당했고 소스 괜찮네요 맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/cda6f47e0e0b8272ad58df83793ef59d_tn.jpg']
60,5,['기본육회（180g）'],이렇게배달왔어요~~리뷰이벤트 참여해서 음료2개는무료! 참맛있었어요~양도 혼자먹기에 충분했어요 잘 먹었습니다^^,['https://rev-static.yogiyo.co.kr/2c3faa91aa6fa543f3d5ea8307d983cd_tn.jpg']
61,3,['육회비빔밥'],"맛있어용 ㅎ̐̈ 근데 배달이 좀.. 늦네요,, 육회도 좀 적은듯해여 그래도 맛은👍🏻",['https://rev-static.yogiyo.co.kr/d2b9403faaebf92c4d67571f10df9c7a_tn.jpg']
62,5,"['기본육회（180g）', '처음처럼', '클라우드']",맛도 너무 맛있고 양도 적당하게 많아서 너무 좋았어요!! 자주 이용할것 같아용ㅎㅎ 오늘 육회 너무 땡겨서 처음 먹는데서 시켰는데 잘고른것 같습니당 맛있어요!,"['https://rev-static.yogiyo.co.kr/1f888c30f0659181e568390fc501b069_tn.jpg', 'https://rev-static.yogiyo.co.kr/ca50488ef224314af8deffcb5b1c6427_tn.jpg']"
63,5,['기본육회（180g）'],영롱한 육회는 놓치기 싫은 맛이네요 너무맛있어요 ㅎ 근데 치즈가 녹아서 잘안떨어져요 ㅠㅠ 그래도 육회만큼은 최고입니당^^♡,"['https://rev-static.yogiyo.co.kr/b7bef99b5db504e99f4a9e488ce1d2ed_tn.jpg', 'https://rev-static.yogiyo.co.kr/551b742449372c07b75a14f84feb21d2_tn.jpg']"
64,5,['기본육회（180g）'],저번에 먹고 또 먹네요 역시 맛있습니다ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/4bffee723f797fcb3aa26539ab255dbe_tn.jpg']
65,5,"['기본육회（180g）', '사이다']",늦은시간이었는데도 배달이 빨라서 좋았어요 ㅎㅅㅎ,['https://rev-static.yogiyo.co.kr/69b7973ba8917403ac634c636b304dd4_tn.jpg']
66,5,"['기본육회（180g）', '반찬 추가(배)']",보냉팩에 아이스팩까지 꼼꼼하게 포장되있어서 좋았어요! 물론 맛도👍👍,"['https://rev-static.yogiyo.co.kr/0e231342fb4497d264166f4eb58e66e3_tn.jpg', 'https://rev-static.yogiyo.co.kr/c48b80ee26fe335b8b0fd0f959e0244b_tn.jpg']"
67,5,['기본육회（180g）'],애들하고 먹엇는데 그 많은 양이 순식간에 없어졋어여 ^^;;;  오늘 처음 육회를 먹여보는데 ㅎㅎ  덕분에 작 먹엇습니다,['https://rev-static.yogiyo.co.kr/457173e0d77184708142b82a1fcf25ed_tn.jpg']
68,5,['기본육회（180g）'],완전맛잇게잘먹었어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/9e7a8d8a425ce328d020e66a05cdfbdf_tn.jpg']
69,5,['기본육회（180g）'],진짜 맛있어요 배달이라 안신선할까봐 걱정했는데냄새도 안나고 맛있게 먹었습니당 장사 화이팅하세요~,['https://rev-static.yogiyo.co.kr/e3e53e3cf1ed52489f1298d89c2cea24_tn.jpg']
70,5,['육회비빔밥'],"아이들 먹이려고 주문해봤어요. 아이들이 육회비빔밥 첫 도전인데, 소고기 무국도 같이 주셔서 국물 곁들여 같이 잘 먹었어요. 다음에 또 주문할게요.",['https://rev-static.yogiyo.co.kr/01e7d27f17605ea6ae756bc91f78c1d1_tn.jpg']
71,5,"['콜라', '육회＋육사시미（360g）']",잘먹엇습니다....,[]
72,5,['기본육회（180g）'],너무 맛있어서 먹다 찍어서 올려요~배달도 예상시간보다 20분정도 빨리왔어요~,['https://rev-static.yogiyo.co.kr/6c69a5e4cfdb0612c1d84c9634093d1c_tn.jpg']
73,5,"['기본육회（180g）', '반찬 추가(흑참깨소', '', '계란)']",양도 생각보다 많아요 ㅎㅎ,[]
74,5,['기본육회（180g）'],초딩 아들이 육회를 진짜 좋아해서 항상 주문하는 가게에서만 사먹었는데요..육회지존 첫 주문 해봤는데 양도 많고 가격도 좋아서 만족스러워요자주 애용할게요.,['https://rev-static.yogiyo.co.kr/50753c7fed0ef497e274021e509f055b_tn.jpg']
75,5,"['기본육회（180g）', '반찬 추가(기름', '', '치즈)']",육회짱 진짜 강추!!!!정말 너무 맛있습니다❤❤❤❤❤저는 뷔페 육회 처음 접하고 맛이 없었어서 육회에 거부감이 좀 있어서 돈주고 왜 사먹지 돈아깝게..라고 생각 했었는데 오늘 이후로 그 생각을 바꿀수 있었습니다. 너무 맛있어!!!!장점 나열해드리면 이랬습니다.1. 고정관념을 깨는 맛있는 육회2. 세스코 가게로 믿음이 가는 위생3. 소스가 너무 맛있었어요여자들이 좋아할만한 맛ㅠㅠ흑임자 진짜 개강추ㅠㅠ4. 추가메뉴 손질로 느껴지는 고객을 생각하는 마음-치즈먹기 편하게 해주신거 감사드려용5. 밥 사러 나갔다오게 만드는 무국,"['https://rev-static.yogiyo.co.kr/c63d64e50c70ad1de2b757a263781ec0_tn.jpg', 'https://rev-static.yogiyo.co.kr/f44790914555cc8deb648c12c1797634_tn.jpg', 'https://rev-static.yogiyo.co.kr/028b508122172cd62228ca2fc784c232_tn.jpg']"
76,5,"['기본육회（180g）', '반찬 추가(흑참깨소', '기름', '', '무', '김)']",한번 더 시켜먹었습니다.말이 필요 없네요바로밑에 제 리뷰 있어요,[]
77,5,"['기본육회（180g）', '육회비빔밥']","항상 너무 맛있고 신선해서 즐겁게 식사하고 있습니다♡사장님,직원분들 감사합니다!소스 짱맛~~ 치즈조합도 최고에요 ㅜㅜ!",['https://rev-static.yogiyo.co.kr/eebb116b9b179d67728e46cf8a02439f_tn.jpg']
78,5,"['기본육회（180g）', '반찬 추가(배)']",배달겁나빠름 맛나요 배추가는 좀 아쉽,['https://rev-static.yogiyo.co.kr/d016e746d7eb378151ab9cbfeb679857_tn.jpg']
79,5,['기본육회（180g）'],맛이 아주 좋읍니다,['https://rev-static.yogiyo.co.kr/efa10c993bb5250cf8798d82087d447b_tn.jpg']
80,5,['기본육회（180g）'],이번이 두번째 주문이었는데 맛있었어요!,[]
81,5,['마늘육회（180g）'],먹기바빠서 사진은 깜박했어요.앞으로 자주 시켜먹을게요.,[]
82,4,['기본육회（180g）'],잘먹었습니다.근처라포장도하구 배달도먹습니다 마늘.기본.고추장도 맛있습니다. 그러나저번엔 육회색이 원래핑크색으로 오는데 마늘은처음먹을땐 검푸른색에다 맛이약간 비리다고해야됄까?많이는아닌데 약간다르더군요 원래그런건지? 전화할까하다 마감시간이라 그냥먹엇습니다.,['https://rev-static.yogiyo.co.kr/25ab01f2d95cb11ab1b4d475b48f7b20_tn.jpg']
83,5,"['기본육회（180g）', '청하', '매화수']",양도 많고 맛있습니다 재주문의사 만빵,['https://rev-static.yogiyo.co.kr/8a77b6e634b922868de2b46781a98db7_tn.jpg']
84,5,['기본육회（180g）'],혼술용으로 주문했는데 조아용,['https://rev-static.yogiyo.co.kr/6a8660bce59681b86aec24f53b5f14e0_tn.jpg']
85,5,"['기본육회（180g）', '반찬 추가(고추장소스)', '공기밥']",배달도 정말빠르고 육회가 신선하고 냄새없이 정말 맛있네요.잘 먹었습니다,['https://rev-static.yogiyo.co.kr/39043fd1487aeb506b4fb6882ad450fe_tn.jpg']
86,5,['기본육회（180g）'],예상시간보다 빨리와주셔서 맛있게 먹고있어요 ㅎ 욱회먹고싶을땐 항상 찾네요 ㅋ 항상 잘먹고있습니다^^,"['https://rev-static.yogiyo.co.kr/e2575b7f7e5493860f8b5e11f9097064_tn.jpg', 'https://rev-static.yogiyo.co.kr/75bbb6bb91c54347006a2c0be3b0ff5e_tn.jpg']"
87,5,"['기본육회（180g）', '육회비빔밥']",배달이 빨리와서 사진찍고 먹고나서 리뷰 쓸라고하니 배달 예상 20분이 남아서 리뷰 못쓰고 게임하다 잠들어서 담날 작성합니다. 환타 2캔도 잘먹고 다음에 기회가 된다면 가게에서 먹고 싶네요,"['https://rev-static.yogiyo.co.kr/edbaa089cb92861b933ec08a2054101f_tn.jpg', 'https://rev-static.yogiyo.co.kr/868528abcc26e52124c0998c3062404a_tn.jpg', 'https://rev-static.yogiyo.co.kr/2604bb97175b770449769e1d35ebbb6d_tn.jpg']"
88,4,['기본육회（180g）'],혼자먹었는데 양도괜찮고 맛있게 잘먹었어요 ~~~~ 담에 또 시킬게요,['https://rev-static.yogiyo.co.kr/4cae463c19063397f83f4bb9107ea662_tn.jpg']
