,별점,주문메뉴,리뷰,사진
0,5,"['응급실국물떡볶이', '추가 선택(치즈 추가)', '꽃빵튀김 3개', '공기밥']",학교앞 떡볶이 먹는 느낌이였어요매운걸 잘 못먹는데 주문할때  맛선택이 있어서 좋았어요 치즈떡볶이 치즈가 예쁘게 포장되어 와서 놀랐습니다.다먹고 후식으로 꽃빵튀김 먹으니까 완벽했어요ㅎㅎㅎ맛있게 잘 먹었습니다ㅎㅎ,[]
1,5,"['응급실국물떡볶이', '추가 선택(고구마떡 추가)', '치즈스틱 3개', '119날치알주먹밥']",안에 있는 재료도 다양하고 양도 많고 맛있어요!,[]
2,5,"['응급실국물떡볶이', '추가 선택(치즈 추가)']",국물 떡볶이 좋아하는데 국물도 많고 맛있도 떡도많고 내용물도 알차고 맛있어요!!,[]
3,4,"['응급실국물오뎅', '추가 선택(치즈 추가)', '모듬튀김 13개']",매운걸 진짜 못먹는데도 맛있게 잘먹었습니다 들어있는 토핑도 다양해서 이것저것 골라서 맛보는재미도있구요. 모둠튀김 종류는 사진올릴게요 ㅎ 배달은 예상시간보다 훨씬빨리와주셨어요! 잘먹었습니다. 그런데 치즈토핑이 랩과 랩 사이에있네요. 보통 한겹씩 안떼고 한방에 뜯지않나요? ㅠ.. 배달된 음식은 너무 예뻣지만 치즈빼느라 힘들었습니다. 개선되면 좋을것같아요!,['https://rev-static.yogiyo.co.kr/6aac172802cc3dc8c504cb458c230098_tn.jpg']
4,4,"['응급실국물떡볶이', '추가 선택(치즈 추', '메추리알 추', '만두 추가)', '응급실국물떡볶이', '추가 선택(떡 추', '오뎅 추', '계란（2개） 추가)', '오뎅탕', '모듬튀김 13개', '야끼만두 3개', '오뎅튀김 5개', '오징어튀김 3개']",왜 요기요 예뉴에 순대가없을까,[]
5,5,"['응급실국물떡볶이', '모듬튀김 13개']",이번엔 안매운맛으로 시켰는데 매운맛보다 진한맛? 이 살짝 덜한거같아요ㅠㅠ그래두 맛잇숩니당!,['https://rev-static.yogiyo.co.kr/56e024c077968672455c664d2b02f063_tn.jpg']
6,3,"['응급실국물떡볶이', '순대', '모듬튀김 13개', '링겔쿨피스 450mL']",떡볶이는 다른곳과 별차이없구요튀김은 맛이 그냥그래요,[]
7,5,"['응급실국물떡볶이', '추가 선택(계란（2개） 추가)', '오징어튀김 3개']",지인 추천으로 먹어봤는데 모든 부분에서 만족스럽습니다~! 또 시켜먹을게요^^,[]
8,5,"['응급실국물떡볶이', '추가 선택(치즈 추가)']",짱맛잇어요~~~양이 조금 적은 느낌은 잇지만!!여러가지가 들어가잇어서 골라먹는 재미도잇고또시켜먹으려구용~~~~,[]
9,5,"['응급실국물오뎅', '갈비만두']",양도 많고 가격도 저렴하고 배달도 빠르고 사장님이 너무 친절하셔서 기분좋고 맛있게 잘 먹었습니다. 감사합니다,"['https://rev-static.yogiyo.co.kr/3e9be11102177520d011b8e8301e7edd_tn.jpg', 'https://rev-static.yogiyo.co.kr/d64c6ea87c9920b5941d59843d02bd8e_tn.jpg']"
10,5,"['응급실국물떡볶이', '추가 선택(당면사리 추가)', '순대', '야끼만두 3개', '김말이 3개', '잡채말이 3개', '고구마튀김 3개']",생각보나 빨리 왔네요,[]
11,5,"['응급실국물떡볶이', '추가 선택(치즈 추', '떡 추가)', '순대', '모듬튀김 13개', '119날치알주먹밥', '콜라355mL']",양도 많고 맛있기도 하고 너무 좋았어용 혼자먹기엔 너무 많은양이라 자주 시켜먹긴 힘들거같지만 그래도 너무너무 맛있었어요!ㅣ,[]
12,4,"['응급실국물떡볶이', '오징어튀김 3개']",양 진짜 많아요 치즈도 맛이 되게 진하구용 만두랑 메추리알이 맛있었어용ㅎㅎ,['https://rev-static.yogiyo.co.kr/4389a92a4d3a28f10dc79f1118bd257b_tn.jpg']
13,5,"['응급실국물떡볶이', '꽃빵튀김 3개']",비오는날 급 땅겨서 맥주랑 먹었는데예상했던것보다 맵지도 않고 적당히 매콤하게 맛잌ㅅ었어요요 근래 먹은 떡볶이중에 제일 나았어요,['https://rev-static.yogiyo.co.kr/093114974b7d8219d037351feb3fbe33_tn.jpg']
14,4,"['응급실국물떡볶이', '추가 선택(당면사리 추가)']",처음 시켜먹어봤는데 맛있었어요!그런데 떡볶이 안에 물만두는 없었어요 ㅠㅜ그렇지만 맛있어서 또 시켜먹을거예요!,"['https://rev-static.yogiyo.co.kr/2ce626e1e6b5b91dede0ebc2c636e3e6_tn.jpg', 'https://rev-static.yogiyo.co.kr/a846d3d7a5898a70bfc49ff222be699f_tn.jpg']"
15,5,"['응급실국물떡볶이', '추가 선택(오뎅 추', '메추리알 추', '만두 추가)']",떡이 쫄깃하니 맛있네요.둘이먹는데 양이 많아서 남겼어요.,[]
16,5,"['응급실국물오뎅', '추가 선택(고구마떡 추가)', '꽃빵튀김 3개', '김말이 3개', '링겔쿨피스 450mL']",맘에드는 떡볶이집 발견이네요 다음에는 제일 매운맛으로 도전해볼께요!,[]
17,5,"['응급실국물오뎅', '꽃빵튀김 3개', '링겔쿨피스 450mL']",배달이 굉장히 빨라서 아주 좋고 꽃빵튀김은 진짜 대박! 생각보다 많이 맵지 않아서 계속 생각나요,[]
18,5,"['응급실국물떡볶이', '119날치알주먹밥']","점심시간때라그런지 시간은 좀걸렸음.양은 넘치지않고 딱좋았어요 남김거의없이 먹음(남1,여1 식사함)서비스로 꽃빵도 주셨는데, 딱 빵만주시지않고 설탕도 뿌려져있고, 연유 소스도 주셨네요 감사합니다.맛이 가장 특징있는데요 가장 약한맛 시켰는데 자극없이맛있습니다. 가장 약한맛이라도 순~한 맛이 아니예요살짝 나 매운맛 낼줄 아는 떡볶이야 라는 느낌이 있어요매운거 잘못먹는데 매콤이 살짝 땡기는데 매운거 시키면 후회할것 같을 때 고추2개(?)짜리 가장약한것 시키면 될 것 같습니다.","['https://rev-static.yogiyo.co.kr/7e3c03483511c64972925cd5dc0d1091_tn.jpg', 'https://rev-static.yogiyo.co.kr/73e9b45db86caef342a5c75814ca4fcc_tn.jpg']"
