,별점,주문메뉴,리뷰,사진
0,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '맛 선택(중상맛（★★★）)', '치즈스틱 3개']",인계점은 처음 시켜보는데 맛있었어요!!근데 식으면서 좀 많이 짜더라구요ㅠㅠ그거빼고는 너무 맛있게먹었어요!다음에 또 재주문할께요ㅎㅎ,['https://rev-static.yogiyo.co.kr/55b1cc29d1dcec7292d90375cbcbc743_tn.jpg']
1,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '맛 선택(부상맛（★★）', '추가선택(치즈 추가)', '김말이 3개', '야끼만두 3개', '오뎅튀김 5개', '오징어링 3개']",치즈 포장이 따로와서 너무 깔끔하고 좋아요!!튀김도 나눠서 포장해주시고 센스짱!!!,[]
2,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '맛 선택(중상맛（★★★）)']",하 진짜 응떡 존맛ㅠㅜ 배달도 빨리 와서 좋았어요근데 주먹밥에 김이 넘 많아서 좀 짰어요 ㅠ,[]
3,3,"['응급실국물떡볶이', '추가선택(만두 추', '감자넓적당면（중국당면）추가)']","음 응떡처음먹어보는데,,,,,음,,,,달달함이 많은거같음 그래도  맛있었어요",[]
4,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '맛 선택(중상맛（★★★）', '추가선택(감자넓적당면（중국당면）추가)', '미니핫도그 5개', '밀크볼 10개']",응 오뎅이랑 이것저것 주문하였습니다 근데 처음엔 생각보다 떡이 많네 하고 오뎅을 두어개먹었는데 그뒤로는 오뎅이 안보여서 가게에 연락을 드렸습니다. 주먹밥에 미니핫도그 중국당면 밀크볼을 먹으니 오뎅을 안먹어도 배가 너무 부르네요.. 매운맛을 주문하실때 밀크볼을 주문하시면 쿨피스보다 매운맛을 잡을수 있고 아주 맛이납니다. 서비스로 쿨피스와 응오뎅하나를 새오 주셨어요.. 혼자살아서 다 먹지는 못하지만 사장님의 대처가 소비자의 입장에서는 매우 감사하였네요 감사합니다. 다음에도 주문할게요~,"['https://rev-static.yogiyo.co.kr/fbf1e86a8ec4c945c4e75108495c5392_tn.jpg', 'https://rev-static.yogiyo.co.kr/38c1f4c437275f41692c189b6fb6ea70_tn.jpg']"
5,5,"['응급실국물떡볶이', '추가선택(감자넓적당면（중국당면）추가)']",응떡 첨 먹어봤는데 친구가 맵다고 해서 부상맛 시켰는데 너무 안 매웠...❤️ 담에도 이용할게요 진짜 응떡 짱❤️,[]
6,5,"['응급실닭볶음탕', '추가선택(감자넓적당면（중국당면）추가)', '치즈계란찜']",배달 30분걸리고 사망맛은 처음인데 무섭네요 ㅋㅋㅋ 잘먹겠습니다,['https://rev-static.yogiyo.co.kr/0855639a86a15a8c59fc2a8d823f3b1b_tn.jpg']
7,5,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '맛 선택(혼수상태맛（★★★★）', '추가선택(치즈 추가)']",너무 맛있었고 양도 너무 많아서 좋았어요 ! 순대도 서비스 주셔서 너무 맛있게 먹었네요 ㅎㅎ,[]
8,3,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '맛 선택(부상맛（★★）)', '치즈스틱 3개', '링겔쿨피스 450mL']",전체적으로 좀 짭짜름해요 ㅠㅠ제가 살짝 싱겁게 먹기는한데 그거 감안해도 좀 짜요ㅠㅠ그래도 맛있어요 ㅎㅎㅎ양도 많구!!잘먹었습니다!,['https://rev-static.yogiyo.co.kr/a40c840ee7c90f8b927fa727c0353c03_tn.jpg']
9,5,"['응급실국물떡볶이', '추가선택(치즈 추가)', '김말이 3개', '오징어튀김 3개']",요즘 응떡에 빠져있어요ㅠㅠㅠㅠ,[]
