,별점,주문메뉴,리뷰,사진
0,5,['응급실닭볶음탕'],리뷰가 좀 늦었네요.맛있게 잘먹었습니다.요청사항이 까다로웠는데기사님들도친절하시네요.많이파세요.,[]
1,5,"['응급실국물떡볶이', '추가선택(치즈 추가)']","받자마자 깨끗하게 먹어 치웠어요배달해서 먹은 떡볶이 중에 제일 맛있었습니다ㅠ다른 데는 먹다보면 떡도 치즈도 굳던데끝까지 쫀득쫀득하고 치즈도 부드럽더라구요^^진짜 순삭했어요..배달기사님도 친절하시고 서글서글하셔서, 받을 때부터 이미 기분이 좋았습니다 ㅎㅎ넘 맛있게 잘 먹었어요 또 주문하겠습니다! 최고👍🏻아, 일회용 젓가락 안주셔도 된다고 했는데 주셨더라구요~다음에는 안주셔도 됩니다 ㅎㅎ배달용기도 쓰레ㄱㅣ가 되긴 하지만 수저 쓰레ㄱㅣ라도 줄이고 싶어요 >.<",[]
2,5,['응급실국물오뎅'],맛이괜찮았어요 부상맛은 맵지않습니다,[]
3,5,['응급실국물떡볶이'],기본맛 맛있었어요~♡,[]
4,4,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '메뉴 선택(응떡', '추가선택(당면사리 추', '떡 추', '오뎅 추가)', '119주먹밥']",중상맛 많이 안 맵네요. 날치알주먹밥 나쁘지 않아요. 떡볶이는 특별히 좋지도 나쁘지도 않았습니다. 아주 맛있지도 않고 맛없지도 않네요. 튀김은 그냥 나쁘지 않았는데 양이 아쉽네요,['https://rev-static.yogiyo.co.kr/239c158afce1993369db21df5a4f09b1_tn.jpg']
5,5,['응급실국물떡볶이'],배달예정시간보다 30분이나 일찍오고 존맛탱이다 다음에 또 시켜먹어야징,[]
6,4,['응급실국물떡볶이'],맛있어요! 다음에는 치즈 추가해서 먹어야겠어용,['https://rev-static.yogiyo.co.kr/45b34bb64355efb9938da194a21d28b2_tn.jpg']
7,5,"['응급실국물떡볶이', '추가선택(치즈 추가)', '잡채말이 3개']",영통 엽X보다 맛있음 부상맛은 불닭이랑 비슷한 맵기 수준입니다,['https://rev-static.yogiyo.co.kr/40cc89fd30a2045ccc4a31acef0926e2_tn.jpg']
8,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '메뉴 선택(응떡', '추가선택(치즈 추', '감자넓적당면（중국당면）추가)']",JMT임셋이 먹었는데 배불러요 조금 남음ㄹㅇ 존맛탱중상맛 먹었는데 맛있게 매워요 최고최고사장님 단무지 많이 주셔서 감사합니다,['https://rev-static.yogiyo.co.kr/cacba49b55be69137987a2731cb69112_tn.jpg']
9,4,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '메뉴 선택(응오뎅', '추가선택(치즈 추', '계란2개 추', '메추리알 추', '감자넓적당면（중국당면）추가)', '오징어튀김 3개', '미니핫도그 5개']",맛있게 잘먹었습니다!!,[]
10,4,"['응급실국물떡볶이', '추가선택(치즈 추가)']",또 시켜먹었어요 치즈 추가해서!!맛있오용,[]
11,4,['응급실국물떡볶이'],"맛은 중상맛을 시켰구요~~  딸이 맛있게 잘 먹네요. 다양한 재료 들어가있어서 골라먹는 재미도 있어요~  저는 매운걸 잘 못먹어 몇개 못먹었지만, 깔끔한맛이라고 하네요. 치즈스틱 따로 추가 주문해서 배달하신 분께 1500원 드렸구요~~  추가해주셔서 감사해요~~잘먹었습니다.",['https://rev-static.yogiyo.co.kr/391610d04f2dd3b671749f505c84666e_tn.jpg']
12,5,"['응SET（응떡or응오뎅 中택1＋날치알주먹밥）', '메뉴 선택(응오뎅)']",맛있어용 다음엔 한단계 윗단계 시켜야겟어용,[]
13,5,"['응급실국물오뎅', '추가선택(치즈 추', '감자넓적당면（중국당면）추가)']",진짜 맛나요제입엔 혼수상태 그냥 맛잇게 칼칼 매콤 정도긴 한데치즈에 중국당면 추가해드세요두번 드세요 배달기사님더 어찌나 친절하신지리뷰인쓰려다 써요,[]
14,4,"['응급실국물떡볶이', '추가선택(치즈 추', '메추리알 추가)', '순대']",딴곳에 비해 정말 매운맛이전혀 없어요중상맛인데... 6살짜리 아이도 먹네요,[]
15,5,"['응급실국물떡볶이', '김말이 3개', '오징어튀김 3개', '오뎅튀김 5개']",부상맛은 순한맛으로 생각하셔도 될듯해요 매운거 좋아하시는분은 그 윗단계부터 드시는걸 추천드려요! 그리구 배달하시는분 인사성도 좋고 밝으셔서 좋았어요ㅎㅎ,[]
16,5,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '메뉴 선택(응오뎅', '추가선택(떡 추', '수제비 추', '감자넓적당면（중국당면）추가)']",양이 생각보다 많고 맛있고 특히 배달 하시는 분들중 즐거운 하루 보내라고 하시는 분은 처음이네요,[]
17,5,"['급SET（응떡or응오뎅 中택1＋날치알주먹밥＋모듬튀김）', '메뉴 선택(응떡', '추가선택(치즈 추가)']",배달 상태가 좀 안좋았던것 말고는 모든 면에서 완벽했습니다,[]
18,5,"['응급실국물오뎅', '추가선택(치즈 추가)']",사진 찍는걸 깜박하고 먹다가 찍어서 양이~ㅎㅎ  양념이 깔끔하니 넘 맛나고 무엇보다 치즈가 대박이였어요.. 왜들 응떡치즈응떡치즈하는지이제사 의문이 풀렸네요.. 넘 맛있게 잘 먹었습니다..,['https://rev-static.yogiyo.co.kr/3080df042cf66e25ec517606f60d13ce_tn.jpg']
