,별점,주문메뉴,리뷰,사진
0,5,"['콜드브루 화이트 비엔나', 'Extra 레몬 에이드']",배달되니까 너무 좋네요~ !,[]
1,5,"['Extra ICED 카페 라떼', '허니 카라멜 브레드', '초코렛 청크 쿠키']",이디얘ㅏ 배달 되다니 너무 좋아용!!!!,[]
2,3,"['ICED 카페 아메리카노', '프레즐', '초코칩 머핀', '초코렛 청크 쿠키', '마카다미아 쿠키', '브라우니 쿠키', '플레인 치즈 스틱케익']",배달은 빨라서 좋았구요맛은 그냥 그랬어요 ㅎㅎ저렴한 맛에 먹기는 좋아요~커피도 너무 탄맛이 났어요 ㅠㅠ,[]
3,5,"['Extra 카페 아메리카노', '야채앤팝', '곡물바']",뜨거운거 시켰는데 아이스로 왔네요ㅠㅠ 그래도 빠른 배달 감사합니다!,[]
4,5,"['허니 카라멜 브레드', '프레즐', '초코렛 청크 쿠키']",집에서 카라멜브래드를 배달시켜먹을수도있고 너무 좋음,[]
5,3,"['Extra ICED 녹차 라떼', '프레즐', '브라우니 쿠키']",프레첼 먹고난뒤 체해서 일주일을 고생했었어요..,[]
6,5,"['허니 카라멜 브레드', '프레즐', '마카다미아 쿠키']",배달도 빠르고 맛있어요,[]
7,5,"['ICED 고구마 라떼', '허니 카라멜 브레드']",배달 빠르고 안넘치게 잘 포장되어 왔습니다^^,[]
8,5,"['ICED 카페 아메리카노', 'ICED 녹차 라떼', 'Extra 레몬 에이드', '초코렛 청크 쿠키']",배달되서 좋긴한데 양이.. 너무 적어요ㅠㅠ 배달오고 시간이 좀 지나서 마시느라 얼음이 녹은 상태였는데 아메도 그렇고 녹차라떼도 그렇고 양이 누가 한번 먹고 난 수준이네요ㅜ(첨부사진이 한 입도 안마신 상태입니다) 12월 1일부터 이디야 가격 인상했다고 들었는데 양이 너무해요ㅠㅠ,['https://rev-static.yogiyo.co.kr/a3b65f40f92a822d77de50a70600d816_tn.jpg']
9,5,"['Extra ICED 카페 라떼', '초코렛 청크 쿠키', '마카다미아 쿠키']",배송도 정성스레 오고 맛나용!!,[]
10,4,"['Extra ICED 카페 아메리카노', '허니 카라멜 브레드']",허니브레드에 크림이 너무 적네요. 휘핑 컵에 컵가득 담아주세요라고 적혀있는데.. 잘못담아 주신것같아요. 모자라서 빵만 먹었어요ㅠ,['https://rev-static.yogiyo.co.kr/69b5deffba0d7fdb8274d578ca5be95f_tn.jpg']
11,5,"['Extra ICED 카페 아메리카노', 'ICED 카페 라떼', 'ICED 카라멜 마끼아또']",배달되니까 주문하기 좋아요,[]
12,5,"['플레인 치즈 스틱케익', '비니스트 바닐라라떼 20T']",배달 짱빠르고 치쥬케익도 시원하게 잘왔어요 ㅎㅎ,[]
13,4,"['카페 아메리카노', '허니 카라멜 브레드', '캐롯 스틱케익']",이디야 배달할 수 있는건 편하고 좋은데오래 걸렸네요. 다른건 만족합니다.다음엔 빨리 보내주세요~!,['https://rev-static.yogiyo.co.kr/06c26f6117130a50ec200b06cf76e66e_tn.jpg']
14,5,"['Extra ICED 카페 라떼', '허니 카라멜 브레드']",포장 꼼꼼하게배달 잘 왔구요맛나게 잘 먹었어요,[]
15,4,[],양이 너무 적어요 ㅠㅠ 조금 아쉬워요,[]
16,5,"['흑당 라떼', '초코 티라미수 케이크', '블루베리 스틱케익']",케익이 좀 덜 녹았는지 아삭아삭했어요.. ㅜ.ㅜ 그래도 음료랑 같이 맛있게 먹었습니다 배달 빨리와서 좋았어요,[]
