,별점,주문메뉴,리뷰,사진
0,5,"['타코와사비군함 5P', '문어마요 5P']",처음시켰는데 서비스도 주시고 맛있게 잘먹었습니다ㅎ 배달도 빠르고 초밥들도 맛있었습니다. 담에 또 주문하겠습니다ㅎ,[]
1,5,"['어린이 세트（새우2P＋유부2P＋계란2P＋참치사라다2P）', '소고기불초밥 5P ']","진짜 넘모 맛있고 ㅠ ㅠ 배달도 빠르고 포장도 진짜 꼼꼼히 해주시고 첫 주문인데 너무 너무 너무 ! 만족이에요자주 자주 시켜먹을 예정 입니다 ♡ 번창하세요 사장림 ,,,","['https://rev-static.yogiyo.co.kr/86a33750a0c34812abbd3f38e93a5e9f_tn.jpg', 'https://rev-static.yogiyo.co.kr/4a3b4bf95e952e9a1b22b282104f6451_tn.jpg', 'https://rev-static.yogiyo.co.kr/f92101d980203067e4afc712b92995dd_tn.jpg']"
2,5,"['이루카 특선 세트 （참치＋광어＋연어뱃살＋새우＋흰살묵은지＋간장새우＋소고기불초밥＋민물장어＋타코와사비＋황새치뱃살）', '새우불초밥 2P']",말할필요없이 진짜 최고에요,['https://rev-static.yogiyo.co.kr/0e8e87f252516802f79f1e8a32777481_tn.jpg']
3,5,"['이루카 12p（참치＋광어2P＋연어＋참소라＋흰다리새우＋흰살묵은지＋연어사과마요＋함치＋구운계란＋새우불초밥＋참치사라다군함）', '이루카 특선 세트 （참치＋광어＋연어뱃살＋새우＋흰살묵은지＋간장새우＋소고기불초밥＋민물장어＋타코와사비＋황새치뱃살）', '이루카 직화 소스구이 세트（새우불초밥2P＋새우스리라차＋구운새우치즈＋스리라차연어＋구운계란2P＋생새우망고치즈＋소고기불초밥2P）', '대게다리튀김 3P', '환타（오렌지）355mL']","요기요에서 할인 혜택 받는게 있어서 배x에서 넘어온지 좀 됐는데 이루카도 오셔서 너무 기뻐요!!ㅋㅋㅋ사실 할인 때문에 다른 초밥도 먹어봤는데 이루카 자꾸 생각나서 남편이랑 먹자먹자 생각중이었는데ㅋㅋㅋ초밥중에 제일 좋아하는 집입니다 ㅎㅎ이제 이루카때문에 배x 안가도되서 너무 좋네요!!직화구이가 제일 특별하고 그 중 계란초밥이 어느 초밥집보다 맛있어요!~근데 전체적으로 고퀄이에요! 남편은 직화구이,연어, 저는 참치 광어묵은지 다 좋아합니다 ㅎㅎ거의 항상 5만원 이상 시켰는데 세세하게 챙겨주시는 점 감사드려요~~","['https://rev-static.yogiyo.co.kr/5731fc607f236d59b87f544d72dd9f9a_tn.jpg', 'https://rev-static.yogiyo.co.kr/3ff738f9c80586b75b5be83b74060e94_tn.jpg']"
4,5,"['연어불초밥 5P', '연어 2P', '구운계란 2P', '간장새우 2P', '광어 2P']",초밥에 정성이 느껴집니다. 일반 초밥집이랑 달라요 아주맛있음!!,[]
5,5,"['이루카 직화 소스구이 세트（새우불초밥2P＋새우스리라차＋구운새우치즈＋스리라차연어＋구운계란2P＋생새우망고치즈＋소고기불초밥2P）', '연어불초밥 5P']",처음 시켰는데 너무 맛있어요😭😭다음에 지나가다 꼭 매장에서 먹을게요😋😋,"['https://rev-static.yogiyo.co.kr/237b8b7a9b4a8cd7caca46326ed669a2_tn.jpg', 'https://rev-static.yogiyo.co.kr/3812934468bf41feddbf38ffd068dca0_tn.jpg']"
6,5,"['이루카 특선 세트 （참치＋광어＋연어뱃살＋새우＋흰살묵은지＋간장새우＋소고기불초밥＋민물장어＋타코와사비＋황새치뱃살）', '연어 2P']","영통에는 배달시켜먹을만한 초밥집이 없다고 생각했는데 여기 짱이네요 ㅠㅠ 연어도 안 비리면서 향은 달큰하니 있고, 참치 안 좋아하는데 여기 참치는 잘 먹었고, 무엇보다 장어가 장난 아니네요 ㅠㅠ 쫄깃하면서 사르르 녹는 부드러운 맛도 있고... 장어만 10피스 먹고싶어요. 초밥은 원래 배 부르려고 먹는거 아니고 맛있으려고 먹는거라 양 좀 적은건 전혀 문제가 되지 않습니다! 밥 적게 요청한거 들어주셔서 감사해요! 진짜 맛나요!",['https://rev-static.yogiyo.co.kr/75df72794963ecef7554e03cdb1abbff_tn.jpg']
7,4,"['연어 5P ', '왕새우튀김 3P']",맛있어요 역시~~ 단골집입니다 깔끔해요,[]
8,5,"['연어불초밥 5P', '한치 5P', '간장새우 5P', '연어 2P', '구운계란 2P', '광어 2P']",정말 맛있어요!!!,['https://rev-static.yogiyo.co.kr/100f9760c4abd30ca9eddad62b2f4c02_tn.jpg']
9,5,"['연어 세트（연어뱃살＋연어3P＋연어사과마요2P＋연어마요＋연어산고추＋스리라차연어＋연어불초밥）', '이루카 특선 세트 （참치＋광어＋연어뱃살＋새우＋흰살묵은지＋간장새우＋소고기불초밥＋민물장어＋타코와사비＋황새치뱃살）', '구운계란 2P']",계란초밥이 다른집과 달리 불맛이 나는게 색다르고 맛있어요! 뭔가 고급진 계란초밥?ㅋㅋ 다른 초밥도 진짜 맛있네요 여기서 계속 시킬듯ㅋㅋ,[]
