,별점,주문메뉴,리뷰,사진
0,4,['닭볶음탕 中'],저희 남편이 수원이사와서 시켜먹은 닭도리탕중 젤 낫다고 하더군요.ㅋ남아서 재탕해먹었는데도 맛이 괜찮았어요^^,[]
1,5,[],갈비찜 괜찮네요~~!,[]
2,4,[],국물이 많아서 처리하기 힘들지만 8ㅅ8맛있고 고기 양도 적당해서 좋아요,[]
3,5,['닭볶음탕 中'],닭도리탕 완전 맛있어요,[]
4,5,"['매운갈비찜 中', '콜라 500mL']",역시 언제먹어두 맛잇어요 짱짱~~,[]
5,5,['묵은지닭볶음탕 中'],닭도리탕 항상 여기서 시켜요~,[]
6,5,['매운갈비찜 小'],맵고 고기도 부드럽고 맛있어요 ㅎㅎㅎ,[]
7,1,['매운갈비찜 小'],고기 중국산인가요? 양념맵기만하고 고기는 질기고..별하나도 아깝...,[]
8,4,[],항상 갈비찜을시켜먹는데 변함없이 맛있습니다.,[]
9,5,['매운갈비찜 小'],고기 부드럽고 양도 좋고 맛도 좋아요~,[]
10,1,[],여기서 시켜먹지마세요 묵은지 감자탕시켜서 30분걸린다고해서 기다렸더니 한시간뒤에 오는것도 모자라서 묵은지 갈비찜이왓네요? 전화햇더니 그제서야 감자탕이엿네 이러시고 시간도 늦게왓다고하니까 원래 40분걸린다고 오히려 뭐라고하시네요 다시는 안시켜먹으려고요,[]
11,5,[],한 5번 먹었는데 가장 괜찮은 집이네요,[]
12,4,['매운갈비찜 中'],배달치곤 괜찮았어요,[]
13,5,['닭볶음탕 中'],맛있어요~ 자주 시켜먹을게요^^,[]
14,4,"['매운갈비찜 小', '공기밥', '콜라 500mL']","음식은 맛있는데요.. 같이 주문한 콜라가 반쯤 열린채 와서 탄산이 다 빠져 있습니다ㅠ 반쯤 마시고 나서야 한때 이슈였던 사건들이 생각나는데.. 이런경우는 처음이네요 신경좀써주세요,",[]
15,5,"['묵은지매운갈비찜 大', '공기밥', '사이다 1.25L']",자주 시켜먹는데 그냥 존맛!!,[]
16,4,[],괜찮음,[]
