,별점,주문메뉴,리뷰,사진
0,2,[],도시락은먹을만해여!!김치찌개는밍밍하두여…,[]
1,2,[],독담이라 꿈쩍을 못해 불렀는데...설렁탕과 갈비탕 시켰는데 육개장과 갈비탕이 왔어요그냥 먹긴했는데... 맛은 홈플러스 식당보다 질과 양이 다 떨어져 요. 반찬도 너무 조금이고 엄청짜요 담 부터는 안시켜요,[]
2,1,[],언제 그릇 받으러오나요? 벌써 이틀이나 지났는데....,[]
3,3,[],음,[]
4,4,"['김치찌개 2人', '공기밥']",생각했던거 보다 맛있네요~^^,[]
5,3,[],고기가 잘 안떨어져요 ㅠㅠ,[]
6,4,[],김치찌개  생각보다  마시써요~~딱 내입맛~~,[]
7,1,"['생선구이도시락', '김치삼겹볶음도시락']",개인적으로 너무 별루였음!,[]
8,4,[],그냥그래요,[]
9,5,['부대찌개 2人'],음~~~맛나요^^,['https://rev-static.yogiyo.co.kr/16e4b8f7a91f51883e163f95905a3c94_tn.jpg']
10,3,['불고기뚝배기 2人'],밥은맛있어요 반찬도맛나고 근데전화받으신 이모님 넘 쌀쌀맞네요 좀만 더친절하시길~~~또먹을 의향있어용,[]
11,1,[],평소에 몇번시켜먹었는데 밥먹으려고 뚜껑열자마자 모기인지 무슨벌레가저렇게눌려있네요 뚜껑열자마자 벌레보여서 밥도못먹었네요,"['https://rev-static.yogiyo.co.kr/e6169caf215bc522c09103ba6953414f_tn.jpg', 'https://rev-static.yogiyo.co.kr/e2cb43d6408f6303125bb932d255c908_tn.jpg']"
12,1,[],여기 맛잇다고 한 사람들 OOOO듯,['https://rev-static.yogiyo.co.kr/b15f629edc65bbdca33b1709c176d13a_tn.jpg']
13,5,"['돈불도시락', '떡갈비도시락']",굳,[]
14,5,"['순두부찌개 2人', '김치볶음밥도시락']",맛있게 먹었어요,[]
15,5,"['떡갈비도시락', '김치삼겹볶음도시락']",ㅎㅎ,[]
16,5,"['떡갈비도시락', '김치볶음밥도시락']",굳,[]
17,1,"['삼계탕 1人', '계란말이']",아무리 냉동음식 조리한다지만 음식은 따뜻하게 익혀주셔야죠. 배달이라 맛은 기대 안 했지만 그 이하에 이하네요.,[]
18,2,"['부대찌개 2人', '주먹밥']",분명 조리완료라고 되잇어서 시킨건데 ... ㅇ놀부가 끓여야 되서 시킨건데 ... 끓여야 되네요,['https://rev-static.yogiyo.co.kr/1290a7f67d2c7998194d6502bb96587f_tn.jpg']
19,5,['김치찌개 2人'],너무맛잇다김치찌게♥♥♥♥♥♥,[]
20,4,"['계란말이', '김치볶음밥도시락', '사이다 500mL']",맛있습니다......,[]
21,4,['부대찌개 2人'],부대찌개 얼큰하고 괜찮습니다,[]
22,1,[],"다른 집은 끓여서 드셔야됩니다라고 표시가 되있는데, 여기는 조리후 배달만 있는데도 재료만 보내주네요. 조리하기싫어서 여기서시킨건데..  정확하게 해주셔야죠 환불도안되고 이게뭔가요ㅡㅡ",[]
23,5,"['갈비탕 1人', '소불도시락']",맛있어요~~~ 갈비탕국물 굿,[]
24,3,['제육볶음 2人'],맛있어요...근데 배달이 좀 늦어요,[]
25,5,"['김치찌개 2人', '계란말이']",이집 김치찌게잘합니다~,[]
26,5,['부대찌개 2人'],맛있게 잘 먹었습니다!!!,[]
27,5,['부대찌개 2人'],맛있습니다~ 담에 또 시켜먹을것 같아요,[]
28,5,"['내장탕 1人', '김치삼겹볶음도시락']",맛있어요 ㅎㅎㅎㅎㅎ,[]
29,5,"['김치찌개 2人', '공기밥']",재주문 몇번째인지 너무 맛있음,[]
30,5,"['순대국 1人', '떡갈비도시락', '주먹밥', '사이다 1.25L']",맛있어요 ㅎㅎㅎㅎㅎ,[]
31,5,"['내장탕 1人', '제육도시락']",맛있어요 ㅎㅎㅎㅎㅎ,[]
32,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있어요 ㅎㅎㅎㅎㅎ,[]
33,5,"['순두부찌개 2人', '공기밥']",맛있어요 ㅎㅎㅎㅎㅎ,[]
34,5,"['내장탕 1人', '돈불도시락']",맛있어요 ㅎㅎㅎㅎㅎ,[]
35,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
36,4,"['내장탕 1人', '육개장 1人']",잘먹었어요~~~^^,[]
37,5,"['순대국 1人', '소불도시락']",맛있네요ㅎㅎ,[]
38,5,"['내장탕 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
39,3,"['김치찌개 2人', '콜라 500mL']",살짝 맹탕이에요 푹 끓인맛이 없네요좀 더끓여주시면 좋겠어요,[]
40,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
41,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
42,4,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
43,4,"['된장찌개 2人', '공기밥']",맛있네요ㅎㅎ,[]
44,5,"['된장찌개 2人', '공기밥']",맛있네요ㅎㅎ,[]
45,5,"['내장탕 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
46,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
47,4,['뼈해장국 1人'],제가 원하는맛은 아니었지만 괜찮았습니다,[]
48,5,"['된장찌개 2人', '공기밥']",맛있네요ㅎㅎ,[]
49,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
50,5,"['된장찌개 2人', '순대국 1人', '공기밥']",맛있네요ㅎㅎ,[]
51,5,"['순대국 1人', '떡갈비도시락']",맛있네요ㅎㅎ,[]
52,5,"['된장찌개 2人', '공기밥']",맛있네요ㅎㅎ,[]
53,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
54,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
55,1,"['뼈해장국 1人', '갈비탕 1人']",배달음식 이라 정성두 없구  맛두없구 가격대비 너무 심하네여  신경좀쓰시길,[]
56,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
57,5,"['부대찌개 2人', '공기밥']",맛있네요ㅎㅎ,[]
58,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
59,1,"['청국장 2人', '스팸햄구이도시락']",와 먹기도전에 짜증나는곳이네요.배달시간이 한시간을 훌쩍 넘긴건 사장님께서 저희주소를 맘대로 바꿔서 왠 주유소에 음식이갓엇다네요..너무늦어서 전화하니까 짜증내면서 끊으셧죠?안들리는줄 아십니까?아주머니 전화받는매너 너무 꽝이시더군요.그냥막끊어버리시고.이도시락이 팔천원이고계란후라이 기름이 밥아래까지 흥건하네요..청국장은 2인분치고 양이 굉장히 적구요.그리고 덧붙히자면 리뷰에 복사글처럼 반복적으로 적으신분혹시 가족이나 지인분이실까요?여기 전에도 잡음많더니 역시 나아지지않앗네요.,['https://rev-static.yogiyo.co.kr/b256b288774db55f1b12efa8d1680e19_tn.jpg']
60,1,"['계란말이', '김치삼겹볶음도시락', '사이다 500mL']",음식오지도 않았는데 배달됬다고뜨네요 한시간넘게 기다리다가 전화해보니까 무슨 요기요어플에서 전화를안줬다고 취소한줄안았다고하네요,[]
61,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ,[]
62,5,"['뼈해장국 1人', '제육도시락']",맛있네요ㅎㅎ     알바나지인아닌데 단골인데 *맘대로 남을 재단하네  *,['https://rev-static.yogiyo.co.kr/d9922ba18be617f656040df182ee1cb1_tn.jpg']
63,5,['순대국 1人'],양도 많고 배달도 빠르고 좋아요.,[]
64,5,"['순대국 1人', '제육도시락']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
65,5,"['된장찌개 2人', '공기밥']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
66,5,"['순대국 1人', '제육도시락']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
67,3,"['순대국 1人', '콜라 500mL']",배달완료 후 10분후에 배달되고 사이트 기재 안되었는데 배달료 따로 받아 가셨습니다. 상담 아주머니도 좀 불친절 하신듯.,[]
68,5,"['돈불도시락', '김치삼겹볶음도시락']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
69,4,['제육볶음 2人'],너무 맵다..ㅠㅠ 매워 ㅠㅠ,[]
70,5,"['순대국 1人', '김치삼겹볶음도시락']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
71,5,"['청국장 2人', '공기밥']",진심 너무 너무 맛있었어요. 엄마가 청국장을 너무 좋아하시는데 지금 까지 먹었던 곳들 비교할 수 없을 만큼 맛있대요. 제대로 하는 청국장집입니드. 진심 추천이요.나중에 식당에서 직접 가서 먹어보고 싶어요  조만간 식당으로 찾아 갈게요!!!!!,[]
72,5,"['순대국 1人', '제육도시락']",맛잏ㅅ네요,[]
73,5,['뼈해장국 1人'],"반찬, 뼈해장국 다 만족스러웠습니다!! 다음에도 종종 이용해야겠어요",['https://rev-static.yogiyo.co.kr/91a968d6e939a967b016d2f342751103_tn.jpg']
74,1,"['뼈해장국 1人', '내장탕 1人', '갈비탕 1人']",양도작고 맛도없어여가격도 음식에비히면비싸네요,[]
75,1,"['갈비탕 1人', '공기밥']",여러분 제발 시키지 마세요이게 7500원 갈비탕1인+ 1000원 공기밥+ 배달비 2000원 가격입니다 .. 진짜 갈비탕 보고 충격받았습니다실 사진입니다,['https://rev-static.yogiyo.co.kr/9d26b41d89dbbf995d60749eeed13204_tn.jpg']
