,별점,주문메뉴,리뷰,사진
0,5,"['파채듬뿍 제육볶음', '30cm 즉석 고등어구이', '공기밥', '콜라 500mL']",맛있었어요 1인분 주문도 깔끔하고 좋았습니다,[]
1,5,['1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）'],음식 배달도 빨리 오고 음식 반찬 전체적으로 양과 맛이 훌륭하네요. 잘가는 동태집에서 고등어 구이먹을때 이정도면 만원은 받아 먹었는데 저렴하기까지 하고 신선도며 크기며 빠질게 없습니다.배달음식점에서 만족스러운 식사하기 어려눴는데 정말 만족스러웠습니다. 자유 이용하겠습니드 ^^,['https://rev-static.yogiyo.co.kr/247b2396fafb02d768f03dae44e2256c_tn.jpg']
2,5,"['한마리 코다리조림', '얼큰돼지 김치찌개']",맛있네요자주시켜 먹을께요,[]
3,5,"['1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）', '시원칼칼 순두부찌개']",신선한 재료로 정성껏 만들어주신 맛있는 음식이었습니다.고등어 굽기도 딱 적당하고 찌개에 들어간 바지락이 신선했습니다. 자주 시켜먹게될 것 같아요.,['https://rev-static.yogiyo.co.kr/d1716c32fa8af6235382500bf315b937_tn.jpg']
4,5,"['1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）', '오동통통 쭈꾸미']",연달아 쓰는 리뷰. ^^첫 주문 때는 리뷰이벤트 있는지도 몰랐는데 너무 감동해서 리뷰를 썼더랬죠. 오늘 바로 이어쓰려니 조금 부끄럽지만 맛있는 걸 어떡합니까.. 또 시켜서 맛있게 먹었습니다. 된장찌개도 일품메뉴로 독립시켜주심 안되나요?,['https://rev-static.yogiyo.co.kr/b4e049eef1a1094771ff286779b1c0ee_tn.jpg']
5,5,"['오동통통 쭈꾸미', '두툼두툼 수제돈까스']",오늘도 먹는데 정신없어서 사진을못찍었어요ㅜㅜ오늘도 맛나게 잘먹었습니다 쫀드기도 잘먹었습니다~~~,[]
6,5,"['단짠단짠 소불고기', '오동통통 쭈꾸미', '특大 새우튀김 3마리', '공기밥']",새우튀김도 맛나고 다 잘먹었습니다~~~,[]
7,5,[],리뷰참여한다고 썼는데 계란찜 안보내주셨어요. ㅜ그렇지만 오늘도 맛있어서 리뷰 남깁니다.,[]
8,5,['1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）'],"먹다가 리뷰남기긴 처음이네요 진짜 대박맛잇어요,,리뷰좋은이유가 잇구나..맛 변하지 않앗으면 좋겟다1인분 배달인데 바지락이 끝없이 나와요.이런곳 처음이다 증말 대박👍👍","['https://rev-static.yogiyo.co.kr/dbfa32a8e3a7430c90902abb18ac57a2_tn.jpg', 'https://rev-static.yogiyo.co.kr/686d389a5514e7b18c9c717575aae176_tn.jpg']"
9,5,"['1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）', '1인찌개&고등어세트（찌개 택1＋30센치 즉석고등어）', '오동통통 쭈꾸미', '공기밥']",정말 맛잇음. 솔직히 다른말 쓸께없고 맛잇음,[]
