,별점,주문메뉴,리뷰,사진
0,5,"['혼술셋트 1', '갑부 준마이 750']",전혀 기대 안했는데 너무너무 만족합니다~ 모찌리도후가 와서 깜짝놀랬어요~요기요 몇년 사용하면서 리뷰쓴적이 없는데 진짜 대박이라 남깁니다~ 맛있게 다 먹은 후 라 사진은 못 올렸지만 강추입니다~,[]
1,5,['모듬꼬치（8종）'],맥주안주로 꼬치시켰는데 기대이상의 존맛이였습니다,[]
2,5,['특초밥'],간단히 먹기엔 괜찮네요,[]
3,3,['혼술셋트 1'],혼술세트에 초밥이 절반이 넘어서 당황했네요맛은있지만 술안주로는 부족해요,[]
4,5,['특초밥'],맛있습니다!!!!!!!!!!!!!,[]
5,5,['모듬꼬치（8종）'],모듬꼬치 시켰는데~~맛있어요~~^^다른 메뉴는 설명?이 더 필요한것 같습니다.,[]
6,4,"['혼술셋트 1 ／ 사시미（광어 2', '연어 2', '주도로 참치 2p）＋초밥 7p', '시사모 5p']","솔직히 양이 많다고는 할 수는 없습니다. 일식안주 좋아해서 여기저기 시켜보는데 안남기고 다시 시키고 싶은데가 여기뿐이네요. 일단 각 메뉴별로 신선하기도하고 먹기좋은 사이즈에 온도가 각각에 딱맞습니다. 일식은 특히 온도가 중요하다고 생각하고, 다른데는 양이 적어도 못먹겠어서 남기는경우가 많은데 여기는 각각이 맛깔스럽고 다 먹고나면 양이 아쉽네요. 도수 높은 거에 홀짝이며 먹기 좋습니다.",[]
7,5,['모듬사시미 ／ 광어＋연어＋혼마구로＋주도로＋전복숙회＋타코와사비＋간장새우'],가게에서 몇 번 먹고 맛있어서 배달 시켜봤는데 완전 좋네요. 퀄리티를 생각하신다면 후회 없을겁니다. 앞으로 자주 먹을 것 같아요~,['https://rev-static.yogiyo.co.kr/a304db329835d0a85fcd9426909d9afb_tn.jpg']
8,5,"['혼술셋트 2 ／ 사시미（광어 2', '연어 2', '주도로 참치 2p）＋초밥 7p＋미니돈까스＋왕새우튀김＋오뎅탕', '모듬꼬치（8종）']",서비스로 주신 모찌도 맛나게 잘먹었어요~~ 꼬치랑 사시미랑모두 만족스럽답니다~~ 집에서 편안하게 맛나고 정성스런음식 먹을수 있어서 감사드려요~~,"['https://rev-static.yogiyo.co.kr/decc54c10b22eb825378a3b2218a167f_tn.jpg', 'https://rev-static.yogiyo.co.kr/d89c22308b0b57a9f8558d3f3ed2e67c_tn.jpg']"
9,5,['모듬꼬치（8종）'],"야식으로 신랑이랑 둘이 먹으려고 시켰는데 애들이 더 맛나게 먹었어요.. 비오는 주문으로 늦은건 이해 되구여, 너무 맛나게 먹었습니다..사장님? 도. 찬절히 전화 주셨구요.. 고급지게 한잔 하려다 애들한테 뺐겨서 양은 좀 적었네요.. 그래도 계속 주문하고 맛나게 먹을 의향은 100프로 입니다~",['https://rev-static.yogiyo.co.kr/4bb41d089d2ea39d6d610a300a36697c_tn.jpg']
10,5,"['민물새우깡', '나가사끼 짬뽕']",첫주문인데~~ 넘 기분좋으네요^^사장님의 손글씨로 작성된 서비스도주시구~~다맛있어용~  헌데 새우깡양좀더늘려주세용^^~,['https://rev-static.yogiyo.co.kr/4c91202062f512910162e8cb80dcba7e_tn.jpg']
11,5,['미니사시미'],배달도 빠르구 맛있습니다. 서비스 모찌리도후 감사합니다~,[]
12,5,"['모듬꼬치（8종）', '참치타다키']",항상 맛나요~~ 참치도 맛나고 좋습니다~~ 소스랑 야채랑 모두모두 맛나답니다~~ 모듬꼬치는 당연히 최고구요~~ 항상 맛난 음식 잘 먹고 있습니다~~ 포장 꼼꼼히 해주셔서 넘나 감사해요~~,"['https://rev-static.yogiyo.co.kr/0adc32597e8c245f273ec37bce69b0c7_tn.jpg', 'https://rev-static.yogiyo.co.kr/b61e5e60f445a56f22efdbd659ba1493_tn.jpg']"
13,5,"['간장새우（10ea）', '시사모 5p']",맛있었어요   서비스도 감사합니다,[]
14,5,"['혼술셋트 1 ／ 사시미（광어 2', '연어 2', '주도로 참치 2p）＋초밥 7p', '매운해물 오뎅나베']",위험한 음식입니다. 끝없는 술을 부릅니다. 혼술 세트에 있는 연어 사시미 진짜 최고감동입니다bbb   매운오뎅나베도 진짜 감동입니다,[]
15,5,['미니사시미'],미니사시미 혼술할때 시키는데 맛있어요~,[]
16,5,"['모듬사시미 ／ 광어＋연어＋혼마구로＋주도로＋전복숙회＋타코와사비＋간장새우', '모듬꼬치（8종）']",사시미 신선도도 괜찮고 꼬치도 맛있네요. 직접 매장에서 먹었다면 더 훌륭했을것같아요,[]
17,4,['모듬사시미 ／ 광어＋연어＋혼마구로＋주도로＋전복숙회＋타코와사비＋간장새우'],가격대비 좀 비싼 감은 있지만퀄리티는 좋네요~^^,['https://rev-static.yogiyo.co.kr/9ab1e22caa74de17d73e7b792eeedb0d_tn.jpg']
18,5,['미니사시미'],가끔 참치에서 질긴게 나오긴하는데 그래도 맛나요,[]
19,5,"['모듬꼬치（8종）', '미니 오뎅탕']",참 맛있는 음식점 입니다. 항상 맛있게 잘 먹고 있어요~,[]
20,5,"['모듬꼬치（8종）', '민물새우깡']",3번째 주문해서 먹었는데...맛있어요!가끔...술 생각날 때 주문할게요~~^^,[]
