,별점,주문메뉴,리뷰,사진
0,5,['차돌박이육개장'],항상 빠르고 맛있어요,[]
1,5,"['차돌박이육개장', '어린이 맑은육개장', '공기밥']",차돌박이육개장과 어린이맑은육개장 주문해서 먹어봤습니다. 적극 추천합니다. 백김치와 깍두기도 완전 맛있어요.,[]
2,4,"['전통육개장', '공기밥']",맛잇어요  그런데  배달료 3000원....  이  너무  아까워서  3텅 시켜서  얼려서  먹네요 ㅠㅠㅠㅠㅠㅠ,[]
3,3,"['전통육개장', '공기밥']",맛은별로  국물안 많아요,[]
4,5,['전통육개장'],굿굿굿 다들 아는 맛. 굿,[]
5,5,['모듬수육전골 大'],모둠수육전골은 처음 먹어봤는데 맛있네요~^^ 배달도 빠르구요~ 가만 아쉬운건 육수 리필을 할 수가 없다는거. 하지만~국물도 고기도 정말 맛있어요~,[]
6,5,"['얼큰한육개장', '공기밥', '사이다 500mL']",가격대비 시켜먹기 괜찮은 곳. 드셈,[]
7,5,"['전통육개장', '사골 떡만두국', '메밀전병', '공기밥']",항상 배송도 빠르고 맛나요.   잘 먹었습니다.,[]
8,5,"['어린이 맑은육개장', '한판보쌈']",너무 맛있어요!!! 개눈감추듯 먹어치웠네요 ㅎㅎㅎㅎ 또 주문할께요~^^,[]
9,5,"['세트3（전통보쌈 小（1~2인분）＋육개장 1인＋콜라）', '어린이 사골떡만두국']",맛잇어요 자주 시켜먹고 있습니다,[]
10,5,['전통육개장'],깔끔하고 맛잇습니다,[]
11,3,"['차돌박이육개장', '한판보쌈']",맛있어요 맛있어요 ~~~,[]
12,5,['전통육개장'],"빠른배송, 맛있어요",[]
13,5,"['어린이 맑은육개장', '어린이 사골떡만두국']",애기들이 맛나게 잘먹었어요 맛있어요,['https://rev-static.yogiyo.co.kr/8ea15b833df694d0b00465d5d37d8131_tn.jpg']
14,5,"['전통육개장', '맑은육개장', '사골 떡만두국', '메밀전병', '공기밥']",맛나게 잘 먹었어요.    하나도 안 식고 잘 왔어요.,[]
15,5,"['전통육개장', '맑은육개장', '만두 반접시']",굿.,[]
16,5,"['얼큰한육개장', '어린이 맑은육개장', '물냉면']",먹을때마다 이집은 절대 배신하지 않아라는 말을 연신 내뱉으며 먹어요~음식 맛 배달 모두모두 만족입니다~늘감사드려요~♥,[]
17,5,"['전통육개장', '차돌박이육개장', '만두 한접시']","사장님,넘 맛있쪙 굿 ㅋ.ㅋ",[]
18,1,"['전통육개장', '만두 반접시']",리뷰 믿고 시켰는데 완전 별로도 별1개도 아까움 아깝다는심정입니다.리뷰작성 작업이신가..ㅡㅡ국물은질질새고 뒤집어지고나가서 짬뽕먹고왔어요~~,[]
19,5,['어린이 사골떡만두국'],아이들먹기에 괜찮아요 자주 시켜먹을듯요,[]
20,5,"['세트3（전통보쌈 小（1~2인분）＋육개장 1인＋콜라）', '사골 떡만두국', '공기밥']",따뜻한국물 얼큰한 맛 맛나요.    보쌈도 맛있었어요^^,[]
21,5,"['세트2（전통보쌈 中 （2~3인분）＋육개장 1인＋만두 반접시＋콜라）', '사이다 500mL']",믿고먹는 이화수 ㅋㅋㅋㅋㅋ맨날 육개장만먹다가 보쌈들어있는세트 시켰는데 세상에마상에 너무맛있더라고요 짱입니다!!!!!,[]
22,5,"['전통육개장', '어린이 맑은육개장']","여기 육개장만 먹어요 항상 매장서 먹다가 아기가 아파서 배달시켰어요~아기는 맑은육개장,전 전통육개장~~고기도 많고 석박지도 꿀맛 ♡♡어린이육개장도 아이가 잘먹네요 맛나요",[]
23,5,"['얼큰한육개장', '어린이 맑은육개장', '한판보쌈']",맛있어요 ㅎ,[]
24,5,"['차돌박이육개장', '한판보쌈', '메밀전병', '공기밥']",맛도 좋고 다좋은데 배달하시는분이 대행업체인지 몰라도 1층에와서 전화해서 하는말이 1층에와있다고 하시는데 재가 1층에가서 가져가야되는건지모르겠네요,[]
25,5,"['전통육개장', '맑은육개장', '한판보쌈']",맛나게 잘 먹었습니다.  감사합니다.,[]
26,4,['어린이 사골떡만두국'],애기들 입맛없어할때 잘시켜먹고있어요,['https://rev-static.yogiyo.co.kr/823df092f0eec3592513db0b701eb50c_tn.jpg']
27,5,['전통육개장'],배달도 빠르고 맛도 정말 좋습니다^^,[]
28,5,"['차돌박이육개장', '물냉면']",배달비가 비싸긴 하지만 맛잇게 잘 먹엇습니다 차돌 육개장은 좀 느끼햇습니다,[]
29,5,"['차돌박이육개장', '육개장칼국수', '만두 한접시']",만두넣어먹으니 엄청꿀맛육개장과 만두시켰더니 만두가 남네요.... 엄청 배터지게먹었는데ㅜㅠ,['https://rev-static.yogiyo.co.kr/acf93a80c0737167025a10a45989ba83_tn.jpg']
30,4,"['전통육개장', '공기밥']",맛은 여전히 있습니다 근데 밥에 고춧가루가 묻어있었네요...,[]
31,5,"['전통육개장', '차돌박이육개장', '만두 한접시']",배터지게 먹었습니다!! 맛있어요!!배달도 너무 빠르게와서 놀랬어요 !!,[]
32,4,['얼큰한육개장'],역시 육개장은 이 지점이 우수합니다,[]
33,1,[],맛있게 먹고있었는데 안에서 비닐이 나왔어요ㅠㅠ좀더 신경써주세요..,['https://rev-static.yogiyo.co.kr/9603b2e415bd3a36138d77d83d925033_tn.jpg']
