,별점,주문메뉴,리뷰,사진
0,2,"['한판보쌈', '공기밥']",메모 남기는 칸을 만들지 마시던지 한두번 주문하는것도 아닌데 메모는 매번 안지키시네 야밤에 벨을 누르지 않나,[]
1,5,"['전통육개장', '차돌박이육개장', '고기만두（한접시）']",육개장 맛나네요 재료도많이들어있구 딴데육개장하곤좀틀리네요 좀비싸도 괜찮네요,[]
2,2,"['한판보쌈', '공기밥', '코카콜라 350mL', '소주']",냄새가심하고영아니엿어요,[]
3,3,"['전통육개장', '어린이맑은육개장', '메밀전병']",이화수육개장 잘 찾아먹는집이라 육개장 맛은 좋아요전병은 정말 맛이없네요 배달하시는분이 정말 급하게 오셨는지 비닐봉지 안에 이리저리 다 섞여서 엉망으로왔어요 전병도 속이 다 빠지고 전병과 배달부분이 별로라 별두개뺍니다,[]
4,5,"['어린이사골떡만두국', '양지육개장전골 中']",음전골은 처음 먹어봤는데넘나 맛있었어요^^신랑도 대대만족이었네요^^,[]
5,5,"['차돌박이육개장', '한판보쌈']",육개장만 먹을만해요 보쌈은 값어치치곤 맛이 없어요,[]
6,5,['전통육개장'],"바들도 빠르고 맛도 이화수중 최고인데, 배달용기랑 양이 저금 아쉽",[]
7,5,['전통육개장'],처음 시켜봤는데 맛있네요^^대파랑 고기도 푸짐히 들어가 있고 백김치 넘 맛있어요^^,[]
8,2,"['전통육개장', '한판보쌈']",백김치는 싱겁고맛도없고..배달에 성의가부족해보여요ㅜ 용기도 먹기불편하고 배달은 빠른편,[]
9,5,['전통육개장'],맛은 정말로 좋네요 다른체인점에 비해서 맛이 더 좋네요 맛잇게 잘먹었습니다,[]
10,3,"['전통육개장', '고기만두（반접시）']",FffojjBhhh,[]
11,5,"['차돌박이육개장', '메밀전병']",맛있어요 육개장 굿굿,[]
12,5,"['전통육개장', '한판보쌈', '고기만두（반접시）', '공기밥', '코카콜라 350mL']",구맛ㅡㅡㅡㅡㅡㅡㅡ,[]
13,4,"['전통육개장', '한판보쌈']",좀 느끼 했어요. 개운한 맛이 아님.  량은 많음.,[]
14,5,"['전통육개장', '한판보쌈', '고기만두（반접시）', '참이슬 후레쉬']",짱짱짱 맛나요👍자주 시킬게요,[]
15,4,"['차돌박이육개장', '한판보쌈', '공기밥']",육개장 개인적으로 맛있게먹었음,[]
16,4,"['한판보쌈', '고기만두（반접시）', '맥주']",고기만두 맛있어요~ 보쌈양은 살짝적은듯ㅜㅜ,[]
17,4,"['차돌박이육개장', '공기밥', '처음처럼']",맛은 맛잇는데 공기밥 밥좀 많이 주세여 ㅎ,[]
18,2,"['차돌박이육개장', '메밀전병', '공기밥', '막걸리']",대행비 포함해서 선결제했는데배달와서 배달료를또달라구하내들어워서 배달못시겄네 이중배달로라니 ㅠ,[]
19,1,"['차돌박이육개장', '고기만두（반접시）']",무슨 냉동식품 주문한줄 알았어요. 한참 데워서 먹었네요.,[]
20,4,"['전통육개장', '코카콜라 350mL']",음식 괜찮아요 배달이좀느려요,[]
21,4,"['전통육개장', '사골떡만두국']",음식용기를 안전한 것으로 바꾸시면 안될까요? 희워진 비닐은 열에 녹은후 쪼그라들고 그릇도 줄어들고 모양 변형이 되요 몸에도 해로울텐데 안전한걸로 바꿔주세요 음식맛이 좋아서 시키게되는데 그릇이 항상 걸려요,['https://rev-static.yogiyo.co.kr/b76b2ae42e1443fee60a7588054118fc_tn.jpg']
22,3,"['전통육개장', '한판보쌈', '메밀전병']",배달원이 불친절과 다새어 배달합니다. 이정도는 다 새는거 아닌가요?라는 배달원의 멘트와함께배달됩니다. 맛은좋아요.,['https://rev-static.yogiyo.co.kr/6c6b08495283dc266f67a306ea064628_tn.jpg']
23,1,"['전통육개장', '맑은육개장']",맑은육개장 국물 많이 달라고 했더니대체 물을 얼마나 탄건지 완전맹탕물이라 먹는 내내 욕이나왔다  결국 반쯤 먹다 더 먹을 수가 없었다. 육수 추가 안되면 전화로 안된다고 하면될 것을... 엿먹으라는 건지...닥치고 주는대로 먹으라는 건지...이런 마인드로 만드는 음식..믿고 먹을 수 있을까?!싶다사장님...참 대~단하십니다돈 많~이 버셔서 빌딩사셔요~~육수 많이 달라고 해서 미안합니다,[]
24,5,"['전통육개장', '차돌박이육개장', '맑은육개장']",자주 먹는 집입니다이번엔 차돌육개장을 시켜봤습니다국물맛이 전통육개장에 비해 더 진한  느낌입니다맑은육개장은 두었다가 먹으면 훌륭한 한끼가 됩니다사람들은 살짝 익은 파를 좋아하나본데저는 파를 푸~욱 익힌걸 좋아해서 푹익혀달라고 해서 먹으면 참 맛있습니다^^,[]
25,5,"['차돌박이육개장', '한판보쌈']",차돌육개장 처음먹었봐는데맛있내요,[]
26,5,['차돌박이육개장'],아 새벽에 육계장을 먹을수 있다니앙기모띠,[]
27,5,"['전통육개장', '맑은육개장']",맑은육개장은 아이들도 잘먹어요 맛있습니다,['https://rev-static.yogiyo.co.kr/8460ca450a02a693a015b87177a42e78_tn.jpg']
28,4,['모듬수육전골 大'],비쥬얼 쩔어요~역시 가격대비가 짱,['https://rev-static.yogiyo.co.kr/9048e1785f6c7b16b650e958075bee50_tn.jpg']
29,1,['전통육개장'],아니 육개장을시켯는데 숫가락젓가락을  안가지고와놓고는 어떻게먹으라고 가져다달라니깐 2~30분 걸린다고하고 이게말안지 모르겟네요 어의가없어서 화가나네요,[]
30,5,"['전통육개장', '차돌박이육개장', '사골떡만두국']",맛있어요 다른사람들이 먹었을때 차돌은 좀 느끼하다고 하던데 저는 맛있더라구요,[]
31,3,"['차돌박이육개장', '한판보쌈']",맛은쏘쏘양보쌈은한10점?배달느림,[]
32,3,"['전통육개장', '맑은육개장', '한판보쌈']",맛있게 잘먹었어요,[]
33,5,"['전통육개장', '차돌박이육개장', '한판보쌈']",언제나 맛있게 먹고있습니다.,[]
34,5,['전통육개장'],파를 좋아하는데 파가 많이 들어있어섶 좋았어용,[]
35,5,['전통육개장'],맛있었어요.....,[]
36,5,['전통육개장'],자주 시켜먹는 집..맛있어용,[]
37,2,"['전통육개장', '메밀전병']",배달비가 3천원이나되네요 놀랏습니다;육게장은 대파탕인줄알앗습니다 전병은평타,[]
38,3,"['전통육개장', '차돌박이육개장', '한판보쌈', '참이슬 후레쉬', '맥주']",국물에 기름이 너무 많아요 당면도 너무 조금 들어가있어서 양에서 별하나 뺏습니다,[]
39,5,"['전통육개장', '사골떡만두국', '한판보쌈']",배달도 빠르고 맛있습니다,[]
40,5,"['전통육개장', '메밀전병']",맛있어요......,[]
41,5,['양지육개장전골 中'],다시 시켜 먹어도 역시 맛있네요지난번엔 육개장도 시켜 먹었었는데것도 맛있더라구요^^전 갠적으로 전골 강추임돠^^,[]
42,5,['전통보쌈 中'],"음식은 진짜 맛있어요 배달음식 밑반찬 싹싹 비운건  처음이예요 강추 , 맛있다보니 양이 적음 ㅜㅜ",[]
43,5,"['전통육개장', '차돌박이육개장']",배달굿 맛굿 양이좀적은듯매장에서먹맛나개먹구 배달로두시켜먹구~~,[]
44,5,"['전통육개장', '한판보쌈']",한판보쌈은 고기 12점에 김치쪼금인데 만원받네요ㅜㅜㅜㅜ실망입니더...,[]
45,5,"['전통육개장', '차돌박이육개장']",매장에서 먹는거랑 다를 바가 없네요~^^파의 들큰한 맛이 참 괜찮습니다~물김치랑 같이 먹으니 너무 좋았어요~석박지 대신 물김치만 2개 받아도 되나 모르겠어요~,[]
46,5,"['전통육개장', '고기만두（반접시）']",육개장이 끌리던 찰나에 시켜 봤는데진짜 국물도 얼큰하고 파가 많아서 그런지 시원하네요!자주 생각날거 같습니다.맛있게 만들어 주셔서 감사합니다!,[]
47,5,"['차돌박이육개장', '사골떡만두국']",차돌이 딱 4장 들어가 있는게 좀 아쉬워요 ㅠ 차돌을 조금 증량 해주심 좋겠어요,['https://rev-static.yogiyo.co.kr/ea9f037025c995e48bd0bd93fcabc5a2_tn.jpg']
48,4,"['전통육개장', '고기만두（반접시）', '막걸리', '환타파인 350mL']",육개장쵝오입니다 만두는 쪼금 아쉽네요ㅜㅜ만두를 상자안에 주는건 좋은데 밑에다 기름종이한장깔아주시면 더 좋을껏 같네요^^,[]
49,1,"['차돌박이육개장', '한판보쌈', '처음처럼', '막걸리']",배달인데 이화수 매장 가서 먹는것보다 양이작고보쌈은  퍽퍽하고 차갑고  배달은 별로,[]
50,3,['전통육개장'],양차이가 가서먹는거랑 차이가있는거같아요.. 맛있긴합니다.,[]
51,5,"['전통육개장', '차돌박이육개장', '메밀전병', '환타파인 350mL']",추운날 따듯하게  배달해주셔서 감사합니다!차돌박이 육개장이 진리!!!헌데.. 메밀전병 한쪽면이 다 탓더라구요...다음부턴 쫌만 신경써주세요!,[]
52,5,"['전통육개장', '고기만두（반접시）']",항상 배달도 빠르고 맛있습니다!파 많다고 뭐라 하시는 분 들은 육개장 맛을 모르시나...국물 끝내줍니다!!,['https://rev-static.yogiyo.co.kr/1034ffc93aa4be3cd6cc72b6b460f193_tn.jpg']
53,4,"['전통육개장', '차돌박이육개장', '고기만두（반접시）', '공기밥', '환타파인 350mL']",맛도 좋고 양도 괜찮았어요 근데 만두를 종이박스에 담아줘서 만두에서 종이맛 나요,[]
54,4,['차돌박이육개장'],맛있네요 배달비가 좀비싸긴 하지만 ㅋ,[]
55,5,"['전통육개장', '어린이사골떡만두국', '공기밥']",국물이 아주 진해요 육개장은 여기가 최고인듯 합니다,[]
56,4,['전통육개장'],날이 추워서인지 따끈한게 땡길때마다 주문하는데요. 고기랑 대파도 넉넉히 주시고 맛있어요.,[]
57,5,"['전통육개장', '공기밥']",생각보다 맛있어서 놀랏네요,[]
58,4,"['전통육개장', '한판보쌈', '고기만두（한접시）', '환타파인 350mL']",소자가 좀비싸긴한데 양은많아요,[]
59,1,"['사골떡만두국', '환타파인 350mL']",요기요로 먼저 계산했는데 와서 배달료달라그러시고 음식도 다 새서 지금 이게 국인지 볶음인지 국물 1도없고 저번에 육개장시켜서 별로여서 다른거시켰는데도 이번에도 이러네요 ㅡㅡ  정말 다시는 시켜먹지 않을랍니다,[]
60,5,['차돌박이육개장'],마시써요 근데 좀 맵습니당 ㅠㅠ,[]
61,5,"['차돌박이육개장', '고기만두（반접시）']",맛있어용,[]
62,5,"['전통육개장', '사골떡만두국']",우연잖게 먹게 되었는데 너무 맛있어서집에서 배달로 시켜  또 먹었네요제입에는 맛있어요남편은 조미료 느낌이 난다는데  그래도 맛은 있대요포장치고 양이 적은감이 있지만 또 시켜먹을 생각있습니다많이 파세요~,[]
63,3,"['전통육개장', '고기만두（반접시）', '공기밥']",맛잇는데 배달보단 가서먹는게좋음,[]
64,5,"['차돌박이육개장', '고기만두（반접시）', '칠성사이다 350mL', '고구마두부과자 ']",맛잇어요  장사 대박나세요,[]
65,4,"['전통육개장', '한판보쌈', '고기만두（반접시）', '막걸리']",육개장  처음시켜먹어보는데 먹을만했어요.,[]
66,1,"['전통육개장', '차돌박이육개장']","배달에 신경 좀 쓰세요다짜고짜 배달 대행 업체 기사가 와서 음식값만 결제하고 배달료 3000원을 현금으로 달라고 화내서 당황스럽고 무척 어이없었네요; 현금이 그나마 동전으로 있어서 다행이지 없었으면 어쩔뻔;; 그리고 원래 배달료 3000원을 꼭 모두 현금으로 지불하나요? 그런 설명도 없었다가 매장에 직접 전화해보니까 원래는 카드든 현금이든 음식값에 배달료랑 같이 결제되는게 맞네요. 그나마 매장에 여직원이 정중하게 사과해주셔서 더이상 화는 안냈는데, 배달 업체를 바꾸시던지 미리 전화를 주시던지 하세요. 음식 먹다가 기분 나빠진적 처음이네요.",[]
67,5,"['차돌박이육개장', '고기만두（한접시）']",맛있어요 그래도 가서먹는게 조금더맛나네요,[]
68,5,"['전통육개장', '공기밥', '환타파인 350mL']",맛있어요.육개장땡길때시켜먹기좋으,[]
69,5,"['전통육개장', '한판보쌈', '고기만두（반접시）']",직집 가서 먹던 집이라 이용해봤는데괜찮네요!,[]
70,5,"['전통육개장', '차돌박이육개장', '고기만두（한접시）']",맛있게잘먹었습니다~~,[]
71,3,"['전통육개장', '한판보쌈']",날씨가 춥긴했지만 너무 식어서 배달와서 아쉬웠어요,[]
72,3,['한판보쌈'],보쌈 고기가 다 식어서 오고배달원은 왜 올때마다 배달료달라고하시는지 모르겠네요음식도 다 쏟아지고..;;,['https://rev-static.yogiyo.co.kr/cac0141ba411b8a816f6d7f7a2367d1f_tn.jpg']
73,4,"['전통육개장', '차돌박이육개장']",배달도빠르고 맛있어요 자주시켜먹어요,[]
74,3,"['전통육개장', '한판보쌈']",먹을만해요~~~~,[]
75,3,"['한판보쌈', '고기만두（반접시）']",배달료 결제된거 같은데 또 받아가는건 뭐죠,[]
76,4,"['차돌박이육개장', '고기만두（한접시）', '칠성사이다 350mL']",맛있어용정말  괜찬아요,[]
77,4,"['차돌박이육개장', '어린이사골떡만두국', '공기밥']",맛이나 양은 좋습니다! 아쉬운건밤시간에 항상 시켜먹는데 배달상태가 깔끔하지가 않을때가 많네요배달포장 하실 때 좀 더 신경써주시면 좋을거 같아요!,[]
78,5,"['차돌박이육개장', '어린이사골떡만두국', '공기밥']",맛있어우유유유유유유,[]
79,5,"['차돌박이육개장', '사골떡만두국', '한판보쌈', '공기밥', '환타파인 350mL']",육개장은 당면 아주 쪼끔과 파 엄청 들어있었습니다.고기도 뭉탱이로 엮여있어서 분리해서 먹느라 힘들었고 만두국은 저렴한 맛이였습니당 보쌈은 약간 비렸지만 나름 만족해요!,[]
80,5,['한판보쌈'],외국인이지만 맛있다는게 진심입니다ㅏㅏㅏ!,[]
81,5,"['전통육개장', '고기만두（한접시）']",먹기 바빠서 사진을 못 남겼지만배달예상시간보다 일찍와서 놀랐네욤방금 끊인 것 처럼 뜨끈하게 오구 찐만두도 너무 맛있어용아주 갑♡♡♡,[]
82,5,"['차돌박이육개장', '어린이사골떡만두국', '한판보쌈']",육각장 맛있었어요ㅋ 애기 떡만두국도 괜찮았는데ㅋ싸이즈가 같다는게 아쉬웠습니다ㅋ가격차가 있는데ㅋㅋ또  시켜먹을꺼같아요,[]
83,3,['전통육개장'],양도 직접포장해오는것보다 적은듯.포장용기도 힘이없어 국물이흐름.배달은 잘못가지고 올라오셔서 배달비달라고하시고 잘못가져왔다고 다시 가지러갔다오심.,[]
84,5,"['전통육개장', '사골떡만두국', '한판보쌈']",진짜 맛있음 보쌈은 차라리 이화수가 낫죠,[]
85,4,['전통육개장'],배달되는 육개장중에는 제일 맛나네요.,[]
86,5,"['전통육개장', '한판보쌈']",육개장 진짜 진짜 맛있어요!보쌈도 맛있구요,['https://rev-static.yogiyo.co.kr/dcaa0a24a0ef7457339488d4679d0fa8_tn.jpg']
87,5,[],간만에 맛난 음식이네요..,[]
88,4,"['차돌박이육개장', '메밀전병', '공기밥']",보쌈은 만원치곤 양이 좀 적은것 같아요,[]
89,4,"['차돌박이육개장', '한판보쌈', '고기만두（반접시）', '칠성사이다 350mL']",배달도 빠르고 나쁘진않아요,[]
90,3,"['차돌박이육개장', '공기밥']",배달비받는게 이쉽디,[]
91,5,"['전통육개장', '맑은육개장', '메밀전병', '막걸리']",맛있어요요기가서 자주먹는데 집에서도 먹다닝^^친절하신 사장님 좋으세요~,['https://rev-static.yogiyo.co.kr/0ccf2da2c7e097b569753067b8ee737b_tn.jpg']
92,5,"['사골떡만두국', '한판보쌈', '공기밥']",만두국 정말 맛잇네요~국물이 사골우려내셔는지 찐~~하겅 담백하고 맛잇네요사업 번창하세요~~~^^,[]
93,5,"['차돌박이육개장', '고기만두（반접시）']",맛나요 정말....,[]
