,별점,주문메뉴,리뷰,사진
0,1,"['일품갈비찜', '비빔냉면']",갈비찜은 기름지고.들어있는떡은 딱딱하고..냉면은 정말..아닙니다음식에대한철학이 없으신듯ㅜㅜ,[]
1,5,"['매운갈비찜', '비빔냉면', '공기밥']",맛잇게잘먹었습니다.,[]
2,1,"['일품갈비찜', '비빔냉면']",갈비찜  하는법  부터  다시  배우시고  냉 면은  바로  삶아서  하셔야죠  다시는  않시킴,[]
3,5,['일품갈비찜'],처음 시켰는데 진짜 집밥처럼 먹었었습니다.강추 드립니다!!!,[]
4,5,['일품갈비찜'],국물이 생각보다 연해서 별롤거같았는데 맛이 진하고 좋았어요 떡사리도 일반떡 치즈떡 같이있어 좋았고 고기도 맛있었어요 다만 양이아쉽다는점..? 같이주신 홍합탕 계란찜 계란찜은 그렇다치고 홍합탕은 왜주신지 모르겠어요 너무 안어울려서.. 홍합탕 빼시고 고기 한두조각 더넣어주심 너무좋을거같아요 맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/1c95b36ac3a581c17647b071641a5ec8_tn.jpg']
5,5,['매운갈비찜'],맛있고 양도많고  같이오는 홍합탕이랑 계란찜도 맛있네요덜맵게해달라고 부탁드렸는데 매운거 못먹는사람이 매콤하게 먹을정도로 딱맞게 해주셨네요,['https://rev-static.yogiyo.co.kr/58d8b5f419dedfc515e379f4e779993f_tn.jpg']
6,5,"['일품갈비찜', '막국수']",대자 하나에 4명이 남길정도로 엄청 푸짐하고 맛있게 잘먹었습니다 ㅎㅎ,[]
7,5,['일품갈비찜'],맛있게 잘 먹었습니다,[]
8,5,"['매운갈비찜', '공기밥']",맛잇게 잘 먹었습니다,[]
9,3,['일품갈비찜'],맛은 좋지만 고기가 나무 질겼구요 배달은 진짜 너무 느려요..,[]
10,5,"['일품갈비찜', '공기밥']",추천합니다 시켜먹어보세요,[]
11,5,"['매운갈비찜', '공기밥']",맛이 있네요 맛나요,"['https://rev-static.yogiyo.co.kr/9878e095a1cc16a5c0b015c02f10a8e3_tn.jpg', 'https://rev-static.yogiyo.co.kr/aa6d4b5abc39911a9e87375eda15f17f_tn.jpg']"
12,3,['매운갈비찜'],전체적으로 달아요.국물도 너무 많아 아쉬웠지만 대신 양이 많아요,[]
13,4,"['일품갈비찜', '비빔냉면', '고기 왕만두', '공기밥']",맛있게 잘먹었습니다 ㅎㅎㅎㅎ,[]
