,별점,주문메뉴,리뷰,사진
0,5,"['生（생）연어소쿠리', '차슈소쿠리', '잇빠이돈까스']",처음생겨서 호기심에 시켰는데요..헐랭구 양도 가격도 맛도 3박자 다 좋아요 ㅎ 밥양도 엄청많고 먹는방법도 따로 오네요 ㅎ 심지어 예뻐요 ㅎ먹다가 맥주까지 먹으며 파티했네요 ㅎ 자주 먹을것 같아요 진짜 후회안함 리뷰 남기시고 디저트 드세요 ㅋㅋ디저트 맛있어서 반찬으로 먹음 저희 ㅋㅋ,"['https://rev-static.yogiyo.co.kr/08b1974266786debe5a995bddf41e81d_tn.jpg', 'https://rev-static.yogiyo.co.kr/62f31182adebed4350daaf1911be9bba_tn.jpg', 'https://rev-static.yogiyo.co.kr/74e6927c660224d8c05914931245f063_tn.jpg']"
1,5,"['장어소쿠리', '차슈우동']","우동 국물이랑 따로 와서 면 하나도 안불었어요! 튀김 눅눅해질까봐 챠슈우동으로 시켰던건데 걱정할 필요가 없었네요~ 양도 많고 맛있었어요♥ 간식도 챙겨주시고 넘나 감사해요 아, 그리고 착한 어른이는 꼬마고추절임을 따라 먹지 마세요…호기심에 혓바닥에 불나는줄 알았네요8^8","['https://rev-static.yogiyo.co.kr/a8f45d1c3d7125d5ac6b5f49467d66d2_tn.jpg', 'https://rev-static.yogiyo.co.kr/6f5940f5c37b627a61f1bcc312bb8930_tn.jpg']"
2,5,"['장어소쿠리', '차슈소쿠리']",배달도 괜찮고 양도 딱 좋았어요! 무엇보다 맛이 너무너무 맛있어서 종종 시켜 먹을꺼 같습니다 ㅎㅎ 고기가 엄청 야들야들 하더라구요! 리뷰로 받은 디저트도 너무 맛있었습니다 비닐봉지에 리본이나 먹는법도 상세히 써있어서 세심한 배려를 느꼈어요 ㅎ,"['https://rev-static.yogiyo.co.kr/fb49cb4f8fa33e7ad77f2f53b9f9edb9_tn.jpg', 'https://rev-static.yogiyo.co.kr/8316590265bf2e2d9e5b6360d3b43f02_tn.jpg', 'https://rev-static.yogiyo.co.kr/2bf5dc4ec829b9faac728743dadb375a_tn.jpg']"
3,5,"['生（생）연어소쿠리', '잇빠이돈까스', '콜라 1.25L']",배달 완전 빠르고 배달 하신 분도 친절하셔서 너무 좋았는데 맛도 대박이었어요ㅠㅠ 포장도 예쁘고 어디 하나 모자른데가 1도 없었던ㅠㅠ자주 주문할게요! 감사합니다ㅎㅎ,"['https://rev-static.yogiyo.co.kr/335eb6059c03937b1db34e780fb6df5f_tn.jpg', 'https://rev-static.yogiyo.co.kr/7d2f6aee0902522d0389d2c525168cef_tn.jpg']"
4,4,"['生（생）연어소쿠리', '잇빠이돈까스', '칠리새우 6pcs', '마요새우 6pcs', '사이다 355mL']",연어에서 비린내 전혀 안납니다.전체적으로 맛 괜찮습니다.돈까스가 좀 눅눅하게 온것 빼고 전부 만족합니다.,"['https://rev-static.yogiyo.co.kr/795e4c77779078f8f6daf260447c71b6_tn.jpg', 'https://rev-static.yogiyo.co.kr/4b216ec928f2135bb4ce015b3479787d_tn.jpg']"
5,4,"['잇빠이돈까스', '덴뿌라냉우동', '사이다 355mL']",진짜맛잇어요! 특히 튀김을 정말 잘하시는것같아요! 돈까스도 그렇고 전체적으로 튀김자체가 예술! 다른것도 맛잇지만  튀긴음식 꼭드셔보세요♥,['https://rev-static.yogiyo.co.kr/a22a766becddb8b4081885a5d0a4bc13_tn.jpg']
6,5,"['生（생）연어소쿠리', '마구로소쿠리', '차슈소쿠리']","배달도 빨리 왔고 맛도 좋아요! 연어, 차슈, 마구로 시켰는데 다 맛있네요!  추천합니다!","['https://rev-static.yogiyo.co.kr/99d4ef4423c3184c3f566fa78e5ecbfd_tn.jpg', 'https://rev-static.yogiyo.co.kr/4640e6da7e4bb161416c810ac0001360_tn.jpg']"
7,5,"['生（생）연어소쿠리', '차슈소쿠리']",생연어소쿠리는 연어추가 했더니 양이 완전 푸짐^^차슈소쿠리도 맛있고 무엇보다도 플레이팅이 넘 이쁘게 와서 기분도 좋았어요음식도 깔끔하고 신선하고~~맛있게 잘 먹었습니다다음에 또 주문할께용,['https://rev-static.yogiyo.co.kr/14bc8b2170fd886810dcd0b9a99ced1b_tn.jpg']
8,5,"['生（생）연어소쿠리', '마구로소쿠리']",재료가 신선하네요.맛있게 잘 먹었습니다.,[]
9,5,"['生（생）연어소쿠리', '차슈소쿠리']",깔끔하고 싱싱해요맛도좋고..도시락도 케이스도이뻐서 기분좋은 식사되었습니다저아래 밥도 많이들었어요~~,['https://rev-static.yogiyo.co.kr/d8adf961a1542a027111183fb2bfc2e5_tn.jpg']
