,별점,주문메뉴,리뷰,사진
0,5,"['소알곱구이', '갈비살 1人']",리뷰가 하나도 없어서 한참 고민하다 주문했는데요곱이 진짜 최고에요!!따뜻하게 먹으려고 불판에 옮겼는데요. 진짜 최고에요갈비살도 맛있어요!!,"['https://rev-static.yogiyo.co.kr/84a918d3266e6f4cd140861f94c2b3aa_tn.jpg', 'https://rev-static.yogiyo.co.kr/0e8148bd1154222763b2b91c80d16353_tn.jpg']"
1,5,"['소알곱구이', '갈비살 1人']",양은적지만 고기랑 곱창이랑 모두 고기잡내없이 맛있어요~~ 기본반찬도 깔끔합니다~~ 자주 시켜먹어야 겠어요~~,['https://rev-static.yogiyo.co.kr/066058e6ab7ca35588966143f30789c4_tn.jpg']
2,5,"['갈비살 1人', '갈비살해장국 1人']",맛있게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/967540cd4aaea985ffec1a91e3344abc_tn.jpg', 'https://rev-static.yogiyo.co.kr/930963d9b41ffc482ddeb7e8cb0a4796_tn.jpg']"
3,2,['소알곱구이'],배달비 포함 26500 원 짜리 ...,['https://rev-static.yogiyo.co.kr/4043563b29227efc2521f33db594f1e5_tn.jpg']
4,5,['갈비살 1人'],푸짐하고 맛있게 잘 먹었습니다~^^,['https://rev-static.yogiyo.co.kr/5bb7eba8b9bd6381410a4a3adb173c16_tn.jpg']
5,5,['갈비살 1人'],항상 푸짐하고 맛있어서 좋아요~서비스 음료도 감사합니다~맛있게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/77a87611604bbb4b623b6c30a6ec7468_tn.jpg', 'https://rev-static.yogiyo.co.kr/6b1c6917664b1dd8ca152482af44a474_tn.jpg', 'https://rev-static.yogiyo.co.kr/8923295f641d7183331ed63a33ea2d76_tn.jpg']"
6,5,['갈비살 1人'],집에서 고기굽는 냄새 안나게 소갈비살 먹을 수 있는 방법^^항상 맛있게 잘 먹고 있습니다~^^,['https://rev-static.yogiyo.co.kr/2eaf7db2a66acbf253f85f0a3852521f_tn.jpg']
7,5,['소알곱구이'],배달하는분도 너어무 친절하고 배달도 빨랏구여 양도 이정도면 저희는 많앗다고봅니다 ㅎㅎ근데 젓가락 안주셧어용 ㅠㅠ 그래도 맛잇고 친절하셔서 별 5개!! 양파는 좀 더 익혀주셔도 좋을거같아영,['https://rev-static.yogiyo.co.kr/19f7b86bfc0166a9cd0404be8b71fcf0_tn.jpg']
8,5,['갈비살 1人'],맛있게 잘 먹었습니다~근데 숟가락젓가락은.안주셨네요~,"['https://rev-static.yogiyo.co.kr/f48b5a2d01499fdf3709bd486a60d178_tn.jpg', 'https://rev-static.yogiyo.co.kr/3b6d5e519d15e9b977fe073db6745ba1_tn.jpg']"
9,5,"['갈비살 1人', '소막창 1人', '갈비살해장국 1人']",너무 맛있게 잘 먹었습니다~^^서비스 음료도 감사합니다~^^,"['https://rev-static.yogiyo.co.kr/519ff9bb99a65dd61a5d12323369d16d_tn.jpg', 'https://rev-static.yogiyo.co.kr/385a0550cf434953b601ecdaa3076dcd_tn.jpg']"
