,별점,주문메뉴,리뷰,사진
0,5,['송화소금구이 도시락 2人'],배달도 빠르고 맛도 괜찮은데 가격에 비해 양이 조금 적은거 같아요.,['https://rev-static.yogiyo.co.kr/fd3ec460a6c08efa64d5d86474962698_tn.jpg']
1,3,['장어정식 도시락'],맛은 둘째치고 배달비 내면서 시켜먹는데 관리좀 하셔야겠어요국물범벅이라 그릇들 다 닦고나서 먹었네요,['https://rev-static.yogiyo.co.kr/2a0eec598cdc1a1bea054a4afbc3ba72_tn.jpg']
2,5,['장어정식 도시락'],장어 양이 적은것이 단점.나머지는 매우 만족,[]
3,5,['장어정식 도시락'],아주 잘먹었습니다 수고하세요,['https://rev-static.yogiyo.co.kr/e7fcf0eb1e4feb60a8eb03e45895389d_tn.jpg']
4,4,['장어정식 도시락'],엄청 맛있었는데 양이 좀 적었어요,[]
5,5,['장어1마리정식 도시락'],두번째인데 너무 좋아요 ㅎ 번창하세요,['https://rev-static.yogiyo.co.kr/3f0e6a0e1ac22599af2413b70d43739f_tn.jpg']
6,4,"['장어정식 도시락', '송화소금구이 1人 추가']",맞은 괜찮으나  가격대비  너무비싸요,[]
7,5,['장어1마리정식 도시락'],"앞에 리뷰하신분들 때문에 후기 적습니다. 솔직히 장어 자체가 비싼거지.. 이 가격에 이정도 맛, 구성이면 이만한데 없을 것 같네요. 저는 만족했습니다.",['https://rev-static.yogiyo.co.kr/2d9642a0aeb1eb9bc67e3cc9e05525fc_tn.jpg']
8,5,['소금구이 장어1마리 정식도시락'],스태미너 충전이 필요한 지인분께 보내드렸는데굉장히 잘 드셨대요!!!서비스로 주신 팥빙수도 맛있었다네요ㅎㅎㅎ번창하세요~,['https://rev-static.yogiyo.co.kr/4dad8e5fae54cf10e823326b7b46b4e8_tn.jpg']
9,4,['장어정식 도시락'],맛은 있는데 양은 적네요;;가격대비 먹을만한것 같습니다.,[]
10,5,['장어정식 도시락'],첫주문이라 반마리도시락 먹었는데 비리지도않고 아주 맛있네요 담부터는 1인당 한마리 시켜야할것 같아요잘 먹었습니다,[]
11,5,['장어1마리정식 도시락'],맛있게 너무 잘 먹었습니다,"['https://rev-static.yogiyo.co.kr/971e18860df9966e0f8571b1ae01304f_tn.jpg', 'https://rev-static.yogiyo.co.kr/f4f9a2efecd455910898f4eef10e981e_tn.jpg']"
12,5,['소금구이 장어정식 도시락'],장어 소금구이를 주문했는데 양념이 왔네요...그래도 맛있게 잘먹었습니다🙂,['https://rev-static.yogiyo.co.kr/a9bbea3ae5741e279e52482817a47308_tn.jpg']
13,5,['장어정식 도시락'],아주 잘먹고있습니다... 수고요,['https://rev-static.yogiyo.co.kr/67955bfc848f4564fa8f6ca6393b8c9a_tn.jpg']
14,5,['장어정식 도시락'],양은 적지만 맛있어요~,[]
15,5,['장어1마리정식 도시락'],한마리 도시락인데.양이좀아쉽네요~맛은조아요..,[]
16,5,['장어정식 도시락'],맛있게 잘 먹었어요~^^ 서비스로 주신 귤도 감사합니다!  장어만있는메뉴도 있으면 좋을것같아요!,['https://rev-static.yogiyo.co.kr/1a2742a49b7ed6cda7340af389609ffc_tn.jpg']
