,별점,주문메뉴,리뷰,사진
0,5,[],굿ㅋ 맛있네요 양도많고,[]
1,5,[],저번에도 시켜먹었었는데 정말 음식 깔끔하고양이 넉넉함 +사장님이 친절하심손안가는 음식이 없고 딱 먹을것만 있음야채도 신선하고 그때마다 조금씩 달라지긴하는데종류도 좋음ㅋ이거보시면 다음에 서비스 하나 더주세요♥암튼 가격도 좋고 서비스도 좋고 수원오면 이것밖에 생각안나네요ㅋ,[]
2,5,[],여기 양도많고 고기도 맛있고 무채도 맛나요,[]
3,5,[],처음 해보내요,[]
4,1,[],고기는별 로 이내요,[]
5,5,[],좋아요,[]
6,4,[],고기양도 많고 괜찮네요~막국수 맛있음ㅋ,[]
7,1,[],양 겁나 적음... 전화 불친절함왠만하면 귀찮아서 리뷰안남기는데 쉣임다신안시킵니다,[]
8,3,[],뼈있는게 많아서 좀 실망ㅠ,[]
9,2,[],고기는 기름이 너무많고ᆢ묘한 냄새가 나요ㅠ쟁반막국수인지 뭔지는 쉰것처럼 신내가 나네요ᆢ,[]
10,5,[],김치가 넘 맛없네요 ㅠㅠ,[]
11,5,[],맛있어요,[]
12,5,[],고기양적고기름덩어리맛이남완전별루,[]
13,5,[],사장님 ~고기가 외국출신인가봐요... 냄새나요.,[]
14,1,[],별 0개가 안되네...진짜 맛없음...보쌈이 무슨 돼지기름 굳은거 씹는줄알았음,[]
15,5,[],好吃！,[]
16,5,[],별루네요....고기가 너무 흐물거리고 양도 별로....리뷰 첨써보는 1인,[]
17,5,[],ㄴ,[]
18,5,[],너무 빨라요. 잘 먹었습니다.,[]
19,5,[],진짜 맛없음 다른 사람 리뷰 그대로임..고기흐물흐물..맛도 없고..무김치도 맛없고..김치도 맛없고..추석 새벽이라 시켯는데...시켜먹을대 없더라도 안먹길 강추강추,[]
20,5,[],"배달도빠르고, 잘먹었습니다:)",[]
21,5,[],!!!!!!!!!!,[]
22,5,[],족발시켯는데   배달도  빠르고  맛도 좋아요~,[]
23,2,[],맛없음,[]
