,별점,주문메뉴,리뷰,사진
0,5,[],새로 생긴 것 같아서 보쌈 소짜를 시켜봤는데 기존에 시켜 먹었던 집보다 훨씬 맛있고 양도 더 많이 가져다 주셔서 정말 맛있게 먹었어요. 담엔 사장님이 추천해주신 족발도 한번 먹어봐야겠어요. 담에도 맛나게 해주세요. 잭족발 짱짱짱♡♡♡,[]
1,5,['쟁반국수'],불족이랑그냥족발반반먹어봣어요..흠..일단결론부터말씀드리자면대만족입니다!족발항상먹을때냄새를맡아보는데전혀냄새안나고고소한냄새가나서좋앗습니다!불족은말할것도없이맛잇게맵고계속땡기는맛이네요ㅎㅎ여튼단골될거같습니다!글고마지막으로음료섭수감사합나다!,[]
2,5,[],"보족세트 중자먹었는데 세명이서 너무 배불러서 죽을뻔했어요 ㅋ_ㅠ 다음에 또 시켜먹을께요 >.,<",[]
3,5,[],족발이랑 보쌈 막국수 주먹밥 먹어봤는데 진짜 맛있어요!!!! 사장님도 진짜진짜 친절하시고 가게도 깔끔하고!!!👍🏻👍🏻 음료수도 서비스로 주시고 짱맛있어요! 벌써 4번이나가서 먹었어요...ㅎㅎ 그만큼 진짜 맛있네요! 리뷰 이런거 안쓰는데 최근 개업하신것같은데 너무 맛있어서 도움드리고자 리뷰남겨요!! 잘먹었습니당!!!,"['https://rev-static.yogiyo.co.kr/6d07335b1219ff1ed79f84e2ebfa2046_tn.jpg', 'https://rev-static.yogiyo.co.kr/6076fcc23496cdfd32833f3541734a36_tn.jpg', 'https://rev-static.yogiyo.co.kr/b3bde59a8712c5b5badb4baa1f8a6103_tn.jpg']"
4,5,['보쌈 小'],보쌈 시켰는데 고기가 부드럽고 맛이 좋아요~ 김치랑도 잘 어울리고 양도 푸짐하네요^^,[]
5,5,[],영통 중심상가 지나가면서 새로 오픈했네?? 담에 먹어봐야지 하고 시켜봤어용ㅋㅋㅋ저 박스에 담아서 오는데 양도 완전 많구 사장님 너무 친절하세여ㅠㅠ 새로 오픈한곳이라 기대반 걱정반으로 시켰는데.. 시키길 잘했네요!! 완전 부드럽고 꿀맛!! 최고최고!! 배달도 35분 걸린다길래 어휴 배고픈데 하고 기다렸는데 생각보다 빨리왔네용ㅎㅎ,"['https://rev-static.yogiyo.co.kr/dc6b2cf1e360172d604d9596551c001a_tn.jpg', 'https://rev-static.yogiyo.co.kr/67ace468b68308ec92502fee90f8648f_tn.jpg', 'https://rev-static.yogiyo.co.kr/8a6c8f5c4c7f7b2068254ce8110fbfbb_tn.jpg']"
6,5,['보쌈 小'],두번째 시켜먹었어요~ 보쌈이 부드럽고 맛이 좋아서 아이들이 넘 좋아해요^^ 손님접대용으로 추천할만큼 깔끔하고 맛나요~^^~,[]
7,5,['보족세트（족발＋보쌈） 中'],사진을 찍는다는게 너무급해서....평점 높길래 아무기대없이 시킨 족발보쌈세트!왔는데 배달해주시는 분은 너무 친절하고 음식포장도 깔끔하고 신랑은 보쌈 나는 족발이였는데 둘다 너무 맛있게 먹었다(족발을 좋아해서 그런지 족발이 맛이 깔끔한게 너무 담백하고 좋았음) 막국수도 다른데는 뿔어터져서 오는데 이집은 양념이 따로 오기도하지만 면상태가 잘풀어지고 내 기호대로 섞어먹을수있어서 좋았다다음에 또 족발보쌈 먹고싶을때는 나는 백프로 여기당^^,[]
8,1,[],"보쌈 맛 색 다 30점족발 잘못삶아 다 부스러짐, 맛 30점배달분 친절하지만 결론은 맛이없었음같이먹은 사람들 다 한마디씩 함다른 평가들 별다섯개... 주변 지인인듯",[]
9,5,['보쌈＋불보쌈 小'],오늘마누라가삼겹살먹자하길래밖에나가기도귀찮고해서ㅋㅋ그냥보쌈시켜봣습니다..저는매운거좋아해서불보쌈마누라는매운거못먹어서그냥보쌈..마침반반보쌈이라는메뉴가잇기에시켜봣습니다..배달일단빠르고배달하는사람이사장님이신거같앗는데완전친절하시고ㅋㅋ시킨보쌈도고기도야들야들한게참맛나게잘먹엇습니다..앞으로도요기서만시킬듯^^,[]
