,별점,주문메뉴,리뷰,사진
0,5,[],처음 시켜먹었는데~야채만 많이 왔네요ㅠ다른데서 시켜먹어야겠네요,[]
1,5,[],"우와 3인분 왔는데 양도 많고 맛도 좋더라구요 면을 좀더 씻었으면 하지만, 가격에비해서 깔끔한 맛이에요~",[]
2,4,[],기대 안하고 시켜봤는데 맛이 괜찮네요~ 근데 파전은 다 식어서 왔어요~;;  메인은 잔치국수니 뭐...  양도 푸짐하고~ 맛도 괜찮았습니다^^ 나중에 알고보니 여기 족발집이네요ㅋ,[]
3,4,[],야채가많아서 신선해서 좋아요^^맛도물론 맛잇네요~,[]
4,1,[],특제 소스라더니 빙초산 무침이었어요새콤달콤 무지 조아하는데 몇젓가락 먹다가 버렸습니다,[]
5,5,[],Good,[]
6,5,[],리뷰에 식초맛이강하다고해서망설엿는데 먹어보니완전 맛잇던데요!!가격도저렴하고 3-4인분인줄모르고둘이서시켰는데양이진짜많아요많이파세요!!~,[]
7,2,[],거의다못먹었네요ㅠㅠ,[]
8,4,[],맛은 괜찮고 근데 족발집이네요,[]
9,5,[],양이 무지 많고 야채도 신선하고 맛있어요,[]
10,5,[],맛잇어요,[]
11,2,[],처음엔 맛있어보였으나...나중에 버렸어요,[]
12,1,[],"소스양도 부족하고, 면도 다 불고, 어느 정도 차갑고 시원해야하는데 그렇지도않고 실망입니다.",[]
13,5,[],깔끔하고 맛있어요 여자 둘이 그많은걸 다 먹어 치웠네요 ~~^^,[]
14,3,[],면이너무차가워요..밖이춥다고는하지만..그리고소스도좀부족한것같아요.배달시간도좀늦었구요 배고파서먹습니다,[]
15,4,[],먹을만하네,[]
16,5,['수제 소스 쟁반국수 （2~3인분）'],맛있어요~~^^,[]
17,5,[],깔끔하게 맛있어요. 양도적당하구요~,[]
18,1,[],쟁반국수라하믄 새콤달콤 아니든가요?특제소스 간장맛만 나고 비벼지지도 않는다는솔직 돈이아깝다는,[]
19,1,"['수제 소스 쟁반국수 （2~3인분）', '공기밥']",전화번호는 찜닭번호라고 나오고...맛너무없어서 사주고도 욕먹음 부침개인지 밀가루반죽인지.. 겉은 부침개안은 밀가루임 환상의조화.. 특제소스라던데그냥 간장임..진짜배고픈데도 두젓갈먹음 질려서못먹음,['https://rev-static.yogiyo.co.kr/f2aeeb61e0a16143d565fd8e9a3c0f8d_tn.jpg']
20,5,"['수제 소스 쟁반국수 （2~3인분）', '콜라500mL']",맛나요,[]
21,4,[],넘 맛있었어요 자주 시켜 먹을 껏 같아요,[]
22,5,[],고기는 집에서 해놓고 이거 먹으니 맛이 좋습니다,[]
23,5,['수제 소스 쟁반국수 （2~3인분）'],정말 맛있게 먹멌어요 다음에도 또 먹을라고요,[]
24,4,[],양도 많고 맛도 나쁘지않아요 아쉬운건 비벼먹게 비닐장갑하나만 넣어주면 좋겠어요~!,[]
25,4,"['수제 소스 쟁반국수 （2~3인분）', '콜라500mL']",맛있게 잘먹었습니다 ^^~,[]
26,2,['수제 소스 쟁반국수 （2~3인분）'],다 불어서 왔어요ㅠ,[]
27,1,"['수제 소스 쟁반국수 （2~3인분）', '부침개 추가']",면은 돌덩이 상태고 정말 심각함,[]
28,5,['수제 소스 쟁반국수 （2~3인분）'],전문점 같은 포스에 맛도 쟁반국수 본연의 맛이 살아있음 쟁반국수가 먹고싶은날에는 여기 시키면 해결,[]
29,5,"['수제 소스 쟁반국수 （2~3인분）', 'PT 1.6L']",야채 엄청 듬뿍이고 새굠달콤하니 넘 맛있게 잘 먹었습니다 ~서비스 전 도 맛나요^^,['https://rev-static.yogiyo.co.kr/aea7d0d965aec62f6ceb8d312be8b104_tn.jpg']
30,5,"['수제 소스 쟁반국수 （2~3인분）', 'PT 1.6L']",야채 진짜 풍성! 평소 못챙겨먹은 야채 듬뿍 맛있게 먹었습니다 ~,['https://rev-static.yogiyo.co.kr/93eb41c40d863d2d3cd9c0a1861a283c_tn.jpg']
31,5,"['수제 소스 쟁반국수 （2~3인분）', '사이다1.25L', 'PT 1.6L']",근데 콩나물국은 원래 안주시나요?^^,[]
32,5,"['수제 소스 쟁반국수 （2~3인분）', 'PT 1.6L']",언제나 새콤달콤 상큼! 소자여도 양이 많아서 두번에 나눠먹어요^^,['https://rev-static.yogiyo.co.kr/f4710a755cdb83e2f2a1c18e294982dc_tn.jpg']
33,4,"['수제 소스 쟁반국수 （2~3인분）', '병맥주']",맛있고 양도 많아용용,['https://rev-static.yogiyo.co.kr/282f73f646121fb1e67aac42ed5ad18a_tn.jpg']
34,5,['수제 소스 쟁반국수 （2~3인분）'],맛있어요!!! 상큼하고 ㅠㅠ새콤달콤~~ 부침개도 맛나용!! 쟁반국수만 시켜먹어본건 첨인데.. 냉면보단 이게 나은거같기도해요ㅎㅎ,"['https://rev-static.yogiyo.co.kr/45a08df4a6dcda9e5ea5198a85204b81_tn.jpg', 'https://rev-static.yogiyo.co.kr/7f5dbf444fa8f938ff87cad523850628_tn.jpg', 'https://rev-static.yogiyo.co.kr/ce6d51aa2f2eb877f39fc1768bc1f087_tn.jpg']"
35,5,"['수제 소스 쟁반국수 （2~3인분）', '부침개 추가', '사이다1.25L']",잘 드신것 같아요~~** 부모님 시켜드린건대~~^-^,[]
