,별점,주문메뉴,리뷰,사진
0,5,"['전주콩나물국밥', '오징어한마리', '소주']",보통 체인점 콩나물국밥에 들어가는 수란 그거 별도 입니다.그리고플라스틱 용기에 정갈하게 포장되어와서 그건 좋앗어요..배달시 주문메모 캐치 못하신거 좀 아쉬웟구요....비싼가격에 배달료도 삼천원인데...좀더 준비하셔서 번창하셔요~,[]
1,1,"['전주콩나물국밥', '사이다']",그냥 콩나물국입니다. 그냥 국...,[]
2,1,"['전주콩나물국밥', '콩나물비빔밥']",이건 먹다남은 장조림 같아보이구 여긴 계란도 안들어있네요 그냥 콩나물국 같네요,['https://rev-static.yogiyo.co.kr/add4cc4ad70b1cd46efa4ee33e58019e_tn.jpg']
3,5,"['전주콩나물국밥', '떡갈비']",잘먹엇숩니다!!ㅎㅎ,[]
4,5,"['전주콩나물국밥', '오징어한마리', '소주']",시원하고 맛잇게 잘먹엇습니다 포장도 깔끔하고 사장님 정성이 묻어나서 받자마자 기분좋앗네요^^*,[]
5,4,['전주콩나물국밥'],맛있게잘먹었습니다~~~,[]
6,5,"['콩나물비빔밥', '송탄부대찌개 1인분']",반찬도 서비스로주고 부대찌개 맛좋코 배달 빠름 굿,[]
7,5,"['전주콩나물국밥', '오징어한마리', '병막걸리']",맛있고 배달도 빠르고 밑반찬도 맛있네용~~~몸살감기초기에 시켜먹었더니 몸이 좋아지는 느낌이이에용~~,[]
8,2,"['전주콩나물국밥', '고추만두']","숙취때문에 고생했는데,,,깔끔한 포장으로 기분 좋게 맛있게 잘 먹었습니다~~~^^",['https://rev-static.yogiyo.co.kr/50ab5505139ad1cf90673e1927954dd3_tn.jpg']
9,3,['전주콩나물국밥'],여러분 콩나물국밥은 조리하실수있는곳에서 시키세요..음식이 식어서 계란이 익지않아 생으로 먹어야 합니다..ㅎㅎ밑반찬은 괜찮게왔는데 뜨겁지가 않으니까 뭘먹는건가 싶고 해장도 안됐네요ㅠㅠ,[]
10,4,"['전주콩나물국밥', '김치전']",맛은 있는 편이구요 양은 아쉬운 편이에요,[]
11,3,"['전주콩나물국밥', '콩나물비빔밥']",식당에서 먹었을때는 정말 맛있게 먹었던걸로기억하는데 배달은  콩나물국밥에  냄새가 나서 별루 못먹었습니다.  국밥이 미지근해서 계란을넣었는데  익지도 않았음. 배달은  엄청빨랐음.,[]
12,5,"['콩나물비빔밥', '떡갈비']",아고고 ㅋ 비빔밥 먹고싶었는데 국밥으로 주시다니 ㅜㅜ ㅋ 그래도 잘 먹을게요,[]
13,5,"['전주콩나물국밥', '고추만두']",Gooooooood,[]
14,1,"['콩나물비빔밥', '김치전', '병막걸리']",김치전 바삭하게 해달랬지 누가 시커멋게 태워달랬나요 이걸 먹으라고 보낸건지. 음식장사하면 기본양심은 가지고합시다,['https://rev-static.yogiyo.co.kr/37c8211c051bf10e6e9c8bb36524a14d_tn.jpg']
15,3,"['전주콩나물국밥', '떡갈비', '공기밥']",떡갈비 진짜 맛  있었어요 소스도 감사드려요콩나물도 맛 있었어요,[]
16,5,"['전주콩나물국밥', '오징어한마리']",포장도 깔끔하고 점점 발전하시네용 ㅋㅋㅋ맛잇게잘먹엇습니다,[]
17,5,"['콩나물비빔밥', '김치전']",맛있게ㅜ잘먹었어용ㅎㅎ,[]
18,4,"['전주콩나물국밥', '떡갈비']",맛잇게 잘 먹엇습니다,[]
19,5,"['전주콩나물국밥', '고추만두', '사이다']",맛있어용 고추만두가 맛있네요,[]
20,5,"['전주콩나물국밥', '김치전', '소주']",국밥에 술 땡겼는데 너무 좋았습니다ㅠㅠ 잘 먹었습니다ㅠㅠ,[]
21,5,"['전주콩나물국밥', '공기밥']",맛은머그럭저럭괜찬았습니당,[]
