,별점,주문메뉴,리뷰,사진
0,4,"['안동찜닭', '음료 선택(콜라 500mL)']",음식도 깨끗하고 맛있어요!!,[]
1,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(만두 추가)']",처음 시켜먹어봤어요~너무너무 맛있어요!!서비스도 너무 좋았어요~~강추~~,[]
2,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(주먹밥 추가)']",밥이 맛있어서 배송비가 너무 비싸다ㅠㅡㅠ,[]
3,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(주먹밥 추가)']",친구님이 맛이 있대요.  ㅋㅋㅋㅋㅋ,[]
4,5,"['안동찜닭', '음료 선택(콜라 500mL)']",항상~~맛있어요!!!,[]
5,5,"['안동찜닭', '음료 선택(콜라 500mL)']",오랜만에 시켜먹었는데 맛있네요,[]
6,2,"['안동찜닭', '음료 선택(콜라 500mL)', '공기밥']",중 짜가 닭다리하나들어있나요?,[]
7,5,"['안동찜닭', '음료 선택(콜라 500mL)', '공기밥', '당면사리추가', '콜라 1.25L']",괜찮은 맛과 괜찮은 양.... 근데 찜닭에 왠 국물이 많은거죠? ㅠㅠㅋ,[]
8,4,"['안동찜닭', '음료 선택(사이다 500mL', '사이드 추가(주먹밥 추가)', '공기밥']",맛있게 잘먹었습니다 ㅎㄹㅎㅎㅎ,[]
9,4,"['안동찜닭', '음료 선택(콜라 500mL)']","애들이 좋아해서 시켯어요ㅎㅎ배송도 적당하고, 맛은 맛잇데요ㅎ연말이라 배달음식으로 차리려니 찜닭이 한상 차려줫네요^^","['https://rev-static.yogiyo.co.kr/a45b8c87f4469e5c0ea70c91e6a01d72_tn.jpg', 'https://rev-static.yogiyo.co.kr/c74f2c8fb16c4d54b35ca27d019547e6_tn.jpg']"
10,5,"['안동찜닭', '음료 선택(콜라 500mL)', '공기밥']",맛있었어용!!!!!,[]
11,5,"['안동찜닭', '음료 선택(사이다 500mL)']",ㅠㅠㅠㅠ제가 사진을 못찍어서 그렇지 너무 맛있어요ㅠㅠㅠ 적당히 맵고 달콤합니당 사장님 적게 일하시고 많이 버세요♡,['https://rev-static.yogiyo.co.kr/b44d3a31fdc829173164c0bbdde8dead_tn.jpg']
12,5,"['안동찜닭', '음료 선택(콜라 500mL)']",전에 매운 맛도 너무 맛있었어요~이번에 아이 먹을 거라 좀 덜 맵게 해달라고 메모 남겨봤는데..진짜 안 맵고 맛있게 해주셨어요!!~~정말 감사하고 잘 먹었습니다~,[]
13,4,"['안동찜닭', '음료 선택(콜라 500mL)', '참이슬후레쉬']",2인용시켰는데 쬐금 부족한 느낌이지만 맛있어요!!꺄아 그간 먹던 찜닭중 제일이에용~~,[]
14,3,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(주먹밥 추가)', '물냉면']",맛있는데요...메모에 애들도 먹는다고 안맵게해달라 했는데 안에 고추가 엄청 들어있어서 결국 애들은 못먹었어요ㅠㅠ 근데 어른들은 엄청 맛있게먹었어요,[]
15,5,"['안동찜닭', '음료 선택(콜라 500mL)']",배달도 빠르고 맛있습니다~~~~♡♡♡,[]
16,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(메추리알 추가)']",감자 조온나마싯네요 나중에감자 추가가능할지 여쭤보겟슴다,[]
17,5,"['안동찜닭', '음료 선택(사이다 500mL', '사이드 추가(치즈떡 추가)']",가족들이 맛있데요~  배달도 빨랐어요잘먹었습니다,[]
18,3,"['안동찜닭', '음료 선택(콜라 500mL)']",매운거 잘 못먹는 1인이라 매울까봐 걱정했는데 살짝 매콤한게 좋았고 안에 들어가는 구성도 좋았어요 그런데 뻑살이 너무 뻑살이라 그게 좀 아쉽네요 둘이 먹기에 양은 괜찮았어요,"['https://rev-static.yogiyo.co.kr/e2e7d34727f7e85d48b860058368c1dd_tn.jpg', 'https://rev-static.yogiyo.co.kr/899132ef4d20d1f37baf57a457c1eba6_tn.jpg']"
19,4,"['안동찜닭', '음료 선택(콜라 500mL)', '계란찜']",무난하게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/1f57b98418a9389a1c5cc7e4342becf1_tn.jpg']
20,5,"['안동찜닭', '음료 선택(콜라 500mL)']",맛도 있고 양도 많아요! 구성도 좋고 다 좋은데 용기가.. 너무 좁고 깊이 있어서 안에 있는 당면 먹기가 불편했습니다.조금 넓은 용기면 좋지 않을까 생각했고영통에선 제일 맛있네요!!^^,[]
21,4,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(치즈떡 추가)', '안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(치즈떡 추가)', '공기밥']",사장님 착하시고 음료서비스도 주셨습니다.양도 많고 맛도 좋았는데 닭고기 한두개가 딱딱한거 빼고 다 괜찮았습니다 또 주문할거 같습니다,[]
22,5,"['안동찜닭', '음료 선택(사이다 500mL', '사이드 추가(주먹밥 추가)']",주먹밥양도 많고 찜닭 적당하고 괜찮았으나..매운거 못먹는친구는 약간매웠다고하네요~  빠른배송은맘에들어요,['https://rev-static.yogiyo.co.kr/1195f7e8fec7fc193f6cdc58f52d3508_tn.jpg']
23,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(메추리알 추가)']",맛있습니다 배달도빨라요,[]
24,3,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(치즈토핑 추가)']",치즈 추가했는데 생각보다 치즈가 엄청 딱딱하고 이상한 공장맛? 났어요ㅠㅠㅠ 그리고 양은 한사람이 먹어도 충분할만한 양이었어욬ㅋㅋㅋㅋㅋ 참고로 여자 한명 입니다 한번 먹고 고기 3개?정도 남는정도에요 엄청 매워요... 매운거 못먹는 저론 정말 ...너무 매웠어요...,['https://rev-static.yogiyo.co.kr/d12e75621e0a528d2e0ddb51c24dfb27_tn.jpg']
25,5,"['안동찜닭', '음료 선택(사이다 500mL)']",오랜만에 시켜먹습니다~~메모에 맵게 해달라고 써놨는데 진짜 맛있고 맵게 왔어요..너무 맛있습니다^^감사합니다~~~~~,[]
26,5,"['안동찜닭', '음료 선택(콜라 500mL)', '참이슬오리지날']",항상 맛있습니다~~~~~~~~,[]
27,5,"['안동찜닭', '음료 선택(사이다 500mL)', '참이슬오리지날']",맛있어요 ~~~~최고!!!!,[]
28,4,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(치즈토핑 추가)']",최근에시켜본 곳 중에 제일 괜찮았습니다. 매운걸 좋아해서 매콤한것도 적당하고 맛있었어요~ 근데 치즈추가한것치고 치즈양이 너무 적었습니다.. 굳어서그런진몰라도 콜라로 주문했는데 착오가 있으셨는지 사이다가와서 아쉬웠어요 그래도 맛있어서 다음에 또 이용할것같네요. 번창하세요^^,['https://rev-static.yogiyo.co.kr/4ff84585e4adcdfff9033b7012c15ae4_tn.jpg']
29,5,"['안동찜닭', '음료 선택(사이다 500mL)']",너무너무너무 맛있었어요,[]
30,5,"['안동찜닭', '음료 선택(콜라 500mL)']",메모도 잘 확인해주시고..맛있습니다~~~~~~~~,[]
31,5,"['안동찜닭', '음료 선택(사이다 500mL', '사이드 추가(고구마떡 추', '주먹밥 추가)']",맛있어요 주먹밥하고같이 먹음  옆에사람 방구껴도 모름,[]
32,4,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(주먹밥 추가)']",맛있게 잘 먹었습니다 ^^,[]
33,3,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(주먹밥 추가)']",맛나게 잘 먹었습니다,[]
34,5,"['안동찜닭', '음료 선택(콜라 500mL)', '매운물냉면']",포장도 잘 되어오고배달도 빨랐어요!음식두 따뜻했구요~~~~번창하세요!^^,"['https://rev-static.yogiyo.co.kr/68f907e860859c1fc232b2498d354011_tn.jpg', 'https://rev-static.yogiyo.co.kr/7174650275695a36167950a129b66ad1_tn.jpg', 'https://rev-static.yogiyo.co.kr/93885ced4bac597a0d1242b523376773_tn.jpg']"
35,5,"['안동찜닭', '음료 선택(콜라 500mL', '사이드 추가(만두 추가)']",좋아하는 맛이 이예요.,[]
36,5,"['안동찜닭', '음료 선택(콜라 500mL)', '계란찜']",그냥 찜닭맛이예요. 반찬으로 온 무말랭이 샐러드 볶음김치 오뎅볶음은 찜닭이랑 잘 안 맞았어요.  계란찜은 계란이 오래됐나...먹을 때마다 자꾸 이상한 맛이...,['https://rev-static.yogiyo.co.kr/2a3cc1b75ca98f524f463c705e9ea894_tn.jpg']
