,별점,주문메뉴,리뷰,사진
0,4,"['매운 소고기 쌀국수', '추가 선택(면 추가)', '매콤해물팟타이볶음면', '추가 선택(면 추가)', '파인애플 볶음밥']",국물하나 흘린거없이 포장용기가 깔끔해서 좋았고 매운소고기쌀국수가 진리네요.볶음면은 소스가 더 찐했으면 좋겠어요 면추가하시면 양은 상상을 초월합니다ㅋ,[]
1,5,['소고기 쌀국수'],요기요에서 드뎌 주문할수있게됐네용ㅎㅎ..진짜 늘 매장가서 먹었지만맛에 놀라고 양에 놀라네요ㅎ아빠도 엄마도  엄지척이네요너무너무 맛있게 잘 먹었습니다~~~또 주문할게요,['https://rev-static.yogiyo.co.kr/51920f94007cf5225f409ea2b8dc7d86_tn.jpg']
2,4,"['닭가슴살쌀국수', '파인애플 볶음밥']","배달 빠르고, 넘 맛있습니다~^^",[]
3,5,"['소고기 쌀국수', '추가 선택(고기 추가)', '프리미엄 쌀국수', '추가 선택(고기 추가)', '왕새우튀김（5개）', '사이다 355mL']",양이 푸짐하고 맛도 진짜 좋습니다. 처음시킨거라 고민이 좀 됐었는데 프렌차이즈보다 훌륭하네요. 앞으로 종종 이용할게요,[]
4,5,"['프리미엄 쌀국수', '짜조（4개）']",양도많고 너무너무 맛있었어요^-^,[]
5,5,"['매운 소고기 쌀국수', '파인애플 볶음밥', '매콤해물볶음밥', '왕새우튀김（5개）']",양도 많고 맛있네요.아이들은 밥보다 국수를 더 잘먹네요,[]
6,5,"['소고기 쌀국수', '추가 선택(고기 추가)', '소고기 쌀국수', '추가 선택(고기 추', '고수 추가)']",배달도 빠르고 맛도 좋고 양도많네요~~^^,[]
7,5,['소고기 쌀국수'],맛도 있고 양도 많았어요~추천~~~,[]
8,4,['소고기 쌀국수'],매장에서만 먹다 배달은 처음입니다양도 맛도 좋아요~ 배달비만 좀 저렴했으면 합니다ㅠㅠ,[]
9,4,"['프리미엄 쌀국수', '소고기볶음밥']",면이 완전 붙어있어서 놀랬어요~~근데 설명대로 국물에 좀 오래 풀어주니 괜찮아졌어요^^볶음밥은 간이 좀 심심하더라구요~ 그래도 맛있게 잘먹었습니다^^,[]
10,5,"['소고기 쌀국수', '소고기볶음밥', '왕새우튀김（5개）']",맛나요 다음에 또 시키겠습니다!,[]
11,5,"['소고기 쌀국수', '추가 선택(고기 추가)', '프리미엄 쌀국수', '추가 선택(고기 추', '고수 추가)']",맛 4점양 5점배달 5점,[]
12,5,"['소고기 쌀국수', '추가 선택(고기 추가)', '팟타이 파인애플 볶음밥']",맛있고 배달이 진짜 빨라요곧 사업 번창 하실 듯 하네요,['https://rev-static.yogiyo.co.kr/02bd1a675f0cb1820cd24cd599f6307a_tn.jpg']
