,별점,주문메뉴,리뷰,사진
0,2,"['2가지골라세트（골라＋골라＋계란찜＋홍합국물）', '메뉴 선택 2(똥집볶음)', '쿨피스 930mL']",처음시켰을때 채소도 많이 주시고 괜찮은거 같아서 다시 시켰는데 처음과 달리 채소도 거의 안주시고 양념장이 아예 안오고 처음엔 정성이 들어간 느낌이였는데 두번째는 다른곳에 시킨 줄 알았습니다 계란찜은 너무 짜서 한입먹고 버렸고요 홍합국물은 바지락으로 왔는데 둘다 좋아해서 상관없었지만 메뉴상에 바뀔수 있다고 적혀있으면 했어요. 메인메뉴 맛은 괜찮아서 다른 것들 신경 써주시면 좋을거 같아요,[]
1,5,"['무뼈세트（무뼈닭발＋계란찜＋홍합국물）', '주먹밥']",저는 닭발을 한달에한번 두달에한번씩은. 먹어요.   자주먹으면 질리더라구요.  혼자먹었는데 3개남기고 먹었어요~^^ 너무 맛있는데요. 계란찜은 너무 싱거워서 연두넣고먹었더니 너무 환상적이였어요~ 배달도 의외로 빨리왔어요.  애기가 자길래 천천히먹으려고 했는데 문여는소리에 일어나서 급히먹어서 채했나봐요.. ㅋㅋ  혼자먹기엔 양이 적당해요.  그리구 홍합국은 조금 덜 시원함이없었어요.  홍합국은 시원하면 소화도 잘될것같아요~   .추운데 수고하세요.,[]
2,5,"['무뼈닭발', '주먹밥']",맛있어요 밤에 급 닭발이 땡겨 주문했는데 엄청 스피드하게 먹어치움요 ㅎㅎ,[]
3,4,"['2가지골라세트（골라＋골라＋계란찜＋홍합국물）', '메뉴 선택 2(무뼈닭발)', '주먹밥', '쿨피스 930mL']",맛있게 잘먹었습니다 ~^^,[]
4,5,"['무뼈닭발', '주먹밥']",너무 맛있게 먹었어요. 남편이랑 갑자기 출출해서 주문했는데... 양은 좀 부족했지만 너무 맛있게 먹었네요. 또 먹고싶네요.,[]
5,5,"['무뼈닭발', '쿨피스 930mL']",맛은 늘상 생각하던 닭발의 맛이었어요!! 근데 뭔가 용기가 작은건지 양이 조금 부족해 보이더라구요...ㅠ 그리고 밥이 있었으면 좋았을텐데....밥이 없어서 그냥 햇반돌려서 먹었네용...ㅎ 그래도 배달은 참 빠르더군요 ㅋㅋㅋ 맛있게 잘 먹었습니당!,"['https://rev-static.yogiyo.co.kr/bcb3aefc83b4c6a2086b5fa4381476c2_tn.jpg', 'https://rev-static.yogiyo.co.kr/28094e5a28e64bd560c18a1922cbdc01_tn.jpg', 'https://rev-static.yogiyo.co.kr/4d9c1821b88b023f46d928c6ad9f4670_tn.jpg']"
6,4,"['오돌뼈', '주먹밥', '쿨피스 930mL']",양이좀적었지만 그래도괜찮았어요!,[]
7,5,"['무뼈닭발', '주먹밥']",맛있게 잘 먹었습니다~,[]
8,5,"['무뼈세트（무뼈닭발＋계란찜＋홍합국물）', '쿨피스 930mL']",맛있어요 배갈도 빨라요,[]
9,3,['닭발세트（닭발＋계란찜＋홍합국물）'],닭발 먹기는편한데 양념맛이 텁텁해요맛이 그냥 그렇네요.,[]
10,3,['무뼈세트（무뼈닭발＋계란찜＋홍합국물）'],맛있어요~~~~~~~~~~~~~~~^^,[]
11,4,"['닭발세트（닭발＋계란찜＋홍합국물）', '치즈스틱', '쿨피스 930mL']",매워요 매운데 너무 맛있어친구랑 ㅈ ㅏ주 시켜먹어요 최고 ♥️,['https://rev-static.yogiyo.co.kr/bc70c24d498f9bc87230985db406cd6e_tn.jpg']
12,5,"['무뼈닭발', '주먹밥']",역시 맛있어요. 맛있게 매워서 좋아요. 이번에는 밥먹고 갑자기 생각나서 주문했어요. 그래서 부족하지않아서 좋네요. 주먹밥이랑 같이먹으면 더 맛있어요.ㅋㅋㅋ 음.... 그런데 서비스?로 주시는 홍합국물은 저번에도 그렇고 냄새가 좀 나네요.ㅜ 아예 먹지못하고 버렸어요.,[]
13,5,"['무뼈세트（무뼈닭발＋계란찜＋홍합국물）', '주먹밥']",맛잇네용 ㅎㅎㅎㅎㅎㅎㅎ,[]
14,4,['무뼈세트（무뼈닭발＋계란찜＋홍합국물）'],양이 적네요.....,['https://rev-static.yogiyo.co.kr/e8294decafc1bcf8231815f3690aa9ed_tn.jpg']
15,5,"['무뼈세트（무뼈닭발＋계란찜＋홍합국물）', '주먹밥']",맛있음ㅇㅇㅇㅇㅇㅇㅇㅇ,['https://rev-static.yogiyo.co.kr/56366f7d49af0f1bbd43f412ee1f41ab_tn.jpg']
16,4,['무뼈세트（무뼈닭발＋계란찜＋홍합국물）'],좋아여 근데 양은 둘이먹기엔 적어요!! 참고하세요,[]
17,5,"['2가지골라세트（골라＋골라＋계란찜＋홍합국물）', '메뉴 선택 2(무뼈닭발)']",눈이 많이 내렸는데도 30분만에 와주셔서 감사했어요 늘 맛도 좋고! 번창하세요,[]
18,5,"['닭발', '쿨피스 930mL']",배달도 완전 빠르고 맛도 있습니다~~~~~♡♡,[]
19,5,"['2가지골라세트（골라＋골라＋계란찜＋홍합국물）', '메뉴 선택 2(무뼈닭발)']",진짜 너무 맛잇어요. 사진찍는거 잊어버렸는데이런맛집이 있을줄이야. 깻잎무쌈 추가하는 메뉴는 없나요??깻잎싸먹으니까 맛잇든데 3장밖에 없어서 아쉬워서요.쌈야채 추가메뉴 있으면 좋겠어요.,[]
20,5,"['2가지골라세트（골라＋골라＋계란찜＋홍합국물）', '메뉴 선택 2(무뼈닭발)', '주먹밥']",맛있게잘먹었어요~두개중에하나는맵게해달라고했는데..표시가없어서..똑같은건줄알았어요~다음엔표시좀해주세요~,[]
21,4,['무뼈세트（무뼈닭발＋계란찜＋홍합국물）'],맛있어요! 둘이 먹기엔 양이 너무 부족한게 아쉬워요 ㅜㅜ,[]
