,별점,주문메뉴,리뷰,사진
0,5,['오돌뼈세트（오돌뼈＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],배달비만 없으면 진짜 꿀이겠죠? ㅋㅋㅋㅋ,[]
1,5,['통닭발'],자주시켜먹는곳인데 요즘바빠서 오늘오랜만에시켜먹었네요~곱빼기로~역시 완전매콤하니맛있어용~다음에또주문할께용~^^,['https://rev-static.yogiyo.co.kr/9778edda5094966aa0eabe26a0b1ed25_tn.jpg']
2,5,['무뼈닭발곱배기세트（무뼈닭발＋알찜＋주먹밥＋쿨피스450mL）'],너무 너무 맛있어요,[]
3,5,['무발세트（무뼈닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],@ @ @ @ @ @ @ @ @ @ @ @ @,[]
4,5,['무발세트（무뼈닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],"뭔말이필요 하겠습니까,  굳!",[]
5,5,['오돌뼈세트（오돌뼈＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],맛있어요. 다음에 또 먹고 싶어요,[]
6,5,['통발세트（통닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],맛있어여 댤걀찜 양이 어마어마하구 닭발 다먹을때까지 뜨겁다니 .. ㅎ,['https://rev-static.yogiyo.co.kr/1136cb9887b4b7415d90f679d1021800_tn.jpg']
7,5,['무발세트（무뼈닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],정말 맛있게 매콤하게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/eaea075a44197394471529b411f78da5_tn.jpg', 'https://rev-static.yogiyo.co.kr/55e3c642335f8ab07fab676d2d7b0d89_tn.jpg']"
8,2,"['통닭발', '주먹밥']",맛있게 보이지만 너무 매워요 ㅠㅠ,[]
9,5,['통발세트（통닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],맛나게잘먹엇습니당~~,[]
10,4,['무뼈닭발'],곱배긴데 저번이랑 양이 비슷하네요 왜지..매운데 맛있어요맛있는데 느므 매워요,[]
11,5,['무발세트（무뼈닭발＋알찜＋주먹밥＋김＋김가루＋쿨피스450mL）'],너무 맛있어요 새벽에 잘먹었습니다,[]
12,5,['무뼈닭발'],"곱배기 인데도 양이 좀 적네요, 맛있습니다, 배달빠르고요",['https://rev-static.yogiyo.co.kr/ccc4586740c18ce7909c010e7cf8d4ec_tn.jpg']
13,5,"['잔치국수', '설레임세트（무뼈닭발＋오돌뼈＋알찜＋주먹밥＋쿨피스930mL）']",믿고먹는 맛 넘나맛있음,[]
