,별점,주문메뉴,리뷰,사진
0,5,"['혼밥세트A（제육볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)']",배달도 빨리오고 맛도 좋고 양도 많고 ㅎㅎ 자주 먹을거 같아요,[]
1,5,['동태찌개'],찌개도 맛잇고 찬도 정성스럽네요.번창하세요~,[]
2,5,['동태찌개'],제가 일이있어 못받았는데 사장님 직접 문자주시고 너무 감사합니다^^너무 맛있어요 강추합니다^^,[]
3,5,"['생고기 묵은지 김치찜', '공기밥']",정말 맛있게 잘 먹었습니다,[]
4,5,"['혼밥세트A（제육볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)', '공기밥', '계란찜小']",깔끔하고 맛나네유 ~,[]
5,5,['생고기 묵은지 김치찜'],진짜 양많고 맛있어요 고기 너무 많아서 놀랐어요 또 조만간 먹겠음,[]
6,3,['닭볶음탕'],닭도리탕시켰는데다음엔 다른거먹어볼래요,[]
7,4,"['제육볶음', '공기밥', '비빔냉면', '사이다 500mL']",맛있게 잘먹었습니다 ㅎㅎㅎㅎㅎ,[]
8,4,"['혼밥세트A（제육볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)', '혼밥세트D（불고기볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)']",제육볶음 존맛이에오? 엄마가 해준 맛 같아여?,[]
9,5,"['생고기 묵은지 김치찜', '닭볶음탕', '제육볶음', '공기밥']",닭볶음탕 맛이 좀 이상했어요 다른음식은 다 괜찮았습니다 맛있게 먹었습니다,[]
10,5,"['혼밥세트A（제육볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)']",좋았어요 근데 뭔가 기름이 많은 듯,[]
11,5,['생고기 묵은지 김치찜'],고기 잡내없이 깔끔하고 조아요!,['https://rev-static.yogiyo.co.kr/3697bdfab8049e68f440455024b3fff8_tn.jpg']
12,5,"['혼밥세트A（제육볶음＋김치or된장찌개＋공기밥1＋콜라or사이다 245mL）', '음료 선택(콜라 245mL)']",겁나 맛있게 먹엇어요><,[]
