,별점,주문메뉴,리뷰,사진
0,5,"['순두부찌개', '제육덮밥']",오픈했는지 떡도 주네요 ~~ 음식 맛은 조았어요 !! 대박나세요 친절히 전화 주신 여사장님 ? 굿굿,"['https://rev-static.yogiyo.co.kr/c15ccdb7b848c0d0bbe561b315f62c75_tn.jpg', 'https://rev-static.yogiyo.co.kr/9ca1d358482c73bea76e87b9ceb786ab_tn.jpg']"
1,5,"['김치찌개', '제육덮밥']",순두부찌개 차돌김치시켰는대애들두잘먹네요 수고하세요~~~♡,[]
2,5,['갈치구이정식（2인분）'],짭쪼롬 한것이 딱 밥 반찬이네요김치찌개도 맛있고 한끼 잘먹었습니다~,[]
3,4,['고등어구이정식（2인분）'],고추가루가 모든 음식에 들어갑니다.콩자반빼고고등어구이도 양파볶음땜에 고추가루가 있네요.일반 고등어구이 생각했는데ㅠ양은 2인치곤 조금 적은듯느껴졌으나 먹다보니 딱 맞는듯했어요된장찌게가 칼칼하고 진합니다!!,[]
4,5,['삼치구이정식（2인분）'],맛도 좋았고 음식을 담은 것도 깔끔하게 포장이 되어있어서 만족하고 맛있게 먹었어요.,[]
5,4,"['김치볶음밥', '계란찜', '물만두']",배달은 좀 늦었지만 웰치스 음료수도 서비스로 주시궁 맛도 좋았어용 양도많구~  잘먹었습니다^^,['https://rev-static.yogiyo.co.kr/940e19a8460a2504ee3ee81482f6fcc2_tn.jpg']
6,5,"['차돌박이김치찌개', '차돌박이볶음밥']",맛있어요! 볶음밥에는 캐첩이 뿌려져서 오는데 캐찹은 따로 주셨으면 더 좋았을 것 같아요!!,['https://rev-static.yogiyo.co.kr/0bb2c433b377a6fc008e31ec04dd9ba3_tn.jpg']
7,5,"['김치찌개', '차돌박이김치찌개']",찌개와 기본반찬 모두 깔끔하고 맛도 좋아요. 다만 기본반찬을 1~2가지 바꿔가면서 하는 것도 고려해주세요.,[]
8,5,"['삼치구이정식（2인분）', '김치찌개']",맛이 정말 좋습니다. 계속 재주문해서 먹고 있습니다. 그리고...고맙습니다. 베이컨볶음밥..!!! 맛있게 잘먹었습니다.,[]
9,5,"['김치제육덮밥', '새우볶음밥']",맛있게 잘먹었어요 다음에 또 주문할께요,[]
10,5,[],제가 사실 점심시간에 겹쳐서 양해를 구해보고 안되면 취소하려구 했는데 거기에 또 맞춰서 빨리해주시고 나무 감사해요 바쁘실텐데ㅠㅠ너무 맛있었고 양도 엄청많고 사장님도 친절하시고 너무 좋았어요 앞으로도 집밥 생각나면 여기서 많이 시켜먹을거같네요,[]
11,1,"['육개장', '오징어덮밥', '참치김치볶음밥']",맛없어요 육계장만 팩으로나온거 끓여나온거라그런가 육계장괜찮고 나머진 완전별로,[]
12,5,['갈치구이정식（2인분）'],"전화도 너무 친절하게 응대해주시고, 아이들 먹일거라고 했더니 고춧가루 빼주셔서 너무 잘 먹였습니다. 순두부도 맵지않게 해주신다고했는데 깜빡하신건지 그대로 주셨지만 제가 혼자 잘 먹었어요~ 자주 시켜먹을게요^^",['https://rev-static.yogiyo.co.kr/d853546ed421dd1a55e12960781a5064_tn.jpg']
13,5,"['모듬구이정식（3인분）', '차돌박이 순두부찌개', '된장찌개']",맜이 좋고 항상 재주문 해서 먹고 있습니다.,[]
14,4,"['해물된장찌개', '오징어덮밥']",된장찌게 담백한 맛인데 해물된장에 해물이 잘 안보이네요ㅜ,[]
15,5,"['수제등심돈까스', '왕새우튀김우동']",음식자체가 짜지않아서 좋아요!면도 따뜻하게 따로 포장해주셔서 우동이 더 쫄깃했어요 날씨도 더운데 감사합니다!,['https://rev-static.yogiyo.co.kr/bda307e7a855a058fcecae03218490a6_tn.jpg']
16,4,"['수제치즈돈까스', '매콤돈까스']",괜찮은거같아여 가끔시켜먹을거같아여,[]
17,3,"['순두부찌개', '수제등심돈까스']",밥이 찐밥인가요? 넘 딱딱해서 씹기어려웠어요.ㅜㅜ맛은.그냥저냥.,[]
18,3,"['낙지볶음밥', '낙지불고기볶음', '수제등심돈까스']",그동안 자주 이용을 했는데. ..맛이 점점 떨어진다 는 느낌입니다. 낙지불고기볶음 &낙지볶음밥은 달았고 돈가스는 너무 기름을 많이 먹은 상태여서 반도 못 먹고 버리는 선택을 했습니다.,[]
19,5,"['스팸정식', '계란찜', '물만두']",딸아이가 좋아하는 메뉴로 시켰는데 맛있게 잘먹었어요,[]
20,5,"['참치김치찌개', '낙지덮밥']",진짜 정직하게 요리하는 집이에요! 처음 주문한 날에는 폭염으로 더워서 음료수 서비스도 주셨어요..ㅠㅜ 정말 알차고 맛도있는 집이에요!! 강추,[]
21,5,"['꽁치김치찌개', '제육덮밥']",항상 찌개는 엄청 만족하는데 덮밥류는 양이 조금 적은거같아요!,[]
