,별점,주문메뉴,리뷰,사진
0,5,"['마파두부', '볶음면']",항상 만족하며 먹고있습니다. 근처 중화요리점 중에는 최고네요~,['https://rev-static.yogiyo.co.kr/d83b594f2422a8bbd5ba9f659ce207c9_tn.jpg']
1,5,"['마라향궈', '공기밥']",맛있습니당!!!!!,[]
2,5,"['짜장면', '마파두부덮밥', '탕수육']",간만에 좋은 중국집 업뎃되서 다행..탕수육 소스가 없는거빼고는 다맛잇음,[]
3,5,"['궈바로우', '짬뽕', '짬뽕밥', '공기밥']",잘 먹었습니다 번창하세요,[]
4,5,"['마라향궈', '궈바로우']","궈바로우 정말 중국 맛입니다! 맛있었고 양도 많았어요.저 식초 맛이 좋아서 탕수육보다 궈바로우 더 맛있습니다마라향궈는 저한테 너무 매워서 먹기는 좀 힘들었습니다,하지만 맛이 있습니다.다음에도 시킬께요~","['https://rev-static.yogiyo.co.kr/08c90ec1dddda03ceaaf63a84237b3ab_tn.jpg', 'https://rev-static.yogiyo.co.kr/821ad1778e38af4d15151466a14f8ec3_tn.jpg']"
5,4,"['궈바로우', '짜장면']",쫄깃하고 맛있었어요,[]
6,5,"['궈바로우', '차돌짬뽕']",맛있네요 차돌짬뽕 꿔바로우 담에또 시켜먹어야겠어요,[]
7,5,"['궈바로우', '어향육사덮밥', '볶음면']",잘 먹었습니다~볶음면 정말 맜있어요⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄,[]
8,4,"['궈바로우', '차돌짬뽕', '볶음면']",차돌박이짬뽕은 전혀 안매워서 애들이 먹기에도 좋았는데요. 돼지고기하고 차돌이 같이 들어가서 약간 느끼하네요. 볶음면도 느끼~~~ 약간 매콤하면 좀 더 좋을듯합니다. 양은 많아요. 그래도 주변 중국집보다는 나은거 같네요. 배부르게 잘 먹었습니다.,[]
9,4,['마라향궈'],ㅜㅜ 먹는다고정신없어서못찍었는데양도푸짐하고맛있어요두번째주문인데 자꾸생각나는맛입니다,[]
10,5,"['마라향궈', '설원（小）250mL']",잘먹었습니다 맛있네요,[]
11,3,"['지삼선', '볶음면']",양이 적어요ㅠㅠ 맛은 별로예요,[]
12,5,"['마파두부', '궈바로우']",마파두부 추천해요!!,['https://rev-static.yogiyo.co.kr/08884b26823c278432436ce6df314cb4_tn.jpg']
13,5,"['홍소갈비', '건두부무침', '볶음면', '공기밥']",중국에서 먹었던 맛이네요^^ 마시서요 ㅋㅋㅋ,"['https://rev-static.yogiyo.co.kr/34f4f6ecc5c520340ea9e6e1eff80924_tn.jpg', 'https://rev-static.yogiyo.co.kr/de8679a7c6b341f249afa978cc26e732_tn.jpg', 'https://rev-static.yogiyo.co.kr/6fb943421a6de9c7bda3aa16bbfab4c8_tn.jpg']"
14,5,['마라향궈'],처음 시켜봤는데 맛있네요. 다른 메뉴도 도전해야겠습다!,['https://rev-static.yogiyo.co.kr/950f6d7f3390e4f245752f040b5f36cf_tn.jpg']
15,5,"['마파두부', '경장육사']",이번엔 다른 메뉴에 도전했습니다. 역시 맛있네요. 너무 짜지 않은 것이 입맛에 딱 맞네요. 앞으로 단골입니다!,['https://rev-static.yogiyo.co.kr/f4164adad837f6b2200f9de286df7f61_tn.jpg']
16,5,"['마라탕 ', '양꼬치（10개）']",맛나요마라탕 배달은 첨인데 굿이에요양꼬치도 냄새안나요,[]
17,5,"['궈바로우', '건두부무침', '마라탕 ']",어제 먹고 또 다른 메뉴로 시켜봅니다. 역시나 다른 메뉴들도 맛있네요. 덜 자극적인 맛이 입맛에 맞습니다.,['https://rev-static.yogiyo.co.kr/0aecc1ee2741cecf1fd4c7aea10f07d3_tn.jpg']
18,5,"['경장육사', '양꼬치（10개）']","매일 시켜 먹네요. 오늘은 드디어 양꼬치를 먹었습니다. 맛은 정말 좋은데, 양꼬치 기름이 배달 봉지에 잔뜩 흘렀네요 ㅠㅠ",['https://rev-static.yogiyo.co.kr/8c5785b8a447f7f2748d384e333ebd78_tn.jpg']
19,5,"['향라육사', '건두부고추볶음']",이번에도 새로운 메뉴로 주문해 봤습니다. 향라육사가 고추가 많은건 알고 있었는데 막상 먹어보니 너무 많긴 하네요 ㅎㅎ 그래도 맛은 있습니다.,['https://rev-static.yogiyo.co.kr/1700d95b134ae66fc5d352b02e6368f2_tn.jpg']
20,5,['마라롱샤'],마라롱샤가 궁금해서 시켜봤는데 맛있네요,['https://rev-static.yogiyo.co.kr/8da85a6d23cea6e9388e2432a5fd4198_tn.jpg']
21,5,"['궈바로우', '마라탕 ']",맛있었어요~ 마라탕 당면이 좀 불은 것 빼구요 . 꿔바로우도 맛있었어요^^,[]
22,5,"['궈바로우', '마라탕 ']",마라탕은 처음 먹어보는데 샹궈가 더 좋은거 같아요 청경채가 없네요,['https://rev-static.yogiyo.co.kr/64cd2662f195674e5cdf85f5f6b5fd57_tn.jpg']
23,5,"['짜장면', '군만두', '마라탕 ']",짜장면도맛있네요 양꼬치집맞나요?,[]
24,5,"['짜장면', '마라탕 ']",양 굉장히 많고 맛도 있어요!!! 최근 먹은 마라탕 중에 가장 맛있어요,"['https://rev-static.yogiyo.co.kr/6365c01fd4463107f28ca51aef472518_tn.jpg', 'https://rev-static.yogiyo.co.kr/14ae9e948737abb9e1f8ec8210801132_tn.jpg']"
