,별점,주문메뉴,리뷰,사진
0,5,"['김치찌개', '비빔밥']",정성이담긴 반찬이며김치찌개 비빔밥 진짜 맛있었어요 다만 배달이 늦었을뿐....^_^,['https://rev-static.yogiyo.co.kr/6ebe2efadc3fe9c08914f6647ea83b63_tn.jpg']
1,5,"['고등어＋된장찌개', '제육덮밥']",반찬과 음식너무 괜찮았습니다.,[]
2,5,['돌솥비빔밥'],포장부터 맛까지 완벽했습니다,[]
3,5,"['김치찌개', '비빔밥']",너무 맛있어요 고기랑 김치 너무신선하구요 칼칼하네요 별다섯개 그이상을 드리고싶어요 ^^ 리뷰이벤트 덕분에 밥두공기 서비스도 주셨어요 너무감사합니다♡ 다음에 또시킬게요,['https://rev-static.yogiyo.co.kr/d9fd88ca0e6601485dd6bb6a27ea6b65_tn.jpg']
4,5,"['김치찌개', '육개장', '제육덮밥']",반찬양도 많고 맛있는데 육개장 국물이 반정도 흘렀네요. 플라스틱 용기와 비닐 사용 안하시고 배달하시니 존경해요. 잘 먹었습니다.,[]
5,4,"['참치찌개', '제육덮밥']",맛은 그냥 그럭저럭이지만 반찬구성이라든지 이만한 한식집은 없을듯,[]
6,5,"['김치찌개', '제육덮밥']",잘먹었습니다 ㅎㅎ맛있어요 ㅎㅎ,[]
7,5,"['김치찌개', '제육덮밥']",항상 맛있게 잘 먹고 있습니다.,[]
8,5,"['해물순두부찌개', '돌솥알밥']",반찬이 5종류가 있어서 넘 만족해요,[]
9,5,"['김치찌개', '비빔밥']",맛잇어요 항상 잘 먹고 있습니당,[]
10,5,"['김치찌개', '제육덮밥']",종종 시켜먹는 집입니다. 맛있고 배달도 빨랐어요 ㅎㅎ,[]
11,5,"['비빔밥', '돌솥비빔밥']",첫주문인데 포장도 꼼꼼하고 맛도 좋네요.직장에서 시키는건데 일주일에 한두번은 꼭 주문하려고요^^,[]
12,5,"['비빔밥', '돌솥비빔밥']",비빔밥 나물도 신선하고 반찬도 맛있어요.,['https://rev-static.yogiyo.co.kr/4b186d3a62fb0baee2cd14d042ee5ae1_tn.jpg']
13,4,"['김치찌개', '제육덮밥']",괜찮습니다 일회용그릇아닌게좋네요,[]
14,3,"['제육덮밥', '소불고기덮밥']",몇개월간 계속 밥을 시켜먹는 곳인데 오늘은 고기가 별로 안좋네요.,[]
