,별점,주문메뉴,리뷰,사진
0,5,"['（요기요）로제크림떡볶이', '（요기요）수제튀김 중', '（요기요）죠스찰순대', '쿨피스']",배달도 빨리왔고 양도 생각보다많이와서 좋았어요~~ 맛있게먹었습니당,[]
1,5,['（요기요）트윈세트'],넘 맛있어요.,['https://rev-static.yogiyo.co.kr/4d637ad17d291c8d806e8640b17d6bc4_tn.jpg']
2,5,['（요기요）트윈세트'],맛있어룔 굳굳굳굳굳,[]
3,5,['（요기요）트윈세트'],맛있었어요 ㅎㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/9e38d524bdc58cd4c4c1b90f2a4fe6fa_tn.jpg']
4,5,['（요기요）트윈세트'],맛있어요.,['https://rev-static.yogiyo.co.kr/288ef5462e04cae4d1e0cd138c4db1f0_tn.jpg']
5,5,"['（요기요）죠스떡볶이', '（요기요）치즈떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대', '（요기요）부산어묵']",맛있게 잘먹었어요~~ 배달도빠르고 푸짐하고~감사합니다^^!!,[]
6,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대', '（요기요）부산어묵']",맛 무난해요 생각보다 양이 많드라구요,[]
7,4,['（요기요）트윈세트'],맛있고 양도 많았어요! 굿굿,[]
8,5,"['（요기요）트윈세트', '（요기요）죠스떡볶이']",맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/216cecfe65b1680b82e370d2cb4774a3_tn.jpg']
9,5,['（요기요）트윈세트'],튀김도 바삭하고 빠른 배달로 더 맛났어요,[]
10,2,['（요기요）트윈세트'],죠스 떡볶이 맛이?브랜드 특징없는맛이네요~~먹어 보고 좀 실망~~,[]
11,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 대', '콜라355ml']",맛있었어여 ㅎㅎㅎㅎㅎㅎ ㅋㅋ,[]
12,5,['（요기요）치즈세트'],요기요 주문들어온걸 늦게보셨다면서 배달 늦었다고 전화도 주시고 ~서비스도 주시고 맛있었어요 ^^,[]
13,4,"['（요기요）죠스떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대', '쿨피스']",맛있었고 양도 많았어요 좋아요!,[]
14,4,['（요기요）트윈세트'],배달 빠르고 양도 많네요잘먹었습니다,[]
15,5,['（요기요）트윈세트'],배달이 생각보다 빨랐어요,['https://rev-static.yogiyo.co.kr/580499d3e713deff997fcda445cb6549_tn.jpg']
16,5,['（요기요）트윈세트'],애들이 떡볶이 먹고싶다했는데 영통점 배달돼서 좋아요. 다음에 떡볶이 먹을때 주문할께요 참고로 순대는 죠스가 젤 맛있다고 하더라구요,"['https://rev-static.yogiyo.co.kr/d8a9c37ad3ddb353971c2a329bf61307_tn.jpg', 'https://rev-static.yogiyo.co.kr/c89fb1b7fbd6a3f6112394e40d6bd518_tn.jpg']"
17,5,['（요기요）트윈세트'],맛있어요오오오요오요오여요오여,[]
18,5,['（요기요）트윈세트'],"맛, 양, 가격 삼박자를 다 잡은 집. 떡볶이가 제 입맛엔 너무 매운편이라 늘 올리고당 미친듯 뿌려먹는게 살짝 아쉽지만 튀김 순대 오뎅은 진짜 분식집 갑이네요",['https://rev-static.yogiyo.co.kr/b00b35670a09084e27474c5f67fcf0fe_tn.jpg']
19,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 중', '（요기요）죠스찰순대', '쿨피스']",와.. 되게 맛있네요,['https://rev-static.yogiyo.co.kr/b45eeb759b4323c9422ae11a38805693_tn.jpg']
20,4,['（요기요）트윈세트'],애들오기전에 주문시간이라 아쉽긴하지만 요기요혜택 좋네요,['https://rev-static.yogiyo.co.kr/10c744f82ec94467c0f591c573946f31_tn.jpg']
21,5,['（요기요）트윈세트'],"8천원 대에 떡볶이, 튀김, 순대, 어묵, 쿨피스까지 먹어서 너무 만족스럽습니다. 배달도 30분 안에 와서 만족스러웠어요.",['https://rev-static.yogiyo.co.kr/9bb6fb0297862949482f2dcf1d3f9cd1_tn.jpg']
22,5,['（요기요）트윈세트'],기사님이 배송 메모 안 보고 전화주신 거 빼곤 좋았어요 오랜만에 먹었는데 역시 튀김 존맛 ㅠㅠ,['https://rev-static.yogiyo.co.kr/77a08c0111bc52af8197ada8c9f1abd5_tn.jpg']
23,5,"['（요기요）트윈세트', '（요기요）수제튀김 중']",죠떡 맛있어요 ㅎ 특히 고구마 튀김 넘나 맛있어요,"['https://rev-static.yogiyo.co.kr/d0f84e130c28b7b7d95d5e5b4b5f31c5_tn.jpg', 'https://rev-static.yogiyo.co.kr/c39ab458a5b07dcd7391440e5303d5fc_tn.jpg']"
24,5,"['（요기요）로제크림떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대']",🤤,['https://rev-static.yogiyo.co.kr/d1ec25df7c0448908d316f3969435f43_tn.jpg']
25,5,"['（요기요）수제튀김 중', '（요기요）수제튀김 대', '（요기요）죠스찰순대']",맛있게잘먹었습니다  추천합니다,[]
26,5,"['（요기요）수제튀김 중', '（요기요）수제튀김 대', '（요기요）죠스찰순대']",맛있게잘먹었습니다  추천합니다,[]
27,5,['（요기요）트윈세트'],넘 맛있어요.,['https://rev-static.yogiyo.co.kr/6b55a824649146071f47736cd341e96f_tn.jpg']
28,5,['（요기요）스페셜세트'],진짜 배달  빠름  맛도 좋아 양은 2인분,[]
29,5,"['（요기요）치즈떡볶이', '（요기요）수제튀김 대', '（요기요）부산어묵']",또뽂이 또먹움... 그저께도 먹움.... 맛있으면 또먹지... 이번엔 순대대신 오뎅근데 넘 많아 혼자먹는데 가격맞춰야해서 3개 시켰는데 ㅎㅎ상어떡뽂이 좋아! 좋아! 좋아연~ ❤️💕 사란해요~ 💓,['https://rev-static.yogiyo.co.kr/561cfc2af9bda86929ae2eebdc00d500_tn.jpg']
30,5,['（요기요）트윈세트'],맛있게 잘 먹었습니다. 감사합니다^^,[]
31,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 중', '（요기요）부산어묵', '쿨피스']",양 엄청나네용 맛도 최고고♡,[]
32,5,[],치즈 떡볶이도 맛있어요,['https://rev-static.yogiyo.co.kr/ec6a7befd8586f1fe3964a0d577d16ae_tn.jpg']
33,5,['（요기요）트윈세트'],"포장깔끔하고,  튀김맛도 좋았어요",[]
34,5,['（요기요）트윈세트'],예전에 먹어보고 너무 매워서 안먹다가 근 7년만에 먹어봤는데 여전히 저한텐 너무 맵네여ㅎㅎ.. 매운거 좋아하시는 분들은 맛있어 하시겠져?,[]
35,4,['（요기요）치즈세트'],치즈가 타 지점대비 조오금 적었어요,[]
36,5,['（요기요）트윈세트'],튀김이 바삭바삭 맛있어요~~,['https://rev-static.yogiyo.co.kr/b6be917044f235822fe0fac5dca4a7d3_tn.jpg']
37,5,['（요기요）트윈세트'],"배달도 빨리오고,맛도 양도 직접가서 포장할때랑 차이없이 맛났어요~",[]
38,4,['（요기요）트윈세트'],괜찮아요 맛있습니다,[]
39,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대', '（요기요）부산어묵']",정말 맛있게 먹었어요배달도 빨리 오셨구요또 주문할게요 ^^,['https://rev-static.yogiyo.co.kr/b9973dd56d4ab43d730bdd47021c7623_tn.jpg']
40,5,"['（요기요）죠스떡볶이', '（요기요）죠스찰순대', '쿨피스']",빠르고 푸짐하게 잘먹었습니다 사장님도 킹왕짱 친절하시네요~~^^,[]
41,5,['（요기요）트윈세트'],늘 믿고 먹는 맛이에요^^,['https://rev-static.yogiyo.co.kr/fbf3edad73be67a2ef7edcaaad5d3583_tn.jpg']
42,5,['（요기요）트윈세트'],떡볶이 오뎅은 괜찮은데 순대는 약간 누린내가 나서 얼마 못먹었네요,[]
43,5,['（요기요）치즈세트'],너무좋습니다유!또먹을테니 잘부탁드립니다요!ㅎ,[]
44,4,['（요기요）트윈세트'],죠스도 배달되니 넘 좋네용..잘먹었습니당 ~,['https://rev-static.yogiyo.co.kr/7eca56c92bdf8c2e4703c3a9098f543c_tn.jpg']
45,5,['（요기요）트윈세트'],맛있네요. 다음에도 또 주문할거에요,[]
46,4,['（요기요）트윈세트'],자극적이지 않은 떡볶이도 맛있고 어묵도 맛있어요,[]
47,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 중', '（요기요）죠스찰순대', '（요기요）부산어묵']",떡볶이도 맛있지만 순대는 냄새도 나지 않고 맛있어요~^^,[]
48,5,['（요기요）트윈세트'],맛있어요. 배달도 빨라요,[]
49,5,['（요기요）스페셜세트'],맛있게 먹었어요~~~ 예쁜 쪽지와 함께 배달해주시니 사장님의 정성이 느껴지네욧,[]
50,5,['（요기요）트윈세트'],❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,[]
51,5,['（요기요）트윈세트'],잘먹었습니다~~서비스로 주신 암바사도 맛있게 먹었어요^^,"['https://rev-static.yogiyo.co.kr/7e573304cbf23d781ad17f9bc1d3b05c_tn.jpg', 'https://rev-static.yogiyo.co.kr/e6f9488212c1f014b0e1b614c2eb8275_tn.jpg']"
52,5,['（요기요）트윈세트'],배달엄청 빠르고 친절하시고 맛도 좋아요,[]
53,5,['（요기요）트윈세트'],빠른배달 맛있는 음식이에요,['https://rev-static.yogiyo.co.kr/1fd839c1624f4243977f754de619efc0_tn.jpg']
54,5,['（요기요）트윈세트'],죠스떡볶이 맛있네요 추천!,['https://rev-static.yogiyo.co.kr/530c5be38a1a277877ca92ab89ed0a4e_tn.jpg']
55,5,"['（요기요）죠스떡볶이', '（요기요）수제튀김 대', '（요기요）죠스찰순대', '（요기요）부산어묵']",요청사항에 간이랑 허파 빼달라고 썼는데 깜빡하셨나봐요ㅜㅜ그래도 죠스는 항상 맛있어요,[]
