,별점,주문메뉴,리뷰,사진
0,5,['모듬전'],배달일단예정시간보다 훨씬빨리와서 놀랏구요! 거기다 피자포장용 판에 배달이와여 두개오는데 양보구 깜놀랏어염 가격대비훨씬알찹니당!!맛도 따로따로 다시시켜먹을만큼 맛잇어염!!!,"['https://rev-static.yogiyo.co.kr/9b90c403899063c728f1366470fd5219_tn.jpg', 'https://rev-static.yogiyo.co.kr/d4276d3b67d38382708e1351980f3773_tn.jpg']"
1,5,"['모듬전', '공기밥']",Gooooooood설날에는 굿,['https://rev-static.yogiyo.co.kr/2b8f8c447614a02ab8261f928f4454d7_tn.jpg']
2,5,['모듬전'],여기 정말 대박이네요~모듬전이 정말 푸짐합니다.정말 맛있게 잘 먹었습니다~^^,"['https://rev-static.yogiyo.co.kr/d6ace76ae2ebd251853ddaaee4b7a2bd_tn.jpg', 'https://rev-static.yogiyo.co.kr/94c1502bc8d3706288ec0e86610f4a1b_tn.jpg']"
3,5,"['돼지고기 김치찌개', '생수2L （삼다수）']",헛 배달두 예정시간보다 빨리왓구욤사진이잘안나왓는뎁 양이진짜마나염! 맛있네염!!!!!만족요!!!,"['https://rev-static.yogiyo.co.kr/bc330e97573ecbdee15337d5366b46b3_tn.jpg', 'https://rev-static.yogiyo.co.kr/99c2863079b52e9a1a171e61da60d57d_tn.jpg']"
4,4,"['A세트（전＋국물닭발） （녹두빈대떡 or 동그랑땡 or 깻잎전 or 동태전 or  메밀전병 ）', '서울장수막걸리']",닭발이 대박!전은 조금 식어서 오긴 했지만 맛있어여~,[]
5,5,['닭볶음탕'],배달빠르구요 국물 얼킁합니다,[]
6,4,"['닭볶음탕', '참이슬 후레쉬']",맵고 맛있어요 양도많고,[]
7,5,"['김치전', '닭볶음탕']",생략(2번째리뷰에씁니다),[]
8,5,"['김치전', '깻잎전']",진짜 대박맛있어서 이틀연속 시켜먹었어요. 딱 한가지 아쉬운건... 부찬으로 주신 콩나물이 너무너무 짜요. 그거 빼곤 완벽합니다.,[]
9,5,"['김치전', '편육（머리고기）']",아무래도 가게가 곡반에 있다보니 제가 사는 곳까지는 배달이 빠르진 않았어요ㅎ 그래도 그 점만 감안하면 진짜 주문했던 메뉴 전부 맛있었어요^^,[]
10,5,"['두부김치', '편육（머리고기）', '생수2L （삼다수）']",배달빨랏구여 예정시간보다항상맛있구 좋은데이번에 현금결제로배달시켯는데 카드로햇다구 그러질않나 ... 흠 좀 그랫습니당,"['https://rev-static.yogiyo.co.kr/03c9480ca9e94a895d9355beecaff73f_tn.jpg', 'https://rev-static.yogiyo.co.kr/3ce424b48fc0f27c23a19b274b21aad4_tn.jpg']"
