,별점,주문메뉴,리뷰,사진
0,1,"['특주원초밥 12ps＋장국', '특장어덮밥 ＋ 장국']",배달은 진짜 빠른데...나머지가...,[]
1,5,"['특주원초밥 12ps＋장국', '통간장새우']",간장새우가 짜지 않고 맛있어요! 개인 취향으론 단맛이 좀 더 났으면 좋겠네요.,[]
2,5,"['주원초밥 12ps＋장국', '특주원초밥 12ps＋장국', '도로']",서비스 우동 감사합니당~♡ 넘 맛나용~,['https://rev-static.yogiyo.co.kr/b8610905c95d6011ab2bb35b5d2e14fc_tn.jpg']
3,5,"['특주원초밥 12ps＋장국', '특연어덮밥 ＋ 장국', '특회덮밥 ＋ 장국']",헐 대박 엄청 맛있어요!!!!우동 서비스도 감사합니다~!!초밥이 제일 맛있어용ㅎㅎ,['https://rev-static.yogiyo.co.kr/563c2cf89d44a40de520aa77fff3d4ed_tn.jpg']
4,5,['특주원초밥 12ps＋장국'],12피스 시켰는데 묵은지초밥까지 추가로 주셨네요양많아 든든하고 맛있게 잘먹었어요너무 잘먹었습니다~ 담에 또 시킬게요~,['https://rev-static.yogiyo.co.kr/6942465837a075a4f6c1a51b3384dc4e_tn.jpg']
5,5,"['주원초밥 12ps＋장국', '유부초밥 12ps＋ 장국']",밥알이 흐트러지는게 약간 아쉽지만 맛있게 먹었습니다,[]
6,5,"['특주원초밥 12ps＋장국', '연어초밥 12ps＋장국']",존맛탱이 따로 없습니다 서비스로 우동도주는데 그것도 대존맛입니다 냠냠,['https://rev-static.yogiyo.co.kr/a80ba8a9a14c9cd8a73dde7420a92fcf_tn.jpg']
7,3,"['특주원초밥 12ps＋장국', '연어초밥 12ps＋장국']",초밥맛은 맛은 있었습니다 근데 연어소스가너무 묽어서 좀 걸죽했으면 좋겠다 싶었네요그리고 손편지는 좋았구요 우동은 서비스라 먹었는데 맛은 그냥그래요그리고 배달시간이 50분이상 많이 늦네요~,['https://rev-static.yogiyo.co.kr/44050d2037568d9d1e4b2c468628a55b_tn.jpg']
8,4,"['특주원초밥 12ps＋장국', '광어초밥 12ps＋장국']",우동은 제가 끓이는데 실패했는지 소소했어요 ㅠ광어가 도톰하니 쫄깃해서 맛있었습니다,['https://rev-static.yogiyo.co.kr/ec4a23a1d877b69fafee109a123dcab8_tn.jpg']
9,4,"['주원초밥 12ps＋장국', '특주원초밥 12ps＋장국', '도로']",밥알이 쉽게 흐트려졌는데 원래 그런 거란 걸 다 먹고 알았네요 ㅠ 음식도 맛있고 사장님의 손편지 너무 감사합니다 우동에 고춧가루 넣어서 먹었더니 칼칼헤서 좋았네요 맛있게 잘 먹었습니다 감사합니다~^^,"['https://rev-static.yogiyo.co.kr/b10d850685cd6c4cb15999abcaa12ef7_tn.jpg', 'https://rev-static.yogiyo.co.kr/c25883ed92c85f108ab4e8be79285824_tn.jpg', 'https://rev-static.yogiyo.co.kr/f97eb63b7355bac66643b150a99788a8_tn.jpg']"
10,5,['특주원초밥 12ps＋장국'],괜찮네요 담에 또 먹을게요,[]
11,5,['주원초밥 12ps＋장국'],생각보다 배달도 빨리오고초밥도 맛있고 예쁜 손글씨까지 넘넘 감동이었어요우동 서비스도 잘 먹었네요감사합니다또 이용할게요^^,"['https://rev-static.yogiyo.co.kr/d8c0ccf698d5afa412cc9a2c9dafea8b_tn.jpg', 'https://rev-static.yogiyo.co.kr/2380a2a93864cc8ec23dc9297afc406c_tn.jpg', 'https://rev-static.yogiyo.co.kr/bc80910328c65119cefcb4415c811d64_tn.jpg']"
12,5,"['특주원초밥 12ps＋장국', '연어초밥 12ps＋장국']",연어초밥 너무 맛있어요,"['https://rev-static.yogiyo.co.kr/32bf960d35a120bb41c05f8161b464f9_tn.jpg', 'https://rev-static.yogiyo.co.kr/c3cc9d5d4e633cfe3971779e4361b209_tn.jpg']"
13,5,"['특주원초밥 12ps＋장국', '유부초밥 12ps＋ 장국', '찐새우', '광어']",하...진짜.... 이래도되여????하..진짜 너무맛있잖아요!!!!!❤❤❤초밥들이 전부 다 신선하고 정말 맛있어요♡ 거기에 우동서비스로 주셨는데 어쩜...이것마저 이렇게맛있을수가ㅠㅠㅠ배달도 요청사항이많았는데 친철하게 다 받아주시고 ㅠㅠ 정말 너무 감동그자체였어요!!맛도 서비스도♡ 너무 만족스럽고 훌륭해서 ㅎ 지금 또 이렇게 두개씩  추가로 주문했네영ㅎ이번에도~ 믿고 기다립니다♡♡♡,"['https://rev-static.yogiyo.co.kr/a04b934358c872c1526731f4a4ee7ca0_tn.jpg', 'https://rev-static.yogiyo.co.kr/06f74c58672d9a8a581e1f23f2b93115_tn.jpg']"
14,5,"['도로초밥 12ps＋장국', '광어초밥 12ps＋장국']","초밥은 여기서만 먹어요! 진짜 맛있고, 신선해요~ 서비스 우동도 최고!!",[]
15,5,"['연어초밥 12ps＋장국', '도로', '광어', '계란']",배달도 빨랐어요^^ 그런데ㅠ  무조건 빠른배달은 위험하니깐이야기해주신 시간안에만 와주시면 감사할것 같아요~ 우선 배달음식 자체 깨끗하다는것이 우선 좋았어요맛도 너무 좋구요^^ 연어를 좋아해서 많이 먹는데비릿내 안나고 좋네요^^소스에 양파를 버무려서 먹었는데올려서 먹기에 좋습니다!근데 오뎅탕까지 너무많아서 내일 오전에 먹으려구요ㅎㅎ맛있는 음식 감사합니다!!,['https://rev-static.yogiyo.co.kr/0ec1fdf054f109be56d765184b63ac2e_tn.jpg']
16,5,"['특주원초밥 12ps＋장국', '연어초밥 12ps＋장국']",맛있어요~ 다음에 또 시킬게요,['https://rev-static.yogiyo.co.kr/627625662137a71c4171f2df9f25d3d9_tn.jpg']
17,5,"['특주원초밥 12ps＋장국', '장어', '광어', '연어']",맛있어요 우동서비스도 감사하구오근데 우동 국물?소스없이 면만 왔어욬ㅋㅋㅋㅋ 별다섯개 드렸어요~,[]
18,5,"['특주원초밥 12ps＋장국', '도로초밥 12ps＋장국']",맛있어요.          .,[]
