,별점,주문메뉴,리뷰,사진
0,5,[],40분 걸린다고 나와서 놀랐는데 그렇게 오래 걸리진 않은 거 같아요 늦어도 청덕동이 좀 머니까요 ㅎㅎ 배송시간도 만족이고 맛도 좋아요 무엇보다 초인종 누르지 말고 전화 주라는 요청사항을 잘 들어주셔서 너무 좋았습니다^^또 시켜먹을게요~,[]
1,5,[],"배달오시는분도 친절하시고, 저 보쌈집에서 이렇게 깔끔하게 나오는거 첨봣어요 ㅋ 야식집이니까 각오하고 받아서 펼쳣는데 진짜 괜찮네요 다시 시켜먹을 생각있어요",[]
2,5,[],친절하고 맛도 좋고^^,[]
3,4,[],"적당한 맛,가격,배달속도군요",[]
4,4,[],고기~맛괜찮고^^ 김치도 맛있네요^^ 다만~ 콩나물국이 조금 넘쳐서왔어요~봉지에 국물이ㅜ_ㅜ^ 담부터는 포장에 신경좀 써주세요^^,[]
5,4,[],갠춘 맛좋음,[]
6,4,[],Gooood!,[]
7,4,[],시간도 정확하게 도착하구요 족발이 쫄깃~ 하네요^^,[]
8,5,[],"자주시켜먹는곳, 깔끔하고 맛있어요!",[]
9,4,[],배달 빠르고 맛있게 잘 먹었어요,[]
10,5,[],양도많고 맛도있고 쌈도 좋고 진짜 엄청좋아요,[]
11,5,[],족발도 맛있지만  막국수랑 해물부침개..심지어콩나물국도 맛있네요..여기 추천해요  괜찬음,[]
12,5,[],김치보쌈 시켰는데 김치도 매우 넉넉하게 오네요,[]
13,2,[],5번째 시켜먹었네요~ 그전에 4번은 넘 맛있어서 주변에 추천도 꽤 했는데~~어제는 5천원을 적게 받고 가신거예요~이상하다~싶어서 먹으니 고기에서 냄새가 쫌 마니났어요~ 저는 고기가 잘못 삶아져서 5천원 깍아주신줄알고 이해하자며 먹고있었는데~다시 전화와서 계산실수시라고ㅡ_ㅡ^ 제 착각이었네요~ 다시 가져가시라고 말할까하다가~ 그건도 아닌듯싶어서 관두었어요~~제발 추천한분들께 미안하지않게 초심을 잃지마시길~~,[]
14,5,[],영통 부근 족발집 중에 요기가가장 맛난것같아요ㅋㅋ~~ 양도넉넉히주시구,[]
15,5,[],"저희 어머니는 고기간이 살짝 약한 것 같다 하셨는데, 저는 괜찮았습니다! 같은 족발집에 재주문한 적 거의 없었는데 여기는 2~3주에 한 번은 꼭 시켜먹는거 같아요~그만큼 맛있어요! 추천합니당!",[]
16,4,[],역시 갠춘,[]
17,5,[],맛있어요~!!,[]
18,1,[],두시간이 다되어가는데 아직도 안오네요^^먹어야 리뷰를 쓰든 맛에 대해 평가를 내릴텐데..,[]
19,5,[],동백와서 간만에 맛난 족발먹었습니다진작 먹을껄... 굿굿배달맨님도 친절,[]
20,4,[],오늘은 맛있었어요^^ ㅎㅎㅎ,[]
21,5,[],긋긋긋ㅋ,[]
22,5,[],넘맛있네요^^대만족 !,[]
23,5,[],마시씀ㅋ,[]
24,1,[],음식시키고 이렇게 기분 나쁜적 처음이네요 여기 식당 아주머니 전화 그런식으로 받지마세요 ㅎ,[]
25,4,[],"보족으로 중자시켰는데 3가족이 충분히 먹기에 양도좋고 고기도 냄새안나고 괜찬네요 서비스로온 부친개와 막국수도 맛있었어요 단,배송은 오래걸렸네요 한시간십분 기다렸어요 주문하려면 시간을 넉넉히 잡으셔야할듯",[]
26,5,[],배달 빠르고 맛있고 양도 많아서 좋습니다,[]
27,5,[],고기가 부드럽고 맛있음 콩나물국도 쵝오!!!,[]
28,4,[],양도푸짐하고  맛있네요,[]
29,1,[],배달도 늦게오고 고기도별로 다음엔 주문안함,[]
