,별점,주문메뉴,리뷰,사진
0,1,[],떡복기 그냥 버렸네요. 태어나서 음식버려보기는 처음입니다.,[]
1,4,[],떡볶이.순대.땡초김밥. 전체적으로 맛있어요 . 튀김은 그냥 그랬구요. 스팸김밥도 가격대비 좀..암튼 어떤것이든 떡볶이 국물과 함께 먹어야 제 맛인듯^^ 중평떡볶이가 원래 후추맛과 조미료맛이 좀 강하니 알고 먹었구요.  먹을만하던데 평은 왜케 안좋은진 몰겠네요. 번창하세요,[]
2,2,[],배달 안내책자 4개. 배달 메리트 이외엔 굳이..,[]
3,5,[],완전어이없음 요기요믿고 시켰는데 메시지로35분 소요된다하여 기다렸으나 한시간 반 지나도록 안와서 연락하니  주문밀려서 까먹었다며 음식남은거 없다며 미안하단다 완전 어이없음 다신 절대 안시킨다 아주 ...,[]
4,5,[],"떡복기 맛있음,땡초김밥은 특별한맛없음 그냥 매움.튀김은 식가이 딱딱함..어묵은  맛있음..",[]
5,5,[],약속한 시간에 와주셨어요.떡순튀. 튀김에 유부주머니 있어요,[]
6,1,[],닭꼬치 두개주문했는데 한개만옴! 이런식으로 매상을 올리는구만  이천원가지고 ㅉㅉ 잘좀하시지,[]
7,5,[],나는 여기 맛잇어서 찾아가기도 하구 시켜먹기도 하는딩..ㅎㅎㅎ,[]
8,5,[],완전 맛잇졍,[]
9,5,[],짱 맛있어요ㅎㅎ,[]
10,3,[],배달도빠르고 맛있게먹었어요..,[]
11,4,[],떡볶이 튀김 맛있습니다. 오뎅은 보통,[]
12,4,[],빠른배달은 확실합니다~~!!!,[]
13,4,[],배달도 빠르고 맛나요. 떡복이는 자꾸 땡겨요. 스팸김밥도 맛나고 튀김도 맛나요,[]
14,1,[],주문 하고 다르게 오고음료수도 없고 앱 잘못인가요아님 업체 실수 인가요음식 받으실때 항목 확인하세요,[]
15,5,[],아~~맛있엉~~~~~,[]
16,4,[],역시나 떡볶이는 맛있었어요근데 오뎅은비추입니다ㅠㅠ 국물도별로고...닭꼬치떡볶이는 추천,[]
17,5,[],떡볶이양이 많이적어요 그치만맛은 잇네요ㅋㅋ특유에 매운맛이 좋음ㅋ,[]
18,5,[],"땡초김밥, 스펨김밥 맛나요. 떡복이는 당연히 자꾸 땡기는 맛. 자꾸 과식하게 하네요",[]
19,4,[],맛있네요,[]
20,4,[],순대랑 떡볶이 맛있어요~~튀김도,[]
21,3,[],튀김 잘못주신건가 2인분인데 적어서 놀랐어요. 기대가 너무커선가 그냥그랬어요. 떡볶이 맛은 개성있구요. 토스트는 맛있는데 포장이 그래서인가 옆으로 부속 다 쏟아지고 김밥 맛있는데 양이 많이 적네요,[]
22,3,[],꼬치는 비린내가;;; 호일로 잘 포장해주셨지만 먹기가 그랬습니다. 그리고 튀김은 괜찮았는데 순대가 분명 기본 만 주문했는데 그릇에 반이 먹지도 않는 순대여서 당황스러웠어요;;; 밥도 땡초도 별로 맵지 않구 밥알 상태도 너무 죽인득해요,[]
23,5,[],배달도 예상시간보다빠르고 매장가서먹은적있었는데 배달에도 매장에서먹는듯 맛있었구 특히 떡볶이 맛너무중독성있었어요♡,[]
24,5,[],너무 맛있어서 재주문 합니다요 ㅋㅋ,[]
25,5,[],닭꼬치가 너무너무 맛있구요. 다른 메뉴두 적극추천드려요.스팸꼬마김밥두 짱이랍니다,[]
26,5,[],배달하시는분도 친절하시고 양도많고맛있음 번창하시길,[]
27,4,[],배달이 빨라서 좋았어요,[]
28,4,[],떡볶이는 정말 중독되는맛이예요튀김도 튀김옷이 두껍긴하지만 맛나구요근데 스팸김밥 갠적으록별루예요,[]
29,5,[],마싯음,[]
30,1,[],넘  꽝이었어요  조미료맛땜시 떢볶이는 다남김  담엔 못시켜먹겠어요,[]
31,5,"['중평떡볶이', '왕새우튀김', '쫄면']",배달도빠르고 맛있어요 수원에서 전 중평떡 떡볶이가 젤 맛잇는듯ㅋㅋ,[]
32,5,"['중평떡볶이', '찰순대', '꼬마스팸김밥']",배달빠르고요..맛도괜찮아요,[]
33,1,"['중평떡볶이', '찰순대（내장포함）', '수제튀김', '쫄면', '땡초반 스팸반']","사실 별하나도 아깝습니다.업체가 배달지를 잘못적어, 배달하시는 분은 짜증내듯이 주소 확인차 전화 주셨던데요. 제대로 주소 알려줬음에도 불구하고, 옆집에 보란듯이 던져놓다 싶이 하신건 좀 너무했다 싶네요. 맛이라도 있었으면 그냥 넘어가려 했는데, 쫄면은 덜 익었고, 김밥은 옆구리터져있고, 떡볶이도 덜익어 딱딱.... 했습니다. 그나마 순대는 먹을만 했네요. 귀찮아서 이런 후기 잘안쓰는데, 시킨음식에 반이상을 버렸습니다. 음식물쓰레기만 만들었네요. 다시는 시켜 먹고 싶지 않습니다..",[]
34,5,"['중평떡볶이', '찰순대（내장포함）', '수제튀김', '땡초반 스팸반']",오랜만에 먹엇는데 맛있어여 ㅋㅋ,[]
35,5,"['중평떡볶이', '찰순대', '수제튀김']",맛잇엇어요 담에도 시켜먹을거에요 ㅋ,[]
36,4,"['중평떡볶이', '찰순대', '수제햄버거', '수제김치만두']",그냥 그래요 떡볶이...전 그다지,[]
37,3,"['중평떡볶이', '찰순대（내장포함）', '수제튀김', '부산오뎅（3꼬치）', '쫄면', '꼬마스팸김밥']",배달은 빠른데... 양이 세상 적네요..와우...3만원어친데 ㅋㅋㅋㅋ잘먹었어요.....,"['https://rev-static.yogiyo.co.kr/61c316b85c1f38dba78e08233a046fdf_tn.jpg', 'https://rev-static.yogiyo.co.kr/9defc55f22f0e63497092302e1dffe8d_tn.jpg']"
38,4,"['중평떡볶이', '찰순대（내장포함）', '수제（김치＋고기）반반만두 8개']",양도 적당하고 나름 만족합니다,[]
39,5,"['중평떡볶이', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '부산오뎅（3꼬치）']",맛도 좋고 양도 적당하고 배달 빨라요,[]
40,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)', '부산오뎅（3꼬치）', '꼬마스팸김밥（6개）']",굿,[]
41,4,"['중평떡볶이', '찰순대', '수제튀김（6개）', '000원 추가)']",맛있습니다.맛있습니다.,[]
42,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)', '꼬마스팸김밥（6개）', '수제（김치＋고기）반반만두 8개']",굿,[]
43,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)']",방금 받아서 먹는데 맛있습니다ㅎㅎ 튀김 정말 잘튀기셨네요ㅋㅋ 다음엔 순대도 먹어볼게요^^,[]
44,5,"['중평떡볶이', '찰순대', '부산오뎅（3꼬치）']",존맛탱탱탱 국물이진짜마싯어요,"['https://rev-static.yogiyo.co.kr/4520a64ef38110b40c07acad6e421edf_tn.jpg', 'https://rev-static.yogiyo.co.kr/c4fe62f46c7de7317cfb14ffb35d6e73_tn.jpg', 'https://rev-static.yogiyo.co.kr/70a6d620666dc8e99430074bbb89a395_tn.jpg']"
45,4,"['중평떡볶이', '000원 추가)', '찰순대', '꼬마땡초김밥（6개）']",맛있ㅇㅓ요!배달도 예상보다빨리왔어요!!!사진은 떡볶이순대 덜어 먹은거에요,['https://rev-static.yogiyo.co.kr/4d0e9043e81f47ed5b24b83c16b610c7_tn.jpg']
46,5,"['찰순대（내장포함）', '꽁지김밥（3개）', '참이슬 후레쉬 병']",순대 특히 좋아해요 여기~ 일주일어 두번이상은 꼭 먹음!,[]
47,5,"['중평떡볶이', '찰순대（내장포함）', '닭꼬치', '스프라이트 500ml', '참이슬 후레쉬 병']",늘 그렇듯~전 한 곳 꽂힘 거기에만 시킴,[]
48,5,"['찰순대（내장포함）', '부산오뎅（3꼬치）', '꽁지김밥（3개）']",그냥 말 필요없이 주말이믄 주문하는 곳!,[]
49,4,"['중평떡볶이', '000원 추가)', '왕새우튀김（4개）', '꼬마스팸김밥（6개）']",맛있게 잘 먹었습니다아아 배달오신분이 친절하셔서 좋았어영,[]
50,4,"['중평떡볶이', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '부산오뎅（3꼬치）']",양도 많고 맛있었어요~~~,[]
51,5,"['중평떡볶이', '찰순대（내장포함）', '꼬마스팸김밥（6개）']",중평떡볶이 멋있어요,[]
52,3,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '부산오뎅（3꼬치）']",잘 먹었습니다...,[]
53,4,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '꼬마스팸김밥（6개）']",먹을만 했어요 중평떢볶이는 매콤해서 좋은듯,[]
54,5,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '부산오뎅（3꼬치）']",배달도빠르고맛잇어요,[]
55,4,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)']",맛나요 후추맛떡볶이 오랜만에 먹어서 맛나게 잘먹어요,[]
56,4,"['찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '왕새우튀김（4개）', '부산오뎅（3꼬치）']",배달 엄청 빨라서 놀랏고 맛잇네요,[]
57,4,"['중평떡볶이', '000원 추가)', '찰순대']",생각보다 괜찮았어요,[]
58,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)', '꼬마스팸김밥（6개）']",굿,[]
59,4,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '수제토스트', '닭꼬치']",맜잇게 잘 먹었어요 많이 파세요,[]
60,5,"['중평떡볶이', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)', '쫄면', '쿨피스 930ml']",역시 밤에는 중평떡볶이였습니다. 잘 먹었습니다!,[]
61,4,"['중평떡볶이', '000원 추가)', '찰순대', '부산오뎅（3꼬치）', '쿨피스 930ml']",배달은 빠르고 늘 땡길때 주문하는데요.생각보다 순대양이 많아서 깜놀~~~덕분에 순대는 원없이 먹었네요사업 번창하세요.사장님~,[]
62,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)', '수제고기만두（8개）']",모든게 맘에들어용 또시킬께요,[]
63,5,"['중평떡볶이', '수제튀김（6개）', '000원 추가)', '꼬마스팸김밥（6개）']",굿,[]
64,4,"['중평떡볶이', '000원 추가)', '찰순대（내장포함）', '수제튀김（6개）', '000원 추가)']",떡볶이 국물은 맛있는데 떡이 맛이 덜하네요.불어서 그런건지 원래 그런떡인건지^^;;;그것빼곤 다 맛있게 먹었습니다~ㅎ,[]
