,별점,주문메뉴,리뷰,사진
0,5,"['구운삼겹 1인분（200g）', '구운삼겹 1인분（200g）']",생각보다 훨씬 괜찮아서 놀랬어요....맛이쪙....ㅜㅠ집에서 삼겹살을 냄새없이 먹을 수 있다는것 만으로 별 다섯개!!!,[]
1,4,[],양이 적은 듯요. 맛은 괜찮아요,[]
2,5,[],된장찌개도 칼칼하니 아주 맛있네요. 혼자먹기엔 양이 많은 편입니다.,[]
3,5,[],진정한 1인식였다~모든것이 완벽했다,['https://rev-static.yogiyo.co.kr/e5c11cdbe2c7498801aa32b2fcdb57c3_tn.jpg']
4,5,[],첨글쓰는데ㅋ ㅋ ㅋ이집대박입니다양 품질 배달시간 다맘에듭니다ㅋ,[]
5,5,[],이 집 맛나게 잘해주네요. 또 시켜먹으렵니다.,[]
6,5,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '물냉면']",고기랑 냉면 굿! 아주 좋은 조합,[]
7,5,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '파무침추가)']",아주 좋은 한끼였습니다,[]
8,5,['구운삼겹 2인분（420g）'],핵존맛핵존맛핵존맛핵,[]
9,4,"['구운삼겹 2인분（420g）', '짜글이찌개']",짜글이 찌개가 진짜 맛있어요!!,[]
10,4,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '비빔냉면']",맛있게  잘 먹었다   괜찮은뎀,[]
11,5,['구운목살 2인분（440g）'],항상 맛있게 먹고있습니다,[]
12,5,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '비빔냉면']",요청사항 많다고 전화주셨잖아요? 쌈무랑 야채일절. 파절이 빼달라는게 그렇게 많은건가 싶다가 미리 배달 준비해놓으신 상태면 번거롭겠다 싶었습니다.  아무쪼록 요청대로 해주셔서 기분좋게 받았습니당. 맛있게 먹었어욤 냉면은 물냉이고 비냉이고 다 맛있네요!!,[]
13,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],올 퍼펙트~~향과 맛 퍼펙트~~~된장찌개는 소유하고 싶은 정도의 맛~~,[]
14,5,"['구운목살 2인분（440g）', '비빔냉면', '공기밥 ']",맛있어요 추천~~~~,[]
15,5,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '비빔냉면']",너무 맛있게 잘먹었습니다.삼겹살이 꼭 바베큐같아요. 향도 좋고 고기가 부드러워서 먹기도편했어요찌개랑 파저리도맛있었네요.고기가 조금더 따뜻하면 좋았겠지만 배달의한계니 그부분은 어쩔수없죠ㅎㅎ다음에 또 시켜먹을게요,['https://rev-static.yogiyo.co.kr/684bc5716361b4a366deab996f2549d8_tn.jpg']
16,5,"['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）', '볶음김치 추가)', '비빔냉면']",고기를 배달? 혹시나해서 시켜봤는데..정말맛있네요..대만족!! 까다로운 남편도 맛있다고 하네요~~사장님..비가 억수같이 온다고..배달 늦어진다고 미리 전화도주시고 너무 찬절하시네요~~~~,[]
17,3,"['구운삼겹 2인분（420g）', '공기밥 ']",혼밥하시는분들 정말강추 ~~~~,[]
18,5,"['구운삼겹 2인분（420g）', '공기밥)']",배달도 빠르고 맛있었어요,[]
19,4,['구운삼겹 2인분（420g）'],맛도 좋고 집에 냄새안서 좋네요,[]
20,5,"['구운삼겹 2인분（420g）', '물냉면']",오 물냉면 완전 맛있네요!! 냉면만 따로 시켜서 먹고 싶을정도ㅎㅎㅎ 고기도 물론 맛있엇어요!,['https://rev-static.yogiyo.co.kr/338a842bd6d23f1769fa935bb85ae8ef_tn.jpg']
21,5,['구운삼겹 2인분（420g）'],배달도 빨리오고 맛있어용😄😄 감사합니다ㅎ,['https://rev-static.yogiyo.co.kr/52cf46d9d252125233cfd67d87721935_tn.jpg']
22,5,"['구운삼겹 2인분（420g）', '물냉면']",첫배달이라 소량만 시켜먹었어요~아이들이 고깃집가서 먹는것보다 맛있고 편하다며 다음에는 많이 시키자고하네요^^잘먹었습니다,[]
23,5,"['구운삼겹 2인분', '물냉면']",맛있게 잘먹었습니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/8cc19944ffacd38bdfb370ee8896f151_tn.jpg']
24,5,"['구운삼겹 2인분', '공기밥 ']",석쇠불고기는 약간 식었었는데 삼겹살은 따뜻하고 부드럽고 맛있었어요~ 반찬도 양 많고 좋아여,[]
25,4,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],고기가 부드러워요 먹을만함,[]
26,5,"['구운삼겹 2인분', '파무침추가)', '물냉면']",생각보다 너무 괜찮았습니다 아기땜에 삼겹살 먹으러 나가기 힘들었는데 맛도 괜찮고 좋아요,[]
27,5,"['구운삼겹 2인분', '공기밥 ']",짱맛!!!무슨말이 더  필요한가요!!ㅎㅎ,[]
28,5,"['구운삼겹 2인분', '공기밥 ']",너무 맛있어요 ㅋㅋㅋ계속생각나서 오늘 또시킬려구요 ㅎㅎ,[]
29,5,"['구운삼겹 2인분', '파무침추가)', '짜글이찌개']",구워서온 삼겹살에 대해 반신반의 했지만 기대이상으로 좋았습니다아이때문에 삼겹살집에 가기 어려웠는데요앞으로도 시켜먹을것 같습니다 사진은 못 찍었지만 맛있습니다,[]
30,3,"['구운삼겹 2인분', '물냉면']",고기가 식어서 와서 좀 아쉽네요~ 그래도 깔끔하게 먹을 수 있어서 좋아요~,[]
31,5,"['구운삼겹 2인분', '공기밥 ']",Gooooooooooood,[]
32,2,['구운삼겹 3인분 '],고기가텁텁해서거의다버렸어요,[]
33,5,"['구운삼겹 2인분', '공기밥 ']",고기맛있어요 밑반찬으로온 김치도 맛있네요!,[]
34,4,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],깔끔하고 맛있었어요!,[]
35,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],맛있습니당~고기도 냄새없고 기름싹빠져있구요~ 쌈들도 깔끔하고~,[]
36,5,['구운삼겹 2인분'],대박 배터져요 폐막식보면서 잘먹었어요~~~ 포장뜯을때부터 냄새죽이는데 맛도 좋아요~~~~ 굿굿,['https://rev-static.yogiyo.co.kr/3786411a45b214aefc5f2467b03c2226_tn.jpg']
37,2,['구운목살 2인분'],양이 너무적길래... 베이킹할 때 쓰는 저울로 재봤습니다... ㅎㅎ 전단지에 1인분에 200그램이라고 적혀있는데  2인분 시켰으니 400그램이고 기름이 아무리 빠져도 이렇게 그램수가 차이날수있나요...? 더군다나 목살인데요... 설마 야채 그램수가 포함된건가요?...아무튼 늦은 시간이였고 맛은 나쁘지 않았지만 저는 배달료 내면서까지 또 시킬것같진않네요..,['https://rev-static.yogiyo.co.kr/01bf437ff6357e5561291c0db6a9165e_tn.jpg']
38,5,"['구운삼겹 3인분 ', '옛날석쇠불고기 2인분', '파무침추', '볶음김치 추', '마늘＋고추 추가)', '공기밥 ']",배달료 추가된게 좀 아쉽지만 맛있게 잘먹었습니다,[]
39,4,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],혼자먹기 좋은 메뉴가 있어서 넘좋음,[]
40,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],아주 맛있어여 굿굿,[]
41,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],맛있습니다 배달도 빠르고 좋네요 ㅎㅎ,[]
42,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],가성비갑 쵝오!! 짱,[]
43,5,"['구운삼겹 2인분', '물냉면']",두번째 시켜먹는데 여전히 괜찮네요 다만 삼겹살 잘라주실때 너무 작은 조각들로 잘라주신것들도 많아서 그건 저희한텐 조금 별로였어요 그래도 맛은 좋슴니다,[]
44,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],혼삼겹하기 좋은곳!,[]
45,5,['나홀로 냉면세트 1번 （삼겹살300g＋물냉／비냉 택1）'],물냉세트를 시켰는데 나홀로세트가  그래서 전화했더니물냉 가져다 주시고 기존거도 다드시라고 얘기해주시네요너무 친절하셔서 제가 죄송했다는..ㅎ사장님 잘먹겠습니다  감사합니다 자주시킬게요 ㅎ,['https://rev-static.yogiyo.co.kr/8e2fd33f877ca329915cc7b097181b46_tn.jpg']
46,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],가성비 맛 모두 갑갑 짱짱,[]
47,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],말이 필요없능 가게 ㅎㅎ,[]
48,5,['나홀로세트（구운삼겹300g＋된장찌개＋공기밥）'],맛나맛나 칭찬해~~,[]
49,4,['2인세트 （삼겹 2인 400g＋김치찌개＋공기밥2개）'],맛잇엇어요! 다만 찌개는 조미료가 들어갓는지 물리더라구요,[]
