,별점,주문메뉴,리뷰,사진
0,2,['지코바 뼈 양념치킨'],"기분 나빠서 리뷰씁니다. 항상 전화주문하다가 처음으로 배달앱 썼는데요. 아니 쿠폰좀 썼다고 퀄리티가 이렇게 됩니까? 양념 너무 하잖아요. 처음 딱 열었을때는 양념이 너무 안발려있고 삐쩍말라있는데 그런가보다 하고 양념찍어먹으면 되겠지 했는데 찍어먹을 양념도 부족하네요. 밥도 비벼먹으려고 생각했는데 밥은 커녕 치킨도 다 못먹겠습니다. 양념 많이달라고 주문시 요청에 적었는데, 많이는 아니여도 정량은 주셔야 하는거 아닌가요? 배달비도 3000원이면 무슨 택배도 아니고 어이가 없네요. 배달앱에 쿠폰쓰면 퀄리티 떨어진다고 반드시 명시바랍니다.","['https://rev-static.yogiyo.co.kr/ca93ed935c54ba4f4b7fb53b733378e2_tn.jpg', 'https://rev-static.yogiyo.co.kr/65c0be88e863bc5b4c08e3bac023e3a4_tn.jpg']"
1,5,['지코바 순살 양념치킨'],맛있어요! 배달도 40분? 정도 걸렸고요.매운맛 시켰는데 많이 안매워서 먹을 만 해요. 원래 매운거 못먹는데 이건 먹을만하네요~처음엔 뭔가 양념이 부족한 느낌이었는데양념 소스가 맨 밑으로 다 흘러서 뒤적거리고 적셔서 먹어야 해요.둘이 먹기에 양은 적당한데 떡 추가했음 더 좋았을 거 같아요ㅋㅋ 떡도 많은데 뭔가 양이 딱 1프로 부족한 느낌이라~맛있게 잘먹었어요다음에 또 시켜먹고 싶어요,['https://rev-static.yogiyo.co.kr/6db83ceb498c878976fb889466cce61b_tn.jpg']
2,5,"['지코바 순살 양념치킨', '추가 메뉴(떡 추가)']",언제나 맛있어요 ^^,[]
3,5,"['지코바 순살 양념치킨', '추가 메뉴(떡 추가)']",존맛탱입니다. 최애치킨 지콬,"['https://rev-static.yogiyo.co.kr/8f26147b37095e01f8d8106963d86daf_tn.jpg', 'https://rev-static.yogiyo.co.kr/371cd29bfc8ec59a8f096ab22d3fa183_tn.jpg']"
4,3,"['지코바 순살 양념치킨', '추가 메뉴(떡 추가)']",오랜만에 시켜먹었습니다40분 걸린다고 알림 왔는데 생각보다 더 빨리 왔습니다맛은 보통맛에 떡추가했습니다양은 어른 두명 먹었는데 모자라지는 않았습니다염지를 안한다고 적혀있는데 그것때문인지는 모르겠지만처음 입에 넣으면 맛이 강한데 점점 밍밍? 그런맛이 느꺼지네여그때쯤 밥이랑 먹어야되나봅니다,[]
5,5,"['지코바 순살 양념치킨', '추가 메뉴(떡 추가)']",따뜻한 공기밥이랑 먹기 좋아요,[]
6,5,"['지코바 순살 양념치킨', '추가 메뉴(떡 추가)']",빠르게 배달오고 좋아요,[]
7,4,['지코바 순살 양념치킨'],배달은 50분정도 걸렸어요.맛은 항상 맛있는데 둘이 먹기에 한마리는 확실히 적긴 하네요ㅠㅠㅠ오늘은 소스가 좀 부족했어요.ㅜ치밥하기에 애매한...? 사진 첨부합니당지난 번보다 양이 약간 모자란 느낌도 들긴 했어요.그래도 맛있어서 치킨은 여기만 시켜먹게 되네요.1인1닭 하기에 좋은 양입니다ㅋㅋ,"['https://rev-static.yogiyo.co.kr/3c5c3df6dbaf091708d063bcd588b2ed_tn.jpg', 'https://rev-static.yogiyo.co.kr/b4db12994e01c8bf01e5bc62bc357baf_tn.jpg']"
8,4,"['지코바 순살 양념치킨', '추가 메뉴(떡 추', '콜라 1.25L로 변경)']",예전보다 약간 아쉬웠습니다.ㅠㅠ 그래도맛은있습니다.,[]
9,5,['지코바 순살 양념치킨'],맛있어요.배달료 좀 낮춰주세요,['https://rev-static.yogiyo.co.kr/64a5104a4b1ae5a01f6da984d9bc0b41_tn.jpg']
10,5,['지코바 순살 양념치킨'],순살2.0에 배달료까지 2.2라는 흉악한 가격. 그러나 그만큼 맛도 있다 로또되면 주 4회 시킬거임,[]
11,5,"['지코바 순살 양념치킨', '추가 메뉴(콜라 1.25L로 변경)']",다음에는 매운맛도 시켜먹어야 겠어요^^,[]
12,5,"['지코바 순살 양념치킨', '지코바 순살 소금구이치킨']",역시 지코바 정말 맜잇네요,[]
