,별점,주문메뉴,리뷰,사진
0,4,"['건강／미용 한방삼계탕', '죽 한방삼계탕']",맛은 좋은데 먹다보니 티백이 왜 나왔는지?,['https://rev-static.yogiyo.co.kr/44b88c7bd3da14a261634d86d0a0c016_tn.jpg']
1,4,[],맛있어요~ 다음엔 비닐 자르는 칼 좀 넣어주세요,[]
2,5,['건강／미용 한방삼계탕'],배송도 빠르고 맛있습니다,[]
3,4,['들깨 한방삼계탕'],들깨삼계탕 맛있어요제가 죽은 잘 안먹는데 진짜 맛있어서 국물까지 다 먹었어요담에 또 먹머야겠어요 완전 강추요,['https://rev-static.yogiyo.co.kr/0911372273402f0d744aa1bbe8956719_tn.jpg']
4,5,"['건강／미용 한방삼계탕', '녹두 한방삼계탕']",배달도 짱빠르고 맛도 있어요~~,[]
5,5,['건강／미용 한방삼계탕'],한약냄새많이안나서좋아요맛있어요,[]
6,5,"['옻 한방삼계탕', '들깨 한방삼계탕', '공기밥']",맛 있게  잘 먹었습니다,[]
7,4,['건강／미용 한방삼계탕'],복날에 시켜먹었는데 맛도 좋고 아이들도 잘먹었어요그런데 티백은 빼고 주시는게 좋을거같아요,[]
8,3,['건강／미용 한방삼계탕'],맛있지도 없지도 않은 일반적인 삼계탕.,[]
9,4,['죽 한방삼계탕'],맛있게 든든하게 먹었습니다,['https://rev-static.yogiyo.co.kr/43f9638ee1ed5021c738f50f7d995850_tn.jpg']
10,5,"['건강／미용 한방삼계탕', '헛개 한방삼계탕', '공기밥', '콜라 355mL', '사이다 355mL']",닭안에 참쌀도있공한방시키니깐 한약냄새나고김치도맛있었어여,[]
11,5,"['죽 한방삼계탕', '콜라 355mL']",목감기걸려서 시켰는데 목이 시원해지고 양도푸짐해서 좋았습니다 사장님 잘먹었습니다,[]
12,5,['들깨 한방삼계탕'],역시 맛있어요그전보다는 좀 덜 맛있지만 그건 내사정이고요담에 또 시킬께요~번창하세요,[]
13,5,['건강／미용 한방삼계탕'],잘먹엇습니다 수고하세요~주소오류 잇어서 좀늦게받앗어요.배달하시는분 말씀이 왠 주유소로 찍혀잇다던데..담에 또 그럴까봐 겁나네요ㅠㅠ,[]
14,2,['얼큰 한방삼계탕'],맛은 괜찮은데 양이 작아진것 같네요고기는 별로없고 뼈만있네요  그리고 티백은  제거해주시고 보내주시면 좋겠네요,[]
15,5,['죽 한방삼계탕'],맛있어요!!! 또 먹을거에유!!,[]
16,5,['건강／미용 한방삼계탕'],"맛나여,,,,,,,",[]
17,5,"['건강／미용 한방삼계탕', '죽 한방삼계탕']",삼계탕도 배달되니 추운날 넘 좋아요. 김치도 많이 주시고 지호삼계탕 맛은 두말할 나위없이👍,['https://rev-static.yogiyo.co.kr/08db2fe12d8280bff2efe101ddb37a54_tn.jpg']
18,5,['총명 한방삼계탕'],건강한맛~!잘먹었습니다!,[]
19,3,['건강／미용 한방삼계탕'],빠른배송 많은양 맛있게 잘 먹었습니다^^,[]
20,5,['죽 한방삼계탕'],감기 걸려서 죽 시켰는데 양이 생각보다 많네요,[]
21,5,"['건강／미용 한방삼계탕', '죽 한방삼계탕']",매장에서 먹는 맛 그대로였어요! 생각보다 죽 양이 엄청 많아서 놀랐네요ㅎㅎ 삼계탕은 걸죽한 국물이라 배때지 찰밥이랑 먹기 넘 좋았습니다,[]
22,1,['건강／미용 한방삼계탕'],주소오류가 벌써두번째인데 늘 한시간넘게 기다리는건 둘째치고 사장님께서 어떻게 입력하셧는지 배달기사님통해서 다보고 확인까지 햇는데 너무 감정적으로 짜증을 내시네요.문제해결에 중점을 두시는게아니라 본인은 맞게 등록햇다고 하시는데 배달대행업체에 입력하신건 구주소가 아닌신주소로 입력되어서 매번 다른곳으로 갓던거같네요.통화녹취 배달기사님께서 하셧으니 나중에 들어보세요.사장님께서 나이가 좀 잇으신지 들으려고 안하시고 짜증만 내시는데 그러면 서로 대화가 되겟어요?계단에서 스피커폰으로 통화해서 온동네방네 사장님 짜증이 쩌렁쩌렁 울렷네요..,[]
23,4,['건강／미용 한방삼계탕'],매장에서 먹는 것처럼 배달이 빠르고 좋네요,[]
24,4,['들깨 한방삼계탕'],양 많구 맛있어요~ 쫌만 더 뜨거웠으면 좋겠어요~,[]
25,5,['건강／미용 한방삼계탕'],먹고나니 속이 든든했어요 감사합니다닭 사이즈는 다소 작은편이에요,[]
26,5,"['건강／미용 한방삼계탕', '죽 한방삼계탕']",감사합니다 좋아요 굳굳,[]
27,5,['건강／미용 한방삼계탕'],아이가 좋아해요~전에 항상 애 데리고 가서 먹으려면 주차해야하고 번거로웠는데 집에서 받아먹으니 좋네요 : ),[]
28,4,[],좋습니다. 감사합니다,[]
29,5,"['건강／미용 한방삼계탕', '죽 한방삼계탕']",아파서소화가안되고 영양도 부실해서 회복도안되었는데 맛있게 정말 잘먹었습니다. 예전 단골이었던 여기가 배달되니너무 좋습니다. 자주 먹을거같아요..^^,[]
30,5,['건강／미용 한방삼계탕'],맛있게 먹었어요! 속이 진짜 편해졌어요 감사합니다~~,[]
31,4,['건강／미용 한방삼계탕'],몸보신하고싶어서 시켰는데 잘 먹었습니다.배달도 빠르고 김치도 맛있었어요,[]
32,5,['건강／미용 한방삼계탕'],따뜻하고 맛있었어요!,[]
33,5,['건강／미용 한방삼계탕'],배달은 좀 늦어도 양이 은근 많아서 좋네요.,[]
34,5,['건강／미용 한방삼계탕'],닭이 작다 맛은 보장,[]
35,5,['건강／미용 한방삼계탕'],몸살나서 배달시켜봤는데 뜨끈하게 한그릇먹고 땀냈더니 아픈것도 잊었네요 감사히 잘먹었습니다 ^^,[]
36,5,['죽 한방삼계탕'],따뜻하게 잘먹었습니다!,[]
37,4,['건강／미용 한방삼계탕'],삼계탕 진쨔 맛있어여,[]
38,5,['들깨 한방삼계탕'],역시 삼계탕은 들깨삼계탕이 맛있어요근데 안에 찹쌀이 잘 안풀어져요  먹을때마나 느끼지만 닭안을 좀더 깨끗하게 손질해주시면 좋겠어요 오늘도 잘 먹었습니다,[]
39,5,['죽 한방삼계탕'],배달 빠르고 양 많고 맛있어요,[]
40,4,['건강／미용 한방삼계탕'],솔직히 후기보구 시켰는데 맛은 잘모르겠어요ㅜ약초때문인지 약간 시큼한맛이 나서 전화해서 물어보니 시큼하지않다구하시는데 신랑이랑 둘이 아무리 국물을 먹어도 시큼해서 혹시나 날이 더워 그런가싶어 다시 요청했는데도 맛이 덜하긴한데 산미가 있는(?) 걸죽한 삼계탕이었어요~ 40년인생 처음먹어본 삼계탕맛이요~ 그거 빼고는 살도 연하고 안에 찹쌀도 제법맛이 들어있었네요맛은 개인취향이니 호불호가 있겠지만 일반적인 삼계탕맛은 아니에요~,[]
41,4,['건강／미용 한방삼계탕'],잘먹었습니다  맛나네요,[]
42,5,['옻 한방삼계탕'],"맛있어요.배달도 빠르고특히,국물이 아주 진해서 좋네요",[]
43,4,['들깨 한방삼계탕'],으음...처음 먹어보는뎅.... 맛도갠찮고 양은 쪼금 아쉽ㅋㅋ,[]
44,5,['건강／미용 한방삼계탕'],배달진짜빨리와서 깜짝놀랐네요 맛도있습니다,[]
45,5,['건강／미용 한방삼계탕'],77ㅓ억 ㅇ ㅇ ㅇ ㅇ,['https://rev-static.yogiyo.co.kr/ad452ff55c85cb39c48b78a6d6b926c3_tn.jpg']
46,4,['죽 한방삼계탕'],아주 좋았어요. 병원에도 배달이되고,[]
47,5,['죽 한방삼계탕'],죽이 되게 맛있었어요~,[]
48,5,['들깨 한방삼계탕'],항상 들깨삼계탕 먹고있어요 국물도 진하고 너무 맛있어요 나중에 매장에도 가봐야겠어요!!,[]
49,4,['죽 한방삼계탕'],몸이 안좋났는데 먹고 괜찮아진 느낌이요닭뼈가 있어서 좀 거슬리긴 해지만 맛있었어요,"['https://rev-static.yogiyo.co.kr/20766104038f8a09c548d1e8935b8785_tn.jpg', 'https://rev-static.yogiyo.co.kr/5b0c1eab73f321bb61e3d9ab1ad4fcaa_tn.jpg']"
50,4,['건강／미용 한방삼계탕'],그냥저냥 삼계탕 먹고싶어서 주문함,[]
51,5,['건강／미용 한방삼계탕'],국물이 진하고 좋았어요. 닭은 가슴살까지 부드럽고 속에 밥도 많이 들어있어요. 맛있게 먹었습니다.,[]
52,5,"['얼큰 한방삼계탕', '콜라 355mL']",기운없어 아프다가 이거먹고 기운냈네요^^얼큰으로 시켰는데 하나도 안얼큰했지만 맛있게 먹었네요,[]
