,별점,주문메뉴,리뷰,사진
0,5,['암게（3kg 기준）'],양도 푸짐하고 맛도 훌륭합니다~다음에 또 시켜먹을게요~,['https://rev-static.yogiyo.co.kr/41d7cde5c6301f239e07319606543ed2_tn.jpg']
1,5,['암게（3kg 기준）'],밥도둑이란이런걸까요....간장완벽하고살도아주실하게차있어요ㅠㅠ사장님도아주아주친절하셔서자주시켜먹을거같아요감사합니다😁,"['https://rev-static.yogiyo.co.kr/4b6f0dc94c75c86120a884db87c5dd6a_tn.jpg', 'https://rev-static.yogiyo.co.kr/926bd354e9207a2415f931955d567186_tn.jpg', 'https://rev-static.yogiyo.co.kr/cd9118c50f1e3e23d9cc5c9cee6bb55d_tn.jpg']"
2,5,['암게（3kg 기준）'],양 진짜 너무 많아요 게가 좀 작은것이 아쉽지만 맛있어요! 두마리만 먹고 좀 더 숙성해서 먹으면 좋다고 하셔서 냉장고에 고이 넣어뒀어요! 멕시코산 게라는데 게가 좀 더 컸음 좋았을텐데 그거빼곤 만족이에여ㅎㅎㅎ번창하세요,"['https://rev-static.yogiyo.co.kr/c860ac7f72521f5ee6c3aff6426eaf77_tn.jpg', 'https://rev-static.yogiyo.co.kr/c6522896810d285ea154e110f9fc2e0c_tn.jpg']"
3,5,['암게（3kg 기준）'],처음 주문해봤는데 진짜 대박 맛있어요사장님 3일후먹으면 더맛있게먹을수있다고 하시는데 ㅋ 못참고 먹었어요양도 맛도 배달도 진짜 대박입다,['https://rev-static.yogiyo.co.kr/ec359cafdd22d64a0960df332f10936f_tn.jpg']
4,4,['암게（3kg 기준）'],양도많고 간장도 너무짜지않고 맛있습니다 그런데 수입게다보니  조금 신경이 쓰였습니다 손이잘 안갔어요..중간 크기인데도 알찬것도 있고 게 상태는 좋았습니다 양념 간장은 정 말 맛있었어요 제입에는...차라리 돌게장 였으면 했습니다 수고하세요 잘먹었습니다,[]
5,5,['암게（3kg 기준）'],배달도 진짜 빠르고 정말 맛있어요! 무엇보다 양이 많아서 더 좋은 것 같아요ㅎㅎ 앞으로도 자주 시켜먹을 거 같아요,['https://rev-static.yogiyo.co.kr/8c70616e9031587cc87700ddc5e49b02_tn.jpg']
6,5,['암게（3kg 기준）'],배달엄청빨리오셨구요 간장맛만보았는데 맛있어요,['https://rev-static.yogiyo.co.kr/ce66874b3ad896899a7f1e1ea5efd6c5_tn.jpg']
7,5,['암게（3kg 기준）'],게는 좀 작은데 양은 엄청많아요!! 저는 알러지가있어서 간장맛조차 못봤지만 냄새는 좋았고 안에 살도 다 차있어요! 남자친구는 적당히짜고 맛있다고 했고 동생도 두개 까서 밥 뚝딱 비웠어요 ㅋㅋ 어머니께서 입맛이 진짜 까다로우신데 드시고 음 괜찮네? 라고 하셨습니다 ㅋㅋ제 주변에서 다들 사간다고 난리에요 다음엔 숫게 사보려구요~~,"['https://rev-static.yogiyo.co.kr/a7d9092ba4587398ad4fc1f68c5a5490_tn.jpg', 'https://rev-static.yogiyo.co.kr/56c75eea3aacf6898f9e41ef886b4f11_tn.jpg']"
8,5,['숫게（3kg 기준）'],너무너무 맛있어요 대한민국에서 최고에 맛인거  같아요 무조건 단골 될것갔아요 진짜진짜 존맛탱최고에맛 진구네 간장게장 ^^진구네 간장게장 아자아자 화이팅이맛에 한번 빠지면 끈을수없는맛 ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/3f9576547a4110f413b063da50ae26f7_tn.jpg']
9,5,['암게（3kg 기준）'],맛있어요 또 시켜 먹을게요!,[]
10,5,['암게（3kg 기준）'],"간장게장을 너무너무 좋아하는 초기 임산부입니당~❤️싱싱하지 못하면 탈날까 한참 먹지 못했었는데 요몇일 엄청 땡겼거덩요... 요기요에서 검색하던 찰나 간장게장배달이 딱!!! 리뷰 믿고 시켰는데...!가격도 너무 좋고, 양도 어마어마하고, 거기에 맛까지! 짜면 많이 먹을 수가 없는데 짜지도 않고 살도 꽉차서 정말 맛나게 먹었답니다! 덕분에 게장힐링했어요ㅋㅋㅋ 또 시키겠습니다~~~ 계속 싱싱하게 부탁드릴게요!","['https://rev-static.yogiyo.co.kr/5cb113b01a6d2ad7add57dc4896f8310_tn.jpg', 'https://rev-static.yogiyo.co.kr/1570c7cbb7dbac1bba5cc41c1dd33ca1_tn.jpg']"
11,5,['암게（3kg 기준）'],배달이 너무빨라서 놀랐구요.아저씨도 엄청친절 하셨어요..맛도 맛있어서 맛나게 잘먹었 습니다...,['https://rev-static.yogiyo.co.kr/92de4ffac18c03b6843403d8ba03e31b_tn.jpg']
12,5,['암게（3kg 기준）'],알이 꽉 차 있어요,[]
13,5,['암게（3kg 기준）'],알도꽉차고 너무마싯어요 배달해주신분도 너무 친절하셧구요 10마리정도 됫엇습니다 가격대비 짱 또시켜먹을게요 ~~!!,"['https://rev-static.yogiyo.co.kr/5ccef15f6cec5db80fee2d2d7d5ce6b2_tn.jpg', 'https://rev-static.yogiyo.co.kr/4c3588b4a90736d5c98fb759ef7b3e6a_tn.jpg']"
14,5,['암게（3kg 기준）'],너무맜있어요 👍👍👍 배달도엄청친절하게잘해주셔서좋아요 이거다먹고 또시켜야겠어요 진짜너무맛있어요 👍👍보통비린내쎈집도있는데 비린내안나고너무고소해요,['https://rev-static.yogiyo.co.kr/8bd977a283d8833cdc52207043f80e32_tn.jpg']
15,5,['암게（3kg 기준）'],늦은 시간인데 배달도 빨리해주시고 너무 감사해요~사장님도 너무 친절하시네욤bb오자마자 먹었는데 맛있어요양도 푸짐하네요사장님 추천대로 나머지는 이틀 후에 먹겠습니다!,"['https://rev-static.yogiyo.co.kr/3b3f2b72b88c82968fff9b8827d29de2_tn.jpg', 'https://rev-static.yogiyo.co.kr/a482fa598216e3d4aec6c15a662f7306_tn.jpg', 'https://rev-static.yogiyo.co.kr/c9e21004850a7cbaba1e8e31b2f175b1_tn.jpg']"
