,별점,주문메뉴,리뷰,사진
0,5,[],너무 맛있게 잘 먹었습니다 파절임도 좋고 구운마늘과 구운 김치까지 너무 맛있네요,[]
1,5,"['구운삼겹살（2인분）', '공기밥']",맛있어요.,[]
2,2,[],아..   쌈장은 최소 한명먹을 양은 주셔야죠밑에 쬐끄만큼깔리게 주믄 우찌다묵습니까고기다남기네,[]
3,2,"['구운삼겹살（2인분）', '된장찌개', '스프라이트 1.5L']",지금 몇번을 시켜먹었는데 오늘은 주인이 바뀐것인지 된장국맛도 변하고 소스는 쥐꼬리만큼 주고 절임무와 김치볶음도 아예주지를 마시던지 이게 뭔가요.ㅈ단골이면 단골대우좀 해주세요일주일에 3번시켜먹으면 단골아닌가요?오늘은 너무실망스럽습니다.,[]
4,3,[],"고기의 구운정도는 아주 맘에 드네요.근데 상추랑 무쌈이....상추는 검은게 무르고 상하고,무쌈은 테두리가 색이 변한것이 ...오로지 고기만 괜찮네요ㅠㅠ",[]
5,1,[],문자좀 그만 보내죠?,[]
6,5,"['구운삼겹살（2인분）', '된장찌개']",삼겹살을 구워서 배달해준다고해서 걱정했었는데 진짜 너무너무너무 맛있었어요 ㅋㅋ 야채도푸짐하고 파채도 맛있고 마늘도 맛있었답니다 종종 시켜먹을게용!!!,[]
7,5,[],생각보다 의외로 괜찮네요~야채도 고기도 푸짐하구  맛도괜찮고삽겹살배달이라 큰기대는 안하고있었는데따끈따끈한 고기를 느끼는순간ㅎㅎ너무맘에드네요 수고하세요~^^,['https://rev-static.yogiyo.co.kr/dd4e2b40a46637d98f4a3f097ef60d9b_tn.jpg']
8,4,"['구운삼겹살（2인분）', '공기밥', '된장찌개']",혼자사는사람이 원룸에서 삼겹살 구울려면 냄새랑 기름이 사방에 튀어서 삼겹살 먹기 쉽지 않은데 구어서 집에까지 와서 너무좋았고맛도 있어요야채도 싱싱하고 특히 볶음김치 맛있어요 볶음김치 양이 좀적어서 그렇지 맛있어요파채도 좋았고. 하지만 아쉬운점은 밥이 먼가 푸석푸석하고 무쌈 별루좋아하지는 않지만 먼가 색깔이 오래돼보이는 싱싱해보이지가 않앟어요전반적으로 저는  삼겹살 집에서먹고싶을때 자주 이용할것같아요,"['https://rev-static.yogiyo.co.kr/007326cb007503f865ccb76bc36bd7c5_tn.jpg', 'https://rev-static.yogiyo.co.kr/0b417f9e53407f22a04832a6ab19ec1b_tn.jpg']"
9,4,"['구운삼겹살（2인분）', '공기밥', '된장찌개', '콜라 1.25L']",쏘쏘,[]
