,별점,주문메뉴,리뷰,사진
0,3,['과일등심탕수육 '],첨 먹어봤어요.. 보통이에요,[]
1,5,"['짜장면', '짬짜면', '가족셋트（과일탕수육＋볶음밥＋짜장＋짬뽕＋만두）']",회사원들 인정맛집!,[]
2,5,"['삼선간짜장', '잡채밥', '잡탕밥', '육개장']",굿~~~~~~~~~,['https://rev-static.yogiyo.co.kr/e2f68d06b372429b0cd9d4d3adafaa91_tn.jpg']
3,4,['0 SET（과일등심탕수육＋짜장）'],깔끔하고 맛있어요 가격도 좋아요,[]
4,5,['2 SET（과일등심탕수육＋짜장＋짬뽕）'],추천합니다탕수육이 좋았어요,[]
5,4,['가족셋트（과일탕수육＋볶음밥＋짜장＋짬뽕＋만두）'],짬뽕은 깔끔합니다. 볶음밥은 저희애들이 잘안먹네요,[]
6,5,"['짬뽕', '볶음밥']",짜짜루 맛있어요!! 해산물 베이스 짬뽕국물 좋아요!! 진한 고기국물베이스 잘 못먹는 친구있는데 완전 찬양하며 먹는 짬뽕집이에요!! 저도 짜장소스 좋아해요!! 또먹을게요!!,[]
7,4,['입안의 행복（탕수육＋짬뽕）'],빠르게왔고 맛도있었어요 다만 좀 식어있어서 아쉬웠습니다,[]
8,5,"['짜장면', '2 SET（과일등심탕수육＋짜장＋짬뽕）']",맛있고👍친절하시네요👍,[]
9,2,"['짬뽕밥', '만원의행복（탕수육＋쟁반짜장1人）']",짬뽕 싱겁고.. 쟁반짜장 탄맛좀 나고탕수육 5덩어리... 실화인가햇음... 괜한 모험을 한것같음.. 모험실패,[]
10,4,['2 SET（과일등심탕수육＋짜장＋짬뽕）'],짜짜루 해물 짬뽕 베이스 시원한 국물,[]
11,5,['입안의 행복（탕수육＋짬뽕）'],맛있는데 짬뽕양이 다른점포 보다 조금 작음듯요~가까운곳에 시켜서 일까요~너무 맛있게 잘 먹었습니다짬뽕 맛있어요~,[]
