,별점,주문메뉴,리뷰,사진
0,4,[],"ㅡ맛나요 ㅡ매움(하)로 했는데도 맵긴해요 ㅡ조금 저렴했으면 하는 바람도있어요[292짬떡-부에난떡볶이]고객님, 맛있게 드셨다니 다행이네요~ 저희 짬떡은 좋은 재료로 항상 고객님께 보답하겠습니다. 좋은 주말 보내세요. 감사합니다.",[]
1,5,[],너무 친절하시고 맛도 좋습니다.[292짬떡-부에난떡볶이]고객님 감사합니다. 잘하는 짬떡이 되겠습니다.,[]
2,4,"['부에난 떡볶이 中（떡30개＋자연치즈＋삼진어묵8개＋비엔나소시지4개）', '토핑 추가(메추리알 추가)', '통살치킨 中']",첨시켜먹었는데 통살치킨도맛나고 떡볶이도 맛있었어요~^^ 둘이 먹긴 작은걸로시켜서 양이 좀 적었답니다 대식가라그런가..[292짬떡-부에난떡볶이]통살치킨과 떡볶이를 맛있게 드셨다니 저도 기분이 좋습니다. 항상 좋은 식재료로 정성껏 만들어서 보답하겠습니다. 감사합니다.,[]
3,5,[],떡볶이 매운맛 하 살짝 매워서 먹기 편하고요.맛있고 양도 많아서 3인이 먹었네요.튀김. 주먹밥 3개씩 나오는데 다 맛나요. 통살치킨 더 잘 먹네요.[292짬떡-부에난떡볶이]맛있게 드셨다니 저도 기분이 좋습니다. 항상 잘하는 짬떡이 되겠습니다.,[]
4,4,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(통살치킨 小', '튀김 선택2(통살오징어튀김', '사이드메뉴 선택(주먹김밥)']","주문할때 숟가락 3개도 같이 달라고 했는데.. 없으면 안주셔도 괜찮은데.. 사다 주셨더라구요~ 서비스 짱!매운맛 중.으로 시켰는데.. 제법 맵네요ㅋㅋ 저희신랑 지금 딸먹을 우유 흡입중ㅋㅋ 맛있고, 양도 세사람 먹기 충분해요. 단, 쿨피스가 넘 조금이라 아쉬워서 별 4개~[292짬떡-부에난떡볶이]고객님 기억납니다. 수저가 없어서 제가 편의점에서 사서 가져다 드렸죠~ 맛있게 드셨다니 다행이네요. 항상 맛있는 음식으로 보답하겠습니다.",[]
5,5,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(통살치킨 小', '튀김 선택2(새우고로케', '사이드메뉴 선택(주먹김밥)']",배달하시는 분이 엄청 친절하시네요.매운 걸 못 먹어서 순한맛 시켰는데 맛있어요.사이드 중에 통살치킨이 특히 맛있네요.양은 여자 3명이서 먹음 딱맞을 것 같아요.나중에 또 시켜먹을려구요.[292짬떡-부에난떡볶이]저희 짬떡에 친절을 느끼셨다니 감사합니다. 통살치킨 맛있죠 저도 가끔 통살치킨 먹습니다^^ 항상 저희 짬떡을 사랑해주셔서 감사드립니다.,"['https://rev-static.yogiyo.co.kr/bc87ba03aa5794b2bd6742d3368d4f02_tn.jpg', 'https://rev-static.yogiyo.co.kr/73a71ed70abc9ef42e0bbbe64f3a9eea_tn.jpg', 'https://rev-static.yogiyo.co.kr/bfb9dcd171f2da297d7569515cbee9c9_tn.jpg']"
6,5,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(새우고로케', '튀김 선택2(군만두（모듬）', '사이드메뉴 선택(주먹김밥)']",배달해주시는 분 너무 친절하시고 음식이 다 맛잇어서 감동햇어요 ㅎㅎㅎ 근데 모짜렐라치즈있는 세트 시켰는데 깜박하셨아봐요ㅠㅠ 슬퍼여... ..[292짬떡-부에난떡볶이]고객님 너무 죄송합니다. 정신이 없어서 치즈를 깜빡 했네요.. 다음주문시 요청하시면 치즈 2배 및 음료수 서비스로 드리겠습니다. 맛있게 드셨다니 저도 감동했습니다. 항상 건강하세요~,[]
7,5,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(고기속깻잎 튀김', '튀김 선택2(왕새우 튀김', '사이드메뉴 선택(주먹김밥)']","요기 맛나요~평소 시켜먹던 곳이 자주 영업을 안하고 양도 너무 많아 한 번 시켜봤는데 양도 딱, 맛도 딱~!엄청 친절하시구 떡볶이 안좋아라 하는 신랑도 인정인정ㅎㅎ[292짬떡-부에난떡볶이]맛있게 드셨다니 감사합니다. 항상 맛있는 떡볶이 속에 친절을 담아 고객님께 보답 하겠습니다. 고객님께 인정받는 짬떡이 되겠습니다. 감사합니다.",['https://rev-static.yogiyo.co.kr/de5e5eb42bedb7a480addd0b981d774d_tn.jpg']
8,5,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(고기속깻잎 튀김', '튀김 선택2(왕새우 튀김', '사이드메뉴 선택(주먹김밥)']",사장님이 너무 친절하세요 떡볶이도 맛있구요 메추리알 같은 재료도 딱 먹어보면 대충한거 같지 않고 정성들인 느낌이 들어서 좋았습니다 그리고 사이드 튀김이 정말 놀랐는데요 튀김은 정말 기대안했는데 기름도 깨끗한것 같고 깻잎튀김은 정말 엄마가 해주는 맛이여서 너무 좋았어요 번창하세요 *^^*[292짬떡-부에난떡볶이]좋은 식재료를 느끼셨다니 대단하시네요~ 저희 짬떡은 HACCP 인증 제품만 사용합니다. 항상 고객에 건강을 생각하며 제 가족이 먹는다는 생각으로 만들고 있습니다. 항상 좋은 재료와 정성을 다해 보답하겠습니다. 항상 좋은일만 가득하세요~^^,[]
9,5,"['부에난 떡볶이 中（떡30개＋자연치즈＋삼진어묵8개＋비엔나소시지4개）', '토핑 추가(떡 추', '모짜렐라치즈 추가)', '고기속깻잎 튀김']",맛있어요!!치즈완전굳!!,[]
10,5,"['부에난 떡볶이 中（떡30개＋자연치즈＋삼진어묵8개＋비엔나소시지4개）', '토핑 추가(모짜렐라치즈 추', '메추리알 추가)', '튀김 모듬세트A （군만두＋통살오징어＋김말이）', '군만두 6개 （고기or갈비or불닭or모듬）', '왕새우 튀김', '모짜렐라치즈', '햄추가', '쿨피스 930mL']","맛, 가격, 서비스, 친절도 모두 최고임!수원 영통에서 최고라 장담함!!다필요없고 시켜보셈 !",[]
11,2,[],"오뎅으로 주문했는데 떡만 잔뜩 들었고 오뎅은 10조각도 안들었네요.떡 안먹는데 거의 다 버렸습니다. 엽기떡볶이 모방브랜드 오떡 영통떡볶이등 다 먹어봤지만 역시 엽떡에 많이 못미치네요.영통 엽떡 타 지점 대비해서 심하게 양이 적어서 다른곳에 시켜봤지만 다음부터는 그냥 엽떡 먹으렵니다.[292짬떡-부에난떡볶이]고객님 진심으로 죄송합니다.주문폭주로인해 고객님 요청 사항을 못 봤습니다 정말 죄송합니다. 전화 주시면 다시 해서 가져다 드리겠습니다 ,앞으론 좀 더 열심히 하는 짬떡이 되겠습니다. 꼭 연락 주세요.",[]
12,5,[],맜있네요^^[292짬떡-부에난떡볶이]맛있게 드셨다니 다행입니다. 항상 좋은 식 재료로 정성을 다하는 대한민국 맛집이 선정한 떡볶이가 되겠습니다. 감사합니다,[]
13,5,[],매콤하니 아주맛있네요[292짬떡-부에난떡볶이]매콤하니 맛있죠 헤헤 감사합니다. 저도 저희 짬떡을 자주 먹는 편이예요 제가 먹어도 정말 맛있습니다. 별 5개 정말 감사드려요 즐거운 하루 되세요^^,[]
14,3,"['흑형 탕수육', '부에난 어묵 中（떡10개＋자연치즈＋삼진어묵20개＋비엔나소시지4개） ', '통살치킨 小']",떡볶이는 먹을만한데....흑형탕수육은 좀 아닌 듯.....ㅠ,[]
15,5,[],영통에서 최고 맛나네요^ㅠ^[292짬떡-부에난떡볶이]고객님 극찬을 해주셔서 감사합니다 영통에서 최고 맛나는 떡볶이가 되도록 노력 하겠습니다. 항상 건강하시고 기분 좋은 일만 가득하세요.,[]
16,5,"['부에난 떡볶이 中（떡30개＋자연치즈＋삼진어묵8개＋비엔나소시지4개）', '토핑 추가(당면사리 추가)', '왕새우 튀김', '주먹김밥']",엄청친절하시구맛있게요^^단골해야겠어요!![292짬떡-부에난떡볶이]이렇게 친절하게 리뷰까지 달아주시고 너무 감사드립니다. 헤헤 저희 가게의 단골이 되신 걸 진심으로 축하 드립니다. 항상 가족이먹는다는생각으로 최고의 재료와 정성으로 찾아뵙겠습니다. 좋은 하루 되세요!,[]
17,5,"['모듬세트3 （부에난떡볶이中＋모짜렐라치즈＋메추리알＋튀김선택2＋사이드1＋쿨피스250mL 2개）', '튀김 선택1(통살오징어튀김', '튀김 선택2(통살오징어튀김', '사이드메뉴 선택(순대', '토핑 추가(모짜렐라치즈 추가)']","진짜 맛있어요 사진은 오자마자 그냥 먹어버려서 없어요 ㅜ 통오징어튀김도 짱 맛있고 순대도 진짜 맛있어요 ㅎㅎ 치즈많이 달라고 했는데 정~~말 많이 주셨어요 배달하시는 분이 사장님인듯 싶었는데 완전 친절하세요 양도 많아서 남기고 저녁으로 먹었어용 혹시 리뷰 보시면서 어디 시키지 저울질 하시는 분들!! 그냥여기서 시키세요 ㅎㅎ[292짬떡-부에난떡볶이]순대,통오징어,떡볶이를 진짜맛잇게드셧다니 정말 감사합니다 항상 정성과 친절을 담아 고객님께 찾아뵙는 짬떡이 되겟습니다 항상 건강하세요",[]
18,4,[],잘 먹었습니다^^[292짬떡-부에난떡볶이]감사합니다.또 뵙겠습니다.,[]
19,5,[],떡볶이 튀김 주먹밥 다 맛있어요♥[292짬떡-부에난떡볶이]떡볶이.튀김.주먹밥 모두 맛있게 드셔서 고맙습니다.항상 정상을 다해 조리해서 찾아뵙겠습니다.,[]
20,5,[],배달 아저씨 정말 친절하고 떡볶이랑 주목밥 맛있어요![292짬떡-부에난떡볶이]짬떡의 친절함과 짬떡의 맛있는 맛을 느끼셨다니 제가 감사드립니다.항상 친절하고 맛있는 짬떡이 되겠습니다.,[]
