,별점,주문메뉴,리뷰,사진
0,5,['매운구이삼겹 1인'],"진짜 맛있어용~~ 배달삼겹 진짜 여러 가게에서 시켜봤는데 최고인것같아요!! 일단 쫄면 진짜 맛있어여ㅎㅎ 김치찌개도 맛있고 서비스 주신 계란찜도 맛있어요 ㅠㅠ 쌈야채 진짜 싱싱하고 상태 안좋은거 하나도 없고 많이 들었어요 무쌈,마늘 등 반찬도 따로 추가 안해도 되서 좋아요~ 그리고 고기 ㅎㅎ 처음엔 좀 적나? 싶었는데 먹다보니까 전혀아니고 진짜많아용..배터질뻔 원래 양념 안한 고기를 더 좋아하는데 이번에는 양념으로 주문해봤는데 양념도 맛있어요ㅎㅎ 잘먹었습니다~","['https://rev-static.yogiyo.co.kr/93dc4c35969523785eabacd5e91b72d2_tn.jpg', 'https://rev-static.yogiyo.co.kr/0e4723893e8615446dad07790b8a5d1a_tn.jpg']"
1,5,['구이삼겹 1인'],배달 삼겹살 처음 시켜 먹었는데 너무 맛있었어요! 뭘 추가시켜야 할 지 몰라서 그냥 기본에 음료 추가만 했는데 쌈야채도 많았고 다른 반찬들도 많았어요 ㅎㅎ 김치찌개에 고기도 많이 들어있었습니다 서비스로 온 계란찜도 계란 비율이 높아서 맛있었어요!!배달도 느리지 않았고 하리보 젤리도 잘 먹겠습니다 아 쫄면도 진짜 맛있어요 고기랑 진짜 잘어울려요 다음에 또 시켜 먹을께용,['https://rev-static.yogiyo.co.kr/a446c9fbb6323197603684996706cb11_tn.jpg']
2,5,['간장구이삼겹 2인'],처음 주문했는데 맛있어요~맛이 변하지만 않는다면 재주문하고프네요~특히 쫄면이 제입에 딱이였어요,[]
3,5,['구이삼겹 2인'],Delicious food!,"['https://rev-static.yogiyo.co.kr/caabe70f5238dfb1acd1de6d047a2423_tn.jpg', 'https://rev-static.yogiyo.co.kr/ef9bf55254fd599e16cb6e1500944fe4_tn.jpg']"
4,4,"['구이삼겹 1인', '공기밥']",맛나게 잘먹었습니다,[]
5,5,['구이삼겹 2인'],다른 배달 삼겹살보다 훨씬 맛있어요 추천합니당-!!!생각보다 양도 넉넉하고 김치찌개에도 고기가 들어있어용 다음에 삼겹살 먹고 싶을때 여기서만 시켜먹을게용,['https://rev-static.yogiyo.co.kr/28e35e13cb403ef89542607d8bdf1597_tn.jpg']
6,4,['구이삼겹 2인'],맛있어요. 양도 많고,[]
7,5,['구이삼겹 2인'],쫄면은 왜 이렇게 맛있는건가요?포장 센스터집니다.소비자 니즈 완전 충족이네요!!삼겹살 배달음식점 중에 단연 으뜸이예요.정말 만족스럽습니다.앞으로 삼겹은 무조건 여기서만 먹기로ㅋㅋㅋㅋㅋ하다못해 기본구성으로 같이 오는 김치찌개도 놀랐어요~묵은지가 뭉근하게 퍼지도록 돼지고기랑 푹 끓인 맛인데 신경써서 조리하는 흔적이 곳곳에 드러나는 것 같아 더 좋았구요 성인 여자 2이 쫄면 추가해서 먹었더니 고기가 꽤 남았어요ㅋㅋ쫄면이 어찌나 맛있고 김치찌개도 맛있던지 고기를 신경못쓰는 사태가 벌어졌구요ㅋㅋ양도 충분합니다.흥하세요!!!!,"['https://rev-static.yogiyo.co.kr/b354d47790080d7f1a976d08d38c2ede_tn.jpg', 'https://rev-static.yogiyo.co.kr/5e5f4dc3e5bcb056a5d8b6b61353ebb5_tn.jpg']"
8,4,"['구이삼겹 3인', '곁들임추가(참치마요밥)']",고기는 잡내가 좀 나서 그닥 이었는데 쫄면은 겁나 맛있음여기는 쫄면 맛집,[]
9,5,['구이삼겹 1인'],"평이 좋아서 처음 주문해봤는데 너무 맛있었어요! 반찬 빼달라고 부탁드린것도 다 꼼꼼히 들어주시고 김치찌개와 쫄면, 계란찜 등등 다 정말 맛있었어요. 특히 고기가 야들야들해서 좋았습니다ㅎㅎ 빠른 시일 내에 또 시킬 것 같아요!",['https://rev-static.yogiyo.co.kr/b6bfd4a0e2f1dd6768b458e73b4c51b9_tn.jpg']
