,별점,주문메뉴,리뷰,사진
0,3,['캐리비안고추깐풍기 中'],맛은있었음... 양이많이적음...보통?치킨 한마리가 딱맞는데햇반하나사서같이먹었는데도살짝모자란정도였음...,[]
1,4,[],맛있음,[]
2,5,['간장깐풍기 中'],특식으로 자주 시켜먹는데 완전 맛있어용!,[]
3,4,['오리지날깐풍기 中'],중간맛은 없습니다맵거나 or 달거나2가지 선택이 있을뿐,[]
4,4,['간장깐풍기 中'],처음먹어보는 신선한맛,[]
5,4,['오리지날깐풍기 中'],예전 주소로 오던데 배달시키는 주소 다시보고 확인해서 왔으면 해요 그거 말곤 만족,[]
6,2,['오리지날깐풍기 中'],상품평 믿고 시켰는데 개인적인 입맛으론 별로네요~,[]
7,4,['간장깐풍기 中'],정말 맛있고 왠만한 중국집깐풍기보다나음 다만 섞여 있는 만두가 식감을 망침 다른것을 찾아보거나 빼는게좋을듯,[]
8,4,['오리지날깐풍기 中'],처음 시켜봤는데 맛있게 잘 먹었습니다!!,[]
9,4,['간장깐풍기 中'],맛있게 잘 먹어요 언제나~,[]
10,4,['간장깐풍기 大'],맛있게 잘 먹었습니다,[]
11,5,['오리지날깐풍기 中'],맛있는데 약간 매워요,[]
12,5,['캐리비안고추깐풍기 中'],새벽인데도 맛에 하자없이 배달오는 클라스,[]
13,5,['오리지날깐풍기 中'],맛있어요 깐풍기맛 제대로 나요,[]
14,4,['오리지날깐풍기 中'],늘 찾게됩니다 잘먹었어요!,[]
15,5,['오리지날깐풍기 中'],배달오류가 있었는지 한시간반이나 걸렸지만 맛있었어요 ㅎㅎ,[]
16,2,['오리지날깐풍기 中'],"양념은 맛있는데, 닭인지 기름인지 조금 오래된냄새가.",[]
17,4,['오리지날깐풍기 中'],언제나 잘 먹고있어요~,[]
18,5,['오리지날깐풍기 中'],언제나 둘이서 먹기 딱 좋네요~,[]
19,5,['캐리비안고추깐풍기 中'],중독성강한맛 ㅠㅠ 또먹고싶어요,[]
20,5,['오리지날깐풍기 中'],밥 반찬으로 좋은것같아요~,[]
21,5,['오리지날깐풍기 大'],맛있어요 뜨겁게 배달 잘 왔어요,[]
22,5,['오리지날깐풍기 中'],항상 맛있네요 밥이랑 먹기좋아요,[]
23,5,['간장깐풍기 中'],배달예정시간보다 일찍도착했네요양은 적어보였지만 꽤 많았습니다 ㅎ,['https://rev-static.yogiyo.co.kr/3f4417928fcc562ef841cb1138c04b32_tn.jpg']
24,3,['오리지날깐풍기 中'],이전이랑 맛이 좀 바뀐거같네요..,[]
25,5,['오리지날깐풍기 中'],맛있고 양도 많아서 좋았어요,[]
26,5,['파버무림깐풍기 中'],언제나 땡기는맛 좋아요,[]
27,5,['간장깐풍기 中'],늘 맛있게 잘먹어요 ㅎㅎ,[]
28,4,['오리지날깐풍기 中'],젓가락을 빼놓고 주셨어요 ㅠㅠ,[]
29,4,['오리지날깐풍기 中'],양많고 배달 빨랐어요~ 잘먹었습니다,[]
30,5,['파버무림깐풍기 大'],정말 맛있었습니다!가격이 좀 더 착했더라면  더 좋았을 것 같아요,['https://rev-static.yogiyo.co.kr/6ca340d6d9896f8a0352d70409d33dd2_tn.jpg']
31,5,['오리지날깐풍기 中'],맛있고 양많아서 좋아요 ㅎ,[]
32,1,['오리지날깐풍기 中'],"진짜 하도안오길래 전화드렸는데, 4번해도 전화를 안받길래 집 문 닫은줄알고 내일 환불받아야지 생각하고 다른음식 시키니까 배달오네요. 배달시간 오래걸리는거야 상관없는데, 최소한 40분 1시간 늦으면 전화라도 받아야할거 아닌가요.젓가락은 왜 또 안주시는지 모르겠고요.",[]
33,5,['간장깐풍기 中'],깐풍기 전문점같은 느낌 맛있어요,[]
34,1,['오리지날깐풍기 大'],서비스 최악. 배달 40분걸린다더니 1시간째안와서 전화하니 출발했다는 단골멘트. 내가 음식은 만들어져있는거냐니까 약간 짜증내는 말투로 네~함. 여기까진 이해할만 함. 바쁘면 빼먹을 수도 있지. 20분 후 배달부한테 전화옴. 다른 일 하는 중이라 못받음. 벨 약 20초정도 울림. 그래서 바로 다시 전화했더니 내가 집에 없어서 그냥 돌아가는 중이라함 ㅋㅋ(원룸 입구에 보안장치 있는데 문안열리니까 그냥 내가 없다는 식으로 말함) 자신들 배달은 1시간 가까이 늦는건 괜찮고 내가 20초 늦는건 못기다리는 내로남불 업체임. 최악의 서비스.,[]
35,5,['간장깐풍기 大'],맛있고 양많은데 간장깐풍기는조금 짜네요 ㅎㅎ다른게 조금더 맛있는거같아용,[]
36,5,['오리지날깐풍기 中'],밥반찬으로 좋아요 ㅎㅎ,[]
37,3,['오리지날깐풍기 中'],튀김 껍질이 많긴 하지만 생각보다 양이 많고쫄깃하고 맛있음그런데 염지 때문인지 약간 매움. 그렇게 매운건 아닌데 매운맛이 있음.그래서  빈속에 먹었더니 다음날 하루종일 배탈남..속좀 달래고 남은것 밥이랑 같이 먹으니 다음날 괸찮음..,[]
38,1,['오리지날깐풍기 大'],알고보니 치킨집이었네 ㅋㄲㅋㅋㅋ 어쩐지,[]
