,별점,주문메뉴,리뷰,사진
0,5,[],일욜 저녁시간이라 주문하구 한참 기다릴 각오하고있었는데 시간 맞춰 배달 와 주셨구요~ 양념도 잘 베고 진짜 맛있었습니다~ 아이들이 매운데도 잘 먹네요~~ ㄱㅅㄱㅅ,[]
1,5,[],남자친구하고 놀다가  저녁밥을 못먹어서야식을주문해서 먹었는데~제가 이어플로주문했다고하니까저도 제남자친구도 신기해하면서빠른배달와서 같이 찜닭을 맛있게먹었어요~^^ 다음에 또 이거로 또 주문해서 먹으려고요~,[]
2,5,[],짱맛잇음!!~!~또시켜먹고시퍼요,[]
3,5,[],맛있어요~~~^^,[]
4,3,[],최고,[]
5,4,[],당면이 파스타처럼 넓적한게 신선했어요,[]
6,5,[],맛있게 한끼 먹었네요!!아래 덧글처럼 넙적한 당면 굿♥,[]
7,5,[],매콤허니 맛있었어요,[]
8,5,[],맛있었습니다!,[]
9,1,[],"마늘 진짜 많이 들어가서 마늘향 마늘맛밖에 안남 ㅡㅡ; 떡,당면추가했더니 감자 고구마가 안왔음 ㅋㅋㅋㅋㅋ",[]
10,5,[],순살 찜닭 너무 맛있ㄱㅔ 먹었어요!!밥도 찰지게 맛있어서 한그릇 뚝딱했네요^^추천추천~~,[]
11,2,[],닭고기가 딱 가격만큼이군요,[]
12,4,[],치즈는첨이라좀놀랏어요ㅋ근데은근마싯음ㅋㅋ진짜마싯게머것어요근데양이만이업드라구요ㅠ그게좀아쉬엇어요,[]
13,5,[],맛있어요,[]
14,4,[],맛있게 잘 먹었네요. 양도 충분합니다.,[]
15,4,[],맛은맛있는데 매운맛시켰는데 이렇게매울줄은몰랐네요 다음부터 보통맛으로시켜야겠네요,[]
16,3,[],그냥저냥 적당,[]
17,3,[],매운맛이 후추맛이어서 좀 별로...,[]
18,5,[],맛있게 잘먹었어요~,[]
19,4,[],맛있게먹었어요^^,[]
20,5,[],속전속결 굿굿,[]
21,5,[],맛있음,[]
22,3,[],배송이 50분정도로 오래걸리구요맛은 그냥 매장서 먹는것과는 별로지만아주먹고싶을때는 그냥 먹을만해요,[]
23,5,[],잘 먹었습니다.,[]
24,5,[],순살 보통맛 시켰는데 약간매콤한게 맛나더라구요ㅎㅎ 시간도 정확히 지켜주셔서 잘먹었습니다~~^^,[]
25,5,[],찜닭 정말강추예요~~배달도 빠르고  맛도매콤해서맛나게 먹었어요. 한가지 흠이라면  감자.야채.양이푸짐했으면...^^,[]
26,1,[],배달은 한시간이 기본...바쁠때시키면 바쁘다고 배달안함..맛은 별로..시킨것 제대로 안 가져다줄때도 있음.. 비추,[]
27,5,[],여기서만 찜닭 시켜먹어용ㅋㅋ번창하세용,[]
28,1,[],후회해 바야 내가 고른집인걸...........비추,[]
29,5,[],양도 많고 맛있네요ㅎㅎ,[]
30,5,[],항상 맛있고 양도 많아요~~,[]
31,1,[],주문시 너무 늦네요,[]
