,별점,주문메뉴,리뷰,사진
0,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",맛있게 잘 먹었습니다~예전 테트리스찜닭이랑 같은 맛이네요^^,['https://rev-static.yogiyo.co.kr/306380c55031036c1a2d66ed2292a790_tn.jpg']
1,5,"['빨간찜닭', '메뉴선택(순살', '맛선택(보통맛)', '참이슬후레쉬']",테찜이나 만병통 생각나네요 잘먹었습니다~~,[]
2,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",요청사항 잘 들어주셔서 감사해요.여전히 맛있어요!서비스 구운계란도 잘먹었어요~~,[]
3,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",흥덕에서 유명한 테트리스찜닭이 이름만 바뀐곳이에요.국내산 닭으로 하는 순살은 흔하지 않은데 국내산이라 더 좋아요. 👍 아이랑 으로 하면 고추가루를 주셔서 어른들은 맵게 아이들은 안맵게 먹을수 있답니다. 강추에요~,['https://rev-static.yogiyo.co.kr/c269bc8131e34085aa4cfef3c3e30c5f_tn.jpg']
4,5,"['빨간찜닭', '메뉴선택(순살', '맛선택(보통맛)', '모듬사리', '콜라1.25L교체']",영통와서 먹어본것중에 1~2위를 다투네요!!누가 이길 까요??ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/a74dbcd784bc755612980455c1c80604_tn.jpg']
5,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(보통맛)', '납작만두']",맛있어요. 살짝 매콤한게 입맛도 당기게 만듭니다.,['https://rev-static.yogiyo.co.kr/ca30932716c1cea20d01759bb1e8fbcd_tn.jpg']
6,5,"['빨간찜닭', '메뉴선택(순살', '맛선택(순한맛)', '공기밥']",죤맛탱구리네요~^^완전 맛나요 꼭시켜드세요,"['https://rev-static.yogiyo.co.kr/92d58da9c48d62782554274140273214_tn.jpg', 'https://rev-static.yogiyo.co.kr/bc8d72cd49d18804ff72abec16b59d11_tn.jpg', 'https://rev-static.yogiyo.co.kr/743377008e5f84d39f03422d025ef17b_tn.jpg']"
7,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(순한맛)']",문앞 도착 사진도 보내주셨네요. 기분좋은 배달 감사합니다,['https://rev-static.yogiyo.co.kr/1af46ec6b29e6c15e1529ad78685f2d7_tn.jpg']
8,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/35ee0a382e2c65fe0c83dac3644f5361_tn.jpg']
9,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(아기맛)']",애들이랑같이먹기 너무좋아요^^ 다음에도 시켜먹을께용,['https://rev-static.yogiyo.co.kr/a502108940ee8399aadbe2d08fb23900_tn.jpg']
10,5,"['빨간찜닭', '메뉴선택(순살', '맛선택(순한맛)']",바뀐 상호 찾느라 시간 좀 걸렸네요. 기분탓인지 양은 조금 줄은 느낌인거 같기도..근데 공기밥은 이제 추가주문 사항인가요? 맛은 여전히 맛있고 양도 많은편입니다,['https://rev-static.yogiyo.co.kr/72ba7b9efc7f9e865a2056faa1ec9ff2_tn.jpg']
11,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(순한맛)', '치즈토핑']","클린리뷰 보고 주문한건데 좋은데는 이유가있네요양에 놀라고 밥,무,서비스까지주시고맛도물론, 살도통통한게 정말맛있는 식사였습니다정말푸짐하네요",['https://rev-static.yogiyo.co.kr/99c58554783411e36fdd4d944044c539_tn.jpg']
12,5,"['까만찜닭', '메뉴선택(순살', '맛선택(보통맛)']",상호 바뀐 뒤에는 처음 시켜요여전히 맛도 좋고 서비스도 최고입니당 :)보통맛은 살짝 매콤해서 더 좋았어요!!후식 젤리까지 챙겨주시는 센스~ 감사해요!!오픈이벤트로 주신 맥반석 계란도 참 맛났어요!!다음에 또 시킬께요!!,['https://rev-static.yogiyo.co.kr/921b60226e4b518512f730bd7b4bcf14_tn.jpg']
13,5,"['까만찜닭', '메뉴선택(순살', '맛선택(보통맛)', '모듬사리', '콜라1.25L교체']",맛있어서 좌절 합니다....살은....어떻게 빼야할지...ㅠㅠ,['https://rev-static.yogiyo.co.kr/394406ae6536f5db23dc0b3a0fa1fd2d_tn.jpg']
14,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",정말 맛있습니다!!!,['https://rev-static.yogiyo.co.kr/411d9a4c864a68af3538c0a820703b56_tn.jpg']
15,5,"['까만찜닭', '메뉴선택(순살', '맛선택(보통맛)']",생각보다 양도 많고 맛있네요.,['https://rev-static.yogiyo.co.kr/733781abcac241f26a0a1e5c2198c462_tn.jpg']
16,5,"['까만찜닭', '메뉴선택(순살', '맛선택(보통맛)', '모듬사리', '콜라1.25L교체']",너무 자주 시켜 먹어 리뷰가 몇개 되는듯 하네요;;;;;다 먹어서 예날 사진 투척 ㅎㅎ,['https://rev-static.yogiyo.co.kr/624446fc66f1f30e575b60a21552b184_tn.jpg']
17,5,"['까만찜닭', '메뉴선택(순살', '맛선택(아기맛)']",항상 만족해요!!!!,[]
18,5,"['까만찜닭', '메뉴선택(순살', '맛선택(보통맛)', '공기밥', '치즈토핑']",맛있게 잘먹었습니다.,[]
19,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(보통맛)', '납작만두']",상호가 바뀐지 몰랐네요. 사진도 못찍고 먹어버렸습니다.ㅎㅎ수고하세요!,[]
20,5,"['까만찜닭', '메뉴선택(뼈', '맛선택(보통맛)', '납작당면', '치즈떡']",사장님 서비스까지 잘 받았고찜닭 생각보다 엄청 빨리 도착했어요~보통맛으로 시켰을 때성인이 먹기 살짝 매콤한 맛이라 더 맛있게 먹었습니다~~여기 맛있고 좋아요!!,['https://rev-static.yogiyo.co.kr/a3318bf69929e6fd8b86b160521e619e_tn.jpg']
