,별점,주문메뉴,리뷰,사진
0,5,"['삼겹김치찜', '추가 선택(김치 추', '삼겹 추', '스팸 추가)', '공기밥']",리뷰가 하나도 없어서 도전 이였지만 요청사항도 잘 챙겨주셨고 너무 맛있네요. 꽂혀가지고 연속으로 두번시켜서 무려 4일 동안 저녁 네끼를 먹었어요. 자주 시켜먹을게요~,[]
1,5,"['삼겹김치찜', '공기밥']",맛좋아요 양도좋고 자주먹을거같아여,[]
2,5,"['삼겹콩비지김치찜', '공기밥']",오ㅏ 저 배달로 먹는 김치찜중에서양념이 달지 않은 곳이 없었거든요?하지만 자취하나까 해먹긴 귀찮구 어쩔수없으니늘 그냥 그런대로 만족하며 먹고했는데이젠 이곳에서만 주문하려합니다!!!!!!!!!정말 양 푸짐하고요ㅠㅠㅠㅠㅠㅠ먹느라 정신없어서 사진못찍었는데 진짜매칼하니 진국인 맛 굿굿 김치며 고기며 뭐하나 아쉬운점없이 밥세공기뚝딱했어용심지어 어떻게 반찬까지 담백하고 메인과 어우러지게간이 되있고 완벽한가요ㅠㅠ저희가족들도 소식가인에 다 밥 두공기씩 콩비지 국물에 쓱썩쓱썩 비벼먹었답니다ㅎㅎㅎ지금처럼 이맛 변치말아주세요!!!,[]
3,5,['고등어김치찜'],고등어 김치찜 맛있어요 비린것도 없이 잘먹었어요,['https://rev-static.yogiyo.co.kr/d740bcaf0b6f3480022e43e904cd61ef_tn.jpg']
4,4,"['삼겹김치찜', '추가 선택(김치 추가)']",저번은고등어찜 맛나게먹고 오늘은삼겹찜으로   맛나게먹었어요 반찬도마카로니만챙겨달라요청했는데 ㅎ 요청대로해주셔서좋네요 아쉬운점은  삼겹살중에 냄새나는게 더러있어 먹기좀힘들었어요 ㅠ 김치찜자체는 쵝오입니다,['https://rev-static.yogiyo.co.kr/6a3792dc6f2fd42a47185ad958479866_tn.jpg']
5,4,['참치김치찜'],참치김치찜을 주문했는데 삼겹김치찜이 왔네요.일단 오픈 해서 먹긴 먹는데. 이런일이 ㅜ,"['https://rev-static.yogiyo.co.kr/f4d2caabd407c4d6f673b20bebd5d103_tn.jpg', 'https://rev-static.yogiyo.co.kr/c7c45959240f8c389005a0da88305d8c_tn.jpg']"
6,5,"['삼겹김치찜', '계란찜']",김치찜을 엄청 좋아하는데..간만에 제대로 된 집을 찾은 거 같네요. 삼겹김치찜 소자와 계란찜 주문해서 먹었는데.. 김치찜이 정말 제가 원하는 그맛~! 정말 기쁘네요. 이제 여기서만 시켜야 겠어요. 두명이서 먹기에는 소자가 충분하네요. ㅎ,"['https://rev-static.yogiyo.co.kr/843593e4b5b78de792ac5a6b66698345_tn.jpg', 'https://rev-static.yogiyo.co.kr/f7db55b97dbdb7140a6938b4570e882b_tn.jpg']"
7,5,['삼겹김치찜'],기대 이상이었습니다. 김치찜 생각나면 또 주문할 것 같습니다.,[]
8,5,['고등어김치찜'],양도 많고 엄마가 해주신 맛이네요. 아이도 너무 잘 먹었어요.,[]
9,5,['고등어김치찜'],배달하시는 분도 인사도 너무 공손하게 하시고 친절하시고 평이 좋아 시켰는데 진짜 맛있네요!! 반찬도 딱 먹기 좋은 것들만!! 아무래도 찜이다 보니 조금 짜긴해요ㅠㅠ,['https://rev-static.yogiyo.co.kr/2d88530185150956d6bb2d7d0ee0f877_tn.jpg']
10,5,['삼겹김치찜'],일전에 배민에서도 시켜먹었는데그때 맛은 있는데 고기냄새가 조금 아쉽다고 평을 했었어요이번에 다시 시키면서 고기냄새나면 주문하지 말아야겠다생각하고 시킨건데 왠걸!! 냄새 안나고 맛있게 잘 먹었어요리뷰에 올라온 글 확인하시고 음식개선하는 음식점인가봐요이제 더 자주자주 시켜먹어야겠네요맛있는 삼겹살 김치찜 감사합니다~~,[]
11,3,['고등어김치찜'],그냥저냥 별로였습니다 다음엔 다른메뉴도전,[]
12,4,"['삼겹김치찜', '추가 선택(삼겹 추가)', '공기밥', '사이다 1.25L']",맛있게 잘먹었습니다 ㅎㅎㅎㅎㅎ,[]
13,5,"['삼겹김치찜', '계란찜']",진짜 맛있습니다~,[]
14,5,"['고등어김치찜', '계란찜']",3인식구 먹기 딱 좋습니다.비린내도 없고 김치찜도 너무 맛있어요.,[]
15,5,['스팸김치찜'],두번시켜먹엇눈데..넘나양도많고 맛잌ㅅ어용🤭🤭두번시켜먹으세영❤️,['https://rev-static.yogiyo.co.kr/0042c76219f106eabe7453458bc78afc_tn.jpg']
16,5,"['삼겹김치찜', '추가 선택(삼겹 추가)']",담에시킬땐 공기밥이랑 밑반찬 빼고 고기 조금이라도 더달라 할래요.. 메인음식이 너무 맛있어서 밥으로 배채우기 아까움,['https://rev-static.yogiyo.co.kr/08faaae20146c69cb69d40203f99a04f_tn.jpg']
17,5,"['삼겹김치찜', '추가 선택(수제비 추가)']",배달도 빠르고 양도 많고 맛있게 잘먹었습니다. 단지 추가로 주문한 수제비가 전부다 너무 딱딱해서 아쉬웠지만 그외엔 다 좋았습니다.,[]
18,5,"['삼겹김치찜', '추가 선택(삼겹 추가)', '공기밥']",양도 푸짐하고 맛있어요,[]
