,별점,주문메뉴,리뷰,사진
0,5,"['야채막창볶음1人', '볶음밥2人', '당면사리 추가']",배달 진짜 빠르고 서비스로 음료 2개나ㅠㅠ 깻잎도 많이 주시고 1인분 시켰는데 양 진짜 많아요 맛있게 잘 먹었습니다 사장님 인심 짱이에요 감사합니다,['https://rev-static.yogiyo.co.kr/e2af577319c57e633b49a2c7c3253521_tn.jpg']
1,5,['알곱창볶음2人기준'],50분 걸린다고 했는데 35분만에 왔어요 여전히  맛이 좋네요,['https://rev-static.yogiyo.co.kr/9938fbe58c2402c1593a1cddedbef6e6_tn.jpg']
2,5,"['야채곱창막창볶음2人기준', '쌈 추가']",여기 꼭 드세요 강추합니당  볶음밥 맵지만 맛있어요 당면 좋아하시는 분들은 당면추가하세요 당면추가안하니까 당면양은 적어요 그치만 곱창막창은 많아요순한맛했는데 매콤하니 좋어요 곱창맛집인정,['https://rev-static.yogiyo.co.kr/7edd9f3829719a89d56919b2eb7a6c76_tn.jpg']
3,5,"['야채곱창막창볶음2人기준', '주먹밥', '사이다500mL']",진짜 양많고 따뜻하고 맛있고 ㅠㅠ 배달으로 곱창 막창 대박 .... 감사합니다 잘먹었습니다! 번창하세요^^,['https://rev-static.yogiyo.co.kr/e8fcd4a9af669c3c58fbe6f1872e36a6_tn.jpg']
4,5,"['야채곱창막창볶음2人기준', '볶음밥2人']","맛,양,배달 다 너무 좋았어요!! 맵긴하지만 자꾸 계속 먹게 되네요 지금껏 시켜먹었던 곱창집들 중에서 제일 좋았어요 앞으론 여기에서 시켜먹을 듯..ㅎㅎ 잘 먹었습니당 ~~^^",['https://rev-static.yogiyo.co.kr/c884621b251e1bc66ac0852feaf3c01c_tn.jpg']
5,5,['야채순대곱창볶음1人'],정말 마니 시켜먹어본 곳이지만 맛있어요리뷰이벤트 까지 생겨서 너무좋네요배달해먹어본 음식점 중에서 손꼽을 정도..믿고 먹어보시는거 추천드림,"['https://rev-static.yogiyo.co.kr/354727a419aea2fd710fa00bf15f3eb8_tn.jpg', 'https://rev-static.yogiyo.co.kr/9a35c216d8b75eac17b2b436f2f50b2e_tn.jpg', 'https://rev-static.yogiyo.co.kr/40f22b71dbd4d90bce63de9201667863_tn.jpg']"
6,5,"['알곱창막창2人기준', '참치주먹밥', '당면사리 추가', '순대 추가']",배달도빠르고 맛있습니다,['https://rev-static.yogiyo.co.kr/08b795bb0b66c5fd7714f45177a6abc5_tn.jpg']
7,4,"['야채순대볶음1人', '볶음밥2人']",오메 야채순대곱창인줄 알구 시켰는데 어쩐지 순대만있드라...,[]
8,4,"['야채막창볶음1人', '볶음밥2人', '콜라1.25L']",양도 많고 맛도 매콤해서 맛있었어요~특히 볶음밥이 계속 손이가게 만드는 맛이네요.,['https://rev-static.yogiyo.co.kr/2d63bc1bfed3a032dc8e85646d9762f9_tn.jpg']
9,5,['알막창볶음2人기준'],항상맛나게 먹어요앞으로도 맛있게 부탁드립니다,[]
10,4,"['야채순대곱창볶음1人', '참치주먹밥', '볶음밥2人', '당면사리 추가']",맛 양 다좋지만 배달료 4천원..ㄷㄷ,[]
11,5,['야채곱창볶음1人'],종종 시켜먹는데너무맛있어요🤗,[]
12,5,['모듬2人기준'],맛잇긴 한데 보통맛이 이렇게 매운줄 몰랏어요,[]
13,4,"['야채곱창막창볶음2人기준', '계란찜', '볶음밥2人', '콜라1.25L']",맛도좋고 양도많아서 좋았어요,[]
