,별점,주문메뉴,리뷰,사진
0,5,"['하와이안 L', '토핑 추가 선택(치즈토핑（100g） 추가)']",맛있어요 ~♥(ˆ⌣ˆԅ),[]
1,3,"['클래식 콤비네이션 M', '크러스트 추가 선택(추가 안함)']",걍 그럼 치즈가 넘 적음..,[]
2,5,"['슈프림 뉴욕 L', '음료 추가 선택(코카콜라 1.25L 추가)']",배달도 빠르고 맛도 좋아요,[]
3,5,"['세트A（피자L＋사이드메뉴＋음료L）', '피자 선택(베이컨포테이토', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(스프라이트 1.5L)']",맛있고 깔끔합니다~ 스프라이트 대신 콜라가온게 흠이네용,"['https://rev-static.yogiyo.co.kr/b910f672cd7f97c0d9d3b6dba366f0f9_tn.jpg', 'https://rev-static.yogiyo.co.kr/4b01945c75ba78e694326c08edabb6c8_tn.jpg']"
4,5,"['매콤 불고기 L', '크러스트 추가 선택(추가 안함)']",저는 원래 이런거 안씁니다우선 맛있어요윙도 시켰는데 비린내 안납니다.맛있어요,[]
5,5,"['치즈어랏 M', '올리브（50g） 추가', '소스 추가 선택(수제갈릭렌치（2개） 추', '파마산치즈가루（2개） 추가', '크러스트 추가 선택(치즈크러스트（스트링치즈） 추가)', '크림 알프레도 스파게티', '수제갈릭렌치소스', '파마산치즈가루']",수제 소스 맛있어요,[]
6,5,"['세트A（피자L＋사이드메뉴＋음료L）', '소스 추가 선택(수제갈릭렌치（2개） 추가', '피자 선택(달달한고구마', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L)']",맛있게 잘 먹었습니다~생각지도 못했는데 빼빼로데이라고 빼빼로 챙겨주셨네욤감사합니다 ^=^ 다음에도 이용 할게욤,['https://rev-static.yogiyo.co.kr/51acfadfa28eee9bddb1d7065efa005c_tn.jpg']
7,5,['클래식 콤비네이션 L'],크기 굿.. 음료는(오디에) .. 맛땜에 먹어요~~,[]
8,5,"['세트A（피자L＋사이드메뉴＋음료L）', '피자 선택(클래식 콤비네이션', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L)']",맛있었습니다👍🏻👍🏻👍🏻👍🏻,[]
9,5,['베이컨 포테이토 L'],맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
10,5,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(베이컨포테이토', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL)']",토핑이 실해요.야채랑.버섯도 치즈만 조금더있었음좋겠어요~,[]
11,5,"['매콤 불고기 L', '치즈오븐 스파게티']",매콤하니 취향저격 제대로네요 끝에 체다도 계속땡겨요 맛있게 먹었습니다,[]
12,5,['클래식 콤비네이션 L'],무심코 시킨 피자치고 맛과 양에 놀랫어요!,[]
13,5,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(베이컨포테이토', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL)', '핫소스']",너무 맛있었습니다^^ 다음에 또시킬게요,[]
14,5,['매콤 불고기 M'],왜 사람들이 리뷰를 쓰는지 알게되었네요 정말 너무 맛있어요 생각보다 배달도 빨리오고 토핑이랑 정성이 가득 담긴게 느껴져요 직원도 친절하시고 웬만한 유명브랜드피자 보다 맛있어요 !!! 담에 또 시킬게요,"['https://rev-static.yogiyo.co.kr/156a03134f41178fbd6016b0fd230666_tn.jpg', 'https://rev-static.yogiyo.co.kr/ff150e1e43f1cbc094c8ef0ef360b734_tn.jpg']"
15,3,['클래식 콤비네이션 M'],잘 먹엇습니다ㅎㅎㅎ,[]
16,4,"['채소주의 L', '소스 추가 선택(수제피클（2개） 추', '수제갈릭렌치（2개） 추가)']",맛잇엇어요 굿굿 !!고기가안들어갓는데도 뭔가 알차면서야식으로 부담없는 느낌??ㅋㅋ,[]
17,4,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(클래식 콤비네이션', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL)']",밤12시에갑자기먹고싶어서주문~셋트메뉴먹었는데~~오호~~미스땡피자나피자땡보다도맛있어요~~채소랑햄이집에서한듯한살아있어서감탄~~,['https://rev-static.yogiyo.co.kr/fe7c938fdc1678e0ffea594d39045416_tn.jpg']
18,5,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(언양수제불고기', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL)']",늦은시간이라 단골집말고 여기 시켜봤는데아.. 이집 피자 잘하네 진짜 맛있음,[]
19,5,"['치즈어랏 M', '크러스트 추가 선택(추가 안함)']",맛있오요~~또 먹고싶어요 !!,"['https://rev-static.yogiyo.co.kr/31df9a78b4aa977ec968249e76cfa125_tn.jpg', 'https://rev-static.yogiyo.co.kr/d28308deefafdfcb43b83325a12ed87b_tn.jpg']"
20,5,"['베이컨 포테이토 L', '소스 추가 선택(수제갈릭렌치（1개） 추가', '음료 추가 선택(스프라이트 1.5L 추가)']",맛있구 크고 조아용!두명이서 먹었는데 남았네요,"['https://rev-static.yogiyo.co.kr/a4d700942c133d58a9130f1006a87a3b_tn.jpg', 'https://rev-static.yogiyo.co.kr/336eb59d604bef1289fdbdd594865e3e_tn.jpg', 'https://rev-static.yogiyo.co.kr/cbae26028c6ac239c73cf43c6f0d40e7_tn.jpg']"
21,5,"['세트A（피자L＋사이드메뉴＋음료L）', '피자 선택(베이컨포테이토', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L)']",리뷰 보고 시켰는데 진짜 감동했습니다 토핑 양이 미쳤어요 도우도 엄청 쫄깃하고 고소한 향이 나는데 진짜 빵만 뜯어먹어도 맛있음;;; 같이 주는 흰 소스도 엄청 맛있음 또먹고싶다 진짜.... 영통 피자 투톱임 ㄹㅇ,['https://rev-static.yogiyo.co.kr/1a016b5867bec45066aee5c2ddf39be2_tn.jpg']
22,5,['클래식 콤비네이션 L'],이름만큼이나 착한피자에요!,[]
23,5,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(클래식 콤비네이션', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL)']",맛있어요!! 무엇보다 양이 엄청 많아요. 같이 주신 음료도 잘먹겠습니다,['https://rev-static.yogiyo.co.kr/69f7a164fec5803c4b1cf115db6f61f2_tn.jpg']
24,5,"['매콤 불고기 M', '크러스트 추가 선택(고구마크러스트（고구마무스） 추가)']",아빠랑 같이 먹었는데 너무 좋아하시더라구요 배달이 조금 늦긴했는데 새벽 3시에 배달되고 늦은시간에 배달하려면 늦는게 당연하죠ㅜ 피자만드는 시간도 있는데 이제 아빠랑은 여기만 시켜먹을꺼 같아요! 너무 맛있습니다‼️👍🏻,[]
25,4,"['세트B（피자M＋사이드메뉴＋음료M）', '피자 선택(치즈어랏', '사이드메뉴 선택(크림치즈볼 8p', '음료 선택(코카콜라 500mL)']",맛있게 잘 먹었습니다~,[]
26,5,"['클래식 콤비네이션 L', '음료 추가 선택(코카콜라 1.25L 추가', '사이드메뉴 추가 선택(버팔로윙 5p＋핫봉（다리） 5p 추가)']",맛잇게 잘먹었습니다,[]
27,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(슈프림 뉴욕', '피자 2 크러스트 추가 선택(추가 안함', '음료 추가 선택(코카콜라 1.25L 추가)']",맛있었습니다ㅋ 매번 시키던곳에서만 시키다가 새로 생긴거 같아서 시켜봤어요 잘 먹었습니다ㅋ,['https://rev-static.yogiyo.co.kr/0685674428680cd06e3fe17810a68335_tn.jpg']
28,5,"['클래식 콤비네이션 M', '소스 추가 선택(수제피클（1개） 추가)']",정말 말 그대로 착한피자예요넘 맛있고 토핑도 가득이구요배달도 빠르고 친절해요찍어 먹는 소스도 맛있어요!!,['https://rev-static.yogiyo.co.kr/437b300f1d4e911d457945d18acb16ee_tn.jpg']
29,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(하와이안', '피자 2 크러스트 추가 선택(추가 안함', '음료 추가 선택(스프라이트 1.5L 추가)']",맛있고 양도 괜찮았어요 무엇보다 가격적으로도 합리적이네욥~,[]
30,4,"['세트A（피자L＋사이드메뉴＋음료L）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L', '크러스트 추가(추가 안함)']",맛있고 양도 많아요,[]
31,4,"['클래식 콤비네이션 L', '소스 추가 선택(핫소스（2개） 추', '파마산치즈가루（1개） 추가', '사이드메뉴 추가 선택(버팔로윙 10p 추가)']",토핑이많아서 좋앗어요 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/3fad142288b5d6c70d21fb8f9918b2d0_tn.jpg']
32,5,"['베이컨 체다 M', '소스 추가 선택(수제피클（1개） 추', '수제갈릭렌치（1개） 추가', '음료 추가 선택(코카콜라 1.25L 추가)']",짱맛탱이........... 치즈 왕많음....♡,['https://rev-static.yogiyo.co.kr/776a0490e49fa71c1a41fc9f5c5888b9_tn.jpg']
33,5,"['엄마맘 스테이크（＋트러플 오일） M', '음료 추가 선택(스프라이트 500mL 추가', '사이드메뉴 추가 선택(치즈오븐스파게티 추가)']",좋아요 잘먹었습니다,[]
34,5,"['클래식 콤비네이션 M', '음료 추가 선택(코카콜라 1.25L 추가)']",새벽 2시 30분에 배가 너무~고파서 배달음식 찾다가리뷰가 좋아서 믿고 시켰어요.근데 리뷰보다 더 만족스럽네요. 사진은 먹다 찍은건데먹다가 너무 맛있어서 리뷰쓰려고 찍었습니다.늦은시간까지 배달해주시는것도 그렇고 맛도 가격도완전 혜자입니다. 너무 맛있게 잘먹었어요.특히 저 소스가 일품입니다. 피클도 수제라 대만족입니다.자주 시켜먹을게요!! 감사합니다.,['https://rev-static.yogiyo.co.kr/eefad45a06908544469aaf1988fc1e45_tn.jpg']
35,5,['클래식 콤비네이션 M'],"최애피자 등극이요~^^애기 아파서 밤 새고, 병원 다녀온 뒤 너무 출출해서 시켜봤는데 세상 감동 받았어요~도우도 부드럽고, 치즈도 고소하고^^피클도 맛있어요!! 곁들여서 온 소스는 제 취향 아니었지만 맛있었어요 추천요!!!!",[]
36,5,"['클래식 콤비네이션 M', '소스 추가 선택(수제피클（1개） 추', '수제갈릭렌치（1개） 추가', '음료 추가 선택(코카콜라 1.25L 추가)']",너무 맛있어서 또 주문했어요!ABC초콜릿 몇개 같이보내주셔서 감사해요~~배달은 30분만에 왔는데...핫소스랑 파마산가루가 없네요ㅠㅠ추가로 시킨 소스랑 피클만오고ㅠㅠ핫소스 없는게 너무 아쉽네요,[]
37,5,"['매콤 불고기 M', '토핑 추가 선택(할라피뇨（50g） 추', '페퍼로니（50g） 추가', '소스 추가 선택(수제피클（1개） 추가)']",맛있네요.늦게까지 배달도 가능하구요친구들  모임에 시켜봤는데 다들 반했어요,[]
38,5,"['치즈오븐 스파게티', '훈제치킨']",언제나친절하시고 맛도좋고 배달도 빠릅니다,[]
39,5,['매콤 불고기 L'],여기 피자 너무 맛있어요 자주시켜먹는곳인데맛있고 배달도빨라요,[]
40,5,"['베이컨 포테이토 M', '음료 추가 선택(코카콜라 1.25L 추가)']",일이늦게 끈나새벽에 자주시켜먹음요 언제나 맛잇음,[]
41,5,"['페퍼로니 M', '토핑 추가 선택(치즈토핑（200g） 추가)']",항상시키는데 클린하고 개존맛임,[]
42,5,"['세트A（피자L＋사이드메뉴＋음료L）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(스프라이트 1.5L', '크러스트 추가(추가 안함)']",피자를 정말 좋아하는 제 입장으로는 이곳 피자는 정말 맛있네요. 이곳의 빵과 토핑은 생각 날수밖에 없을것 같네요. 너무 맛있어요!,"['https://rev-static.yogiyo.co.kr/5852cc7e66988aa3a30752078263d655_tn.jpg', 'https://rev-static.yogiyo.co.kr/d800aa5698d2863522f44f90b87483d9_tn.jpg']"
43,5,"['감성타코（양상추＋살사소스 포함）L', '음료 추가 선택(코카콜라 1.25L 추가', '사이드메뉴 추가 선택(훈제치킨 추가)']",피자가 맛있었어요,[]
44,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(클래식 콤비네이션', '피자 2 크러스트 추가 선택(추가 안함', '음료 추가 선택(스프라이트 1.5L 추가)']",양도괜찮고 맛도 괜찮고 무난하게잘먹었습니다~,[]
45,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(슈프림 뉴욕', '피자 2 크러스트 추가 선택(추가 안함', '음료 추가 선택(스프라이트 1.5L 추가)']",토핑이 정말 푸짐한데요. 도우에 깔리는 페이스트가 조금 짭짤한 느낌이 있어요. 가성비는 좋습니다. 한번쯤 드셔보시는것도 나쁘지 않아요,[]
46,5,['클래식 콤비네이션 L'],배달 빠르고 배달원분도 너무너무 친절!뚜껑 여는 순간 헐~ 하고 소리내서 감탄했어요ㅋㅋ 진짜 빼곡한 저 토핑들 ㅋㅋㅋㅋ 가격이 요즘 피자집들 중엔 저렴한 편인듯해서 주문한거였는데 넘 알차고 좋아여 ㅜㅠ소스도 맛있구 피클은 유자?도 같이 있는건가요? 맛있어용!처음 주문이라 그냥 기본 콤비로 주문해봤는데 담엔 딴것도 먹어봐야징😊 맛있게 먹었습니당!,"['https://rev-static.yogiyo.co.kr/c0502aeb74cc0f31936cc1da97c0c468_tn.jpg', 'https://rev-static.yogiyo.co.kr/266deede1c9adc5cac74abcda9adc3e4_tn.jpg']"
47,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(콘치즈', '피자 2 크러스트 추가 선택(추가 안함', '음료 추가 선택(스프라이트 1.5L 추가)']",맛 양 항상 만족하여 자주시켜요 번창하세요~,[]
48,5,"['세트A（피자L＋사이드메뉴＋음료L）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L', '크러스트 추가(추가 안함)']",배송도 빠르고 맛있었어요,[]
49,5,"['순수피자 두판세트 L', '피자 1 크러스트 추가 선택(추가 안함', '피자 선택 2(화이트수제불고기', '피자 2 크러스트 추가 선택(크랜베리 크림치즈 크러스트（크랜베리＋크림치즈） 추가', '음료 추가 선택(코카콜라 1.25L 추가)']",생각보다 맛있습니다.. .,['https://rev-static.yogiyo.co.kr/8a2b0e7f635f53b318e3eac2dd6b1918_tn.jpg']
50,5,"['진수성찬（5가지맛 피자）L', '음료 추가 선택(스프라이트 1.5L 추가)']",먹기 편하고 맛도 좋고 괜찮네요!,['https://rev-static.yogiyo.co.kr/ec18acfbb5c9d377df6e38bbe397f68e_tn.jpg']
51,5,['클래식 콤비네이션 L'],"일단 배달이 예상시간보다 빨리 와서 좋았습니다.리뷰에 토핑 많은거보고 여기서 시켜봤는데, 토핑 추가를 안해도 될정도로 풍부하네요. 피*마루 몬스터보다 토핑이 더 많아요. 싸이즈도 크고, 12조각 내주셔서 먹기 좋았네요.담엔 신메뉴로 시켜 먹을 예정입니다ㅋㅋ",[]
52,5,"['세트A（피자L＋사이드메뉴＋음료L）', '사이드메뉴 선택(버팔로윙 6p', '음료 선택(코카콜라 1.25L', '크러스트 추가(추가 안함)']",맛잇습니다 다시 먹을게요,[]
53,5,"['세트B（피자M＋사이드메뉴＋음료M）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(스프라이트 500mL', '크러스트 추가(추가 안함)']",잘머거씀니다~~~~~~~~,[]
54,5,['콘치즈 L'],맛있었어요 또 주문해먹고 싶은맛,[]
55,5,"['클래식 콤비네이션 L', '치즈오븐 스파게티']",기대이상이제는 차칸피자에서만 시켜 묵겄음다.,['https://rev-static.yogiyo.co.kr/0e2abab4affef7b6026014f3f5f9fd7a_tn.jpg']
56,5,"['정통피자 두판세트 L', '피자 1 크러스트 추가 선택(치즈크러스트（스트링치즈） 추가', '피자1 토핑 추가 선택(치즈토핑（100g） 추가', '피자 선택 2(클래식 콤비네이션', '피자 2 크러스트 추가 선택(고구마크러스트（고구마무스） 추가', '피자2 토핑 추가 선택(스테이크（100g） 추가', '음료 추가 선택(코카콜라 1.25L 추가', '사이드메뉴 추가 선택(치즈오븐스파게티 추가)']",생각보다 빠르고 맛있네요,[]
57,5,"['세트A（피자L＋사이드메뉴＋음료L）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 1.25L', '크러스트 추가(추가 안함)']",맛있게 잘 먹었어요 다른 업체보다 토핑이 좀더 많은거 같아요!,[]
58,5,"['세트B（피자M＋사이드메뉴＋음료M）', '사이드메뉴 선택(핫봉（다리） 5p', '음료 선택(스프라이트 500mL', '크러스트 추가(추가 안함)']",12시 넘어서 야식을 시키려니 원래 먹던 음식점들이 다 닫아서 도전의식으로 시킨 피자인데 맙소사🤭 도우도 너무 쫀득하고 토마토소스랑 갈릭도 특이한데 맛있어요 건강하게 맛있는 맛!!배달해주시는분에 대한 칭찬리뷰보고 친절한게 무슨 상관이람 이라고 생각했었는데 정말 친절하시더라구요 음식 받으면서 기분이 더 좋아져서 그런지 음식맛도 너무 좋고 패키지도 좋고 작은 사이즈를 시켰는데도 너무 배불러서 혼자 다 못먹어서 남겼어요 이제 원픽 피자집이예요 주변에 다 전도할거예요 사장님 번창하시게🤞다들 고민말고 시켜요 진짜,"['https://rev-static.yogiyo.co.kr/96f1dee8a30588b61c24b505a0903187_tn.jpg', 'https://rev-static.yogiyo.co.kr/5b2a845d29f4c5777fcf3b1ae6fdf34a_tn.jpg']"
59,5,['클래식 콤비네이션 M'],배달 빠르고 맛있네요,[]
60,5,['다함께열정피자（4가지맛 피자）L'],"빠른 배달 감사합니다. 지난번의 좋은 기억으로 제일 비싼 피자로 시켜봤는데, 역시나 믿음을 배신하지않네요. 새우가 일반 칵테일새우가 아니네요. 크고 실합니다. 조각마다 새우 한마리 크! 타코피자는 와 맵네요. 매운거 좋아하시는분들께 추천합니다. 크기도 커서 와이프랑 절반뿐이 못먹었네요. 최애피자 등록!",[]
61,5,"['고르곤졸라（꿀 포함） L', '토핑 추가 선택(치즈토핑（100g） 추', '왕새우（8ea） 추가)', '정통피자 두판세트 L', '피자 1 크러스트 추가 선택(치즈크러스트（스트링치즈） 추가', '피자1 토핑 추가 선택(치즈토핑（100g） 추', '저염베이컨（80g） 추가', '피자 선택 2(슈프림 뉴욕', '피자 2 크러스트 추가 선택(크랜베리 크림치즈 크러스트（크랜베리＋크림치즈） 추가', '피자2 토핑 추가 선택(치즈토핑（100g） 추', '왕새우（6ea） 추가', '소스 추가 선택(허니머스터드소스（2개） 추가', '음료 추가 선택(코카콜라 1.25L 추가', '사이드메뉴 추가 선택(치즈오븐스파게티 추가)']",모두 만족 스럽게 잘먹었습니다,[]
62,5,"['채소주의 씬도우 L', '버섯（50g） 추가)']",저 야채피자만 먹는데 근처에서 시킨거 중에 잴 나아요. 도우도 그냥 흰도우가 아니고 흑미도우같아요. 재료도 풍성하게 넣어주시고 맛도 좋아요. 잘먹겠습니다.,['https://rev-static.yogiyo.co.kr/25444baf3218f966e5338d6ec8b6804b_tn.jpg']
63,4,"['세트B（피자M＋사이드메뉴＋음료M）', '사이드메뉴 선택(치즈오븐스파게티', '음료 선택(코카콜라 500mL', '크러스트 추가(추가 안함', '소스 추가 선택(수제갈릭렌치（2개） 추', '핫소스（2개） 추가)']","배달 시간도 예상보다 빨리 도착해서 좋았고,무엇보다 맛이며 양이며 다 너무 만족스러웠네요. 많이 먹는 편이라 m 사이즈가 부족하지 않을까 했는데 배부르고 맛있게 너무 잘 먹었습니다 감사합니다.",[]
