,별점,주문메뉴,리뷰,사진
0,5,[],맛있게 잘먹었습니다.,[]
1,5,['감자탕（中）'],가격 괜찮고..배달 친절하고 양도 많고 맛있네요..,[]
2,5,[],"깔끔하고, 담백하고.. 맛있네요.",[]
3,4,['감자탕（小）'],양이 엄청나네요 소자인데.맛도 괜찮고 다음에 또 주문예정이요 ㅋ,['https://rev-static.yogiyo.co.kr/a12c8c0cc57cc6dcf2cebbb7c4ee6806_tn.jpg']
4,4,[],"맛도 good,배달도 good",[]
5,3,"['뼈다기해장국（특）', '선지해장국（특）']","맛있습니다 그런데 반찬이 깍두기바께없는데 너무 조금 주셨어요 ㅠㅠ 혼자살아서 김치도없는데 담엔 미리 말씀드려야겠어요 !! 깍두기도 맛있네요[착한해장국감자탕-영통점]저희는 국내산 배추와 무 만을 사용합니다. 현재, 물가가 너무 비싸, 많이 드릴수 없는 점 양해 부탁드립니다. 식당에서 드시는 손님들도 맛있다고 리필을 많이해서 늘 부족합니다. 물가가 좀 내리면 많이 드리겠습니다.",[]
6,5,"['감자탕（小）', '공기밥']",양많고 맛있게 먹었습니다~!,[]
7,5,[],뼈해장국 특 양선지해장국 특으로 시켰는데양이 많아서 양선지 하나로 밥 세그릇 뚝딱했네요뼈해장국 재가열 하는 중인데 또 세그릇 먹게 생겼네요해장국 배달주문은 처음이라 어떨까 싶었는데 양 푸짐하고 맛 끝내줍니다 bb,[]
8,5,['감자탕（大）'],배달빠르고 좋아요 대짜시켯는데 김치를 너무조금주시는게 ㅜㅜ 아쉽네요,[]
9,5,['감자탕（小）'],기대안했는데 완전 맛있어용~국물도 깔끔 ~자주 찾을꺼같아요~^^,[]
10,1,"['뼈다귀해장국', '뼈다기해장국（특）', '공기밥']","주말에 일이 너무 바빠서 배달음식을 주문했어요. 밥을 할 시간이 나지 않아.. 그런데 공기밥이 하나가 덜 와서 햇반사다가 먹고 있네요..돈은 환불이 되는 건가요..[착한해장국감자탕-영통점] 이용에 불편 드린점 정말 죄송합니다. 말씀하신 환불 관련하여, 저희 업체로 연락주시면 환불 해드리겠습니다.",[]
11,5,[],"감자탕...맛있어요...며칠새 두번째주문...다들 맛있다고 합니다...다만 깍두기를 너무 조금 주시는게 아닌지...소를 시키든 대를 시키든 같은양의 깍두기..그게 조금 아쉽네요[착한해장국감자탕-영통점]저희는 국내산 배추와 무 만을 사용합니다. 현재, 물가가 너무 비싸, 많이 드릴수 없는 점 양해 부탁드립니다. 식당에서 드시는 손님들도 맛있다고 리필을 많이해서 늘 부족합니다. 물가가 좀 내리면 많이 드리겠습니다.",[]
12,5,[],푸짐하고 맛있었습니다..또 주문할께요~~^^,[]
13,4,[],완전맛있어요~~~~,[]
14,5,[],울집앞에  해장국집이 있음에도 불구하고 계속 여기서만 주문하게 되는...깔끔하고 맛있어요...,[]
15,4,['감자탕（小）'],배달해서 먹는 감자탕이라.. 큰 기대 안했는데 국물도 얼큰하고 맛있게 먹었습니다. 고기살이 좀 적게 느껴지긴 했지만.. 그래도 맛있었습니다.,[]
16,5,['감자탕（小）'],감자탕 소 시켰는데 양도 진짜많이주고 넘맛있어요 앞으로 자주 시켜먹을게요~~번창하세요,[]
17,5,['감자탕（小）'],깍두기도많이주시고감사히두끼나먹었네요^^,[]
18,5,[],맛있어요 양도 푸짐하고 배달도 엄청 빠르게 와서 좋았습니다!,[]
19,4,['감자탕（小）'],양도 많고 맛도 있네요좀 짜긴하지만 시켜먹을만해요,[]
20,5,[],해장국 너무 맛있어요,[]
21,3,"['감자탕（小）', '콜라']",평범해요,[]
22,5,[],맛나요,['https://rev-static.yogiyo.co.kr/c2f0a28c3e8dafcbec5ef95e63c7c345_tn.jpg']
23,5,[],소짜리인데 양짱많아요 진짜ㅋㅋㅋㅋ후덜덜 깻잎많달라고했더니 20장은 넘게 주신거같더라구요 배달오신분이 사장님인가 엄청친절하셧는데 멍멍이때매 음식만 받고 말았었네요ㅠㅠ 암튼 짱짱,"['https://rev-static.yogiyo.co.kr/988f42408e93059935d11884c782e134_tn.jpg', 'https://rev-static.yogiyo.co.kr/0b087aa037885387d851d3bba082c0c7_tn.jpg']"
24,3,[],배달 일찍되고 맛있네요^^,[]
25,5,[],고기 살도 많고 맛있어요,[]
26,2,"['뼈다귀해장국', '콩나물해장국']",친구집에 놀러와서 10인분 시켰는데 반찬이 이게다네요.. 반찬많이달랬는데 너무 부족해요 이건 뼈해장국은 괜찮은거 같은데 콩나물 해장국은 정말 비추예요 그냥 콩나물국이 옵니다,['https://rev-static.yogiyo.co.kr/016589e1a032e7d6a61859d3be2a563e_tn.jpg']
27,4,['감자탕（大）'],김치양이적어서 아쉬운거빼곤 좋아요,[]
28,5,['감자탕（小）'],역쉬 고기 부드럽고 맛납니당~~^^,[]
29,3,[],별맛없어요 국에물도많고... 양은많아요,[]
30,5,"['감자탕（小）', '양선지해장국']","진짜 맛있습니다. 오래 끓일수록 뼈도 뷰드럽고, 위생적이에요",[]
31,5,"['감자탕（小）', '공기밥']",잘먹었습니다 다음에도 또 시키고 싶어요 ㅎ,[]
32,5,"['뼈다기해장국（특）', '공기밥', '콜라']",받자마자 너무 좋아서 사진올려요 :) 영덕동에 주말이나 아침밥배달이 힘든데 9시 약간넘어 주문했는데 한 50분 걸린듯하네요. 양도 많고 반찬은 깍두기가 끝이지만 그래도 푸짐해서 좋네요. 잘먹겠습니다! 번창하세요.,"['https://rev-static.yogiyo.co.kr/c596816326c3a51fca19ce0c89df8a36_tn.jpg', 'https://rev-static.yogiyo.co.kr/200421e76e95dac5bebba9b99fc4aecf_tn.jpg']"
33,5,"['뼈다기해장국（특）', '양선지해장국（특）', '공기밥', '사이다']",솔직한 리뷰 남길게요... 양은 무지하게 넉넉합니다 맛은 있는데 다른 가게처럼 자극적이지 않아서 청양고추 한개 넣었습니다  원래 이런 배달음식 먹으면 배가 살살아픈데 여긴 그런게 없네요. 두번째 시켜먹는데 앞으론 자주 시켜먹을 생각입니다. 배달이 너무 빨리와서 살짝 당황했음...,"['https://rev-static.yogiyo.co.kr/11ca8186eb19b3640e0ea20b7eb75b1a_tn.jpg', 'https://rev-static.yogiyo.co.kr/93d17ca14ea839f274b3205a37b23f87_tn.jpg', 'https://rev-static.yogiyo.co.kr/edbd5401cecb911dc63ac958ebda0129_tn.jpg']"
34,5,"['뼈다기해장국（특）', '콩나물해장국', '양선지해장국（특）']",오늘은 콩나물국을 먹었는데 콩나물국 양이 엄청 많네요 . 집에서 직접해먹는것같은 맛입니다 맛있었어요,"['https://rev-static.yogiyo.co.kr/f1df948491373ccc5c12766c6ce5ae14_tn.jpg', 'https://rev-static.yogiyo.co.kr/735423796b73795c3f785531f489ad98_tn.jpg']"
35,5,"['감자탕（小）', '공기밥']",양 많고 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/eca7393a3ae6b0f2e2acaf765a25f546_tn.jpg', 'https://rev-static.yogiyo.co.kr/017fa3197c050b9584cfd19ac12365f0_tn.jpg']"
36,4,[],맛도 좋고 배달도 빠른편 입니다조미료도 많이 안쓰는듯 합니다다만 우거지가 좀 적은듯 하고 깎두기가 좀 모자라네요!,[]
37,5,"['뼈다귀해장국', '뼈다기해장국（특）', '공기밥']",맛있어용ㅎㅎ 양도푸짐하고 배달도빨라서 넘좋네용,[]
38,3,"['뼈다귀해장국', '양선지해장국（특）']",깍두기가 여전히 야박하네요,[]
39,5,['감자탕（小）'],양많고 맛있어요~~,[]
40,5,[],비쥬얼굿,['https://rev-static.yogiyo.co.kr/7b3ef12a5299b923130a22c5c4301845_tn.jpg']
41,5,"['뼈다귀해장국', '뼈다기해장국（특）', '북어콩나물해장국']",예상 배송 시간만큼 걸려서 딱 왔구요. 반찬이 깍둑이 밖에 없지만 해장국 맛들은 맛있었어요.,[]
42,5,"['뼈다귀해장국', '북어콩나물해장국', '공기밥']",두번째 주문이네요 영덕동인데 첫주문엔 주말아침에도 배달해주시구 오늘도 아주 맛있게 먹었답니다 다른분들 리뷰에서도 깍두기양은 좀적어요^^,[]
