,별점,주문메뉴,리뷰,사진
0,5,['참숯순살양념바베큐'],맛있어요!!!바베큐 치킨무 콜라에 여러가지 더 주셨네요순살바베큐 강추합니다!,['https://rev-static.yogiyo.co.kr/89eaa1f023ac3ace1476969ec5e86823_tn.jpg']
1,5,[],"반반 시켰는데,  바베큐가 촉촉하고 맛있네요.",[]
2,5,['참숯소금바베큐'],동생이 시켜먹고 남은거 하루지나 먹었을때도 맛있길래 다시한번 시켜봤는데 역시 맛있어요!같이 들어있는 탕슉도 맛있구요.전체적으로 깔끔하고 안질려요^^,[]
3,5,[],음~~~매우매우만족합니다맛있어요기름기 쫙빼서 담백하고 떡과함께먹으니 별미구요^^아이들도 잘먹더라구요술안주로도 적당합니다강추입니다~~~^^,[]
4,2,[],그냥 그래요.,[]
5,4,[],그전에도 많이 시켜먹었는데도 어김없이 맛있지만...그전에 한번 콜라 큰걸 갖다달라고했는데 작은걸가져다주셔서...ㅎㅎ,[]
6,4,"['참숯순살양념바베큐', '떡사리 추가(떡사리 추가)']",그냥저냥임.,[]
7,4,"['참숯소금＋양념바베큐', '떡사리 추가(떡사리 추가)']",숯불보다는 전기구이 느낌이 듭니다,[]
8,5,[],완전 맛있습니다.,[]
9,5,[],맛잇어영~.~,[]
10,4,[],전화광고만 되어있어서 요기요포인트를 모을수도 쓸수도 없더군요. 그래서 시킬까말까했는데 영덕동은 주위에 전부 튀긴 치킨만 있고... 바베큐를 먹고싶은제 밥이랑 먹고싶었지만 밥하기도 귀찮고. 해서 리뷰사진보다가 밥이 포함되있더라구요! 정말 특이하게 여긴 탕수육몇점과 밥을 함께줍니다. 거기다가 파채도 양파절임과 서비스로 주시네요. 캔콜라가아니라 500ml 주시고요. 떡포함되어있네요. 이런집이 잘되었으면 좋겠어요. 리뷰남깁니다. 집이 영덕동이라 멀텐데 왜주샸어요 ㅠ.ㅠ♡ 고마움에 댓글남겨요. 자주 시켜먹을게요. 번창하세요.,"['https://rev-static.yogiyo.co.kr/0e559bd0a4f52b51f0fd861b9174613d_tn.jpg', 'https://rev-static.yogiyo.co.kr/340f4dfc4cb655c37694b0b5ecbf2e87_tn.jpg', 'https://rev-static.yogiyo.co.kr/03b3547a5df51c19b86c87ed91087b9a_tn.jpg']"
11,5,['참숯순살양념바베큐'],자주 먹게 되는 참진숯불바베큐. 치밥에 딱입니다.,['https://rev-static.yogiyo.co.kr/ec3283afcdc0a5b7e98009ddc9b21772_tn.jpg']
12,5,[],맛있게 잘 먹었습니다~~~~바베큐 뿐만 아니라 탕수육이랑 밥도 들어있네요ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/06b8464ec12c572065d1ea2d8385000b_tn.jpg']
