,별점,주문메뉴,리뷰,사진
0,5,['（한식스타일）삼겹살 도시락 200g'],여기 단골입니다 고기도시락 업체중 최고에요,[]
1,5,['매운떙초삼겹 도시락 200g'],상당히 먹을만 합니다 매운 땡초에 마요네즈 소스는 어울리네요,[]
2,5,"['삼겹스테이크 도시락 200g', '추가선택(계란후라이 추', '해쉬브라운치즈구이 추가)']",오랜만에 배달시켰네요 잘먹었습니당,['https://rev-static.yogiyo.co.kr/3005e1b86d3397d1bb5b4dc8de8d0400_tn.jpg']
3,5,"['비프찹스테이크（ 150g）&필라프 도시락', '（한식스타일）삼겹살 도시락 200g']",스테이크가 맛있어요,[]
4,5,"['（한식스타일）삼겹살 도시락 200g', '추가선택(공기밥 추가)']","사장님이 언제나 요청사항 꼼꼼히 읽으셔서 다 들어주시고, 심지어 인심넘치는 서비스도 매일매일 시킬때마다 받습니다배민에서 계속 시켜먹었는데 할인쿠폰이 생겨서 바로 시켜보았습니다 감사해요","['https://rev-static.yogiyo.co.kr/db09a2bf4b3ffa3560546d4bc62189fd_tn.jpg', 'https://rev-static.yogiyo.co.kr/34e78775b3ac4ddc68e33cb6fd848cbc_tn.jpg']"
5,5,"['비프찹스테이크（ 150g）&필라프 도시락', '（한식스타일）삼겹살 도시락 200g', '추가선택(해쉬브라운치즈구이 추가', '음료 추가선택(코카콜라 500mL 추가)']","맛있도 깔끔해요~ 같은 고기 도시락인데 스테이크랑 삼겹살이랑 완전 다른 느낌이네요. 삼겹은 한국의 맛, 스테이크는 레스토랑 온 이국적인 맛, 고기는 둘다 부드러워요.",['https://rev-static.yogiyo.co.kr/38eb882b312a2d404f451db1dfb4bc4e_tn.jpg']
6,5,"['비프찹스테이크（ 150g）&필라프 도시락', '스프라이트 500mL']",맛있어서 바로 또 주문,[]
7,5,"['비프찹스테이크（ 150g）&필라프 도시락', '（한식스타일）삼겹살 도시락 200g']",너무 허겁지겁 먹어서 사진을 못 찍었네요ㅠㅠ고기도 부드럽고 너무 맛있었어요~^^대박나세요^^,[]
8,5,"['삼겹스테이크 도시락 200g', '（매콤）상하이 치킨가라아게 도시락']",맛나게 잘 먹었어요. 급하게 먹느라 사진도 못 찍었어요. 잘먹었습니다.,[]
9,4,['갈비맛삼겹 도시락 200g'],좋네요 다름에도 먹을게요 ~~~~~,[]
10,5,['（한식스타일）삼겹살 도시락 200g'],포테이토 고기 다 맛있습니다. 근데 고기100그람 추가해서 총 300그람인데.. 양이좀 적은느낌입니다.. 쌈종류가 없는대신에 다른반찬 및 고기양이 더 많으면 장사가 더 잘될고같습니다.,"['https://rev-static.yogiyo.co.kr/f1733a348f30c26156884f90fa52f372_tn.jpg', 'https://rev-static.yogiyo.co.kr/2ad5e584183cce42944f5f8feda4bdb1_tn.jpg']"
