,별점,주문메뉴,리뷰,사진
0,3,['치폴레양념치킨'],치폴레매워요..그래서 어쩔수없이 먹지못해서 재주문해서먹었는데재주문한건 차가웠어요..아무리 날씨가추워도..미지근한것들까진이해하는데 차가운건..그리고 엉덩이살부분이별로없고 닭가슴살만잔뜩있네요..전에는 참맛있게먹었는데ㅜㅜ연달아두개나시켰는데 좀 씁쓸하네요..,[]
1,4,['세트4（양념치킨＋와락간장＋콜라1.25L）'],양념은 맛있는듯 닭이 조금 작지만,[]
2,5,[],맛있음. 두명이서 먹기에 양적당.,[]
3,5,[],특이한 맛이네요~맛있게 잘 먹겠습니다^^,[]
4,5,['올리고당 양념'],배달도 나쁘지 않았고 맛있어요,[]
5,5,[],배달도 빨리 오고 맛있습니다,[]
6,5,[],맛있어요,[]
7,4,['세트4（양념치킨＋와락간장＋콜라1.25L）'],맛있어요~!,[]
8,4,[],맛있습니다!! 그런데 수원사랑카드는 결제가 안되서 당황했어요,[]
9,3,[],배달이 조금 늦긴 햇지만 맛은 있네요~한시간정도 기다렷어요 ㅠ,[]
10,5,['치폴레양념치킨'],처갓집 치폴레양념 추천이용~~~ 저한테는 아주 매웠지만 맛있게 매워서 일반양념치킨보다 훨씬 낫더라구요~~,[]
11,4,[],처god집,[]
12,3,[],튀김옷이 좀 많아요.,[]
13,1,[],별 한개도 아깝네요우선 배달원이 엄청 예의없구요치킨도 다 식어서오고 양념도 그냥 대충뿌려서 다 묻어있지도않고나무젓가락도 안주네요다신안시켜먹으렵니다ㅡㅡ이렇게장사하다가는 곧 망하겠네요 축하드려요 사장님,['https://rev-static.yogiyo.co.kr/86ee8ec5c2785619636a85f4084b662f_tn.jpg']
14,5,[],옛맛이 느껴지네요,[]
15,5,['치폴레양념치킨'],맛있어요~~~,[]
16,3,['치폴레양념치킨'],약간 맵긴 하지만 맛있어요,[]
17,5,[],역시 처갓집 양념치킨은 짱👍🏻👍🏻 매콤하고 밥이랑 같이 먹기도 정말 맛있었네요 ㅎㅎ요기요에서 할인하는치킨이라 먹어봤는데 싸고 맛있게 잘먹었습니다,[]
18,2,[],그냥그래요 배달 엄청늦어요 1시간걸림,[]
19,4,['반반（후라이드＋양념）'],언제나 너무 맛있고 주문배달도 빨랐어요.,[]
20,3,['와락치킨＋와락라이스'],치밥인가 그거 비추에요 그냥 마요네즈 밥ㅡㅡ,[]
