,별점,주문메뉴,리뷰,사진
0,4,"['세트（프리미엄피자L＋8가지 사이드메뉴 中 1＋콜라1.25L）', '도우 선택(도우 선택안함', '사이드 선택(미트소스스파게티)']",첫주문이네요 피자 맛집이네요 새우가 가득~토핑과 치즈가 많아서 완전 좋아요항상 스파게티시키면 소스가 부족했는데 소스가 풍부해서 맛있게 먹었네요서비스 떡볶이도 매콤하니 너무 맛있었어요,['https://rev-static.yogiyo.co.kr/6f03190352357823c9d6a9c03482dd10_tn.jpg']
1,5,"['치즈스테이크 L （2~3인）', '소스 추가(청년특제갈릭소스)']",맛있어요!! 50~60분걸린다고해서 주문할까말까 고민했는데 빨리왔어요,"['https://rev-static.yogiyo.co.kr/8e2c66956bd6b616b5f2adc09fbdee59_tn.jpg', 'https://rev-static.yogiyo.co.kr/c74318cb8268f66984a607307886b76b_tn.jpg']"
2,5,"['치즈스테이크 L （2~3인）', '소스 추가(청년특제갈릭소스', '음료 추가(콜라 500ml)']",배달이 예상 시간 보다 20분 빨리 왔어요!! 치즈스테이크 피자인데 새우도 올라가 있어서 너무너무 좋았어요. 근데 피자보다 떡볶이가 진짜 맛있네요.. 예전 학교 앞 분식집에서 사먹던 떡볶이 맛이에요.. 피자 끝부분 떡볶이 국물에 찍어먹으면 진짜 맛있어요.. 맛있게 잘 먹었습니다!,"['https://rev-static.yogiyo.co.kr/4500641e8ee744296412d4c70d1d249f_tn.jpg', 'https://rev-static.yogiyo.co.kr/5e5086c6e1a41d99e1872f71dafc6a7d_tn.jpg']"
3,5,"['A. 오리지널 MONEY 세트', '도우 변경(（NEW）스위트큐브（머니세트 ', '000원 할인）', '스파게티 선택(미트소스 스파게티', '닭다리 맛선택(청피 후라이드', '음료 선택(콜라 500ml)']",도대체 부족한게 머니???,['https://rev-static.yogiyo.co.kr/6ade1cc25b867fbbf6e1dd1d5e69c7df_tn.jpg']
4,4,"['치즈스테이크 R （1~2인）', '소스 추가(청년특제갈릭소스)']",어제 시켜먹었는데 오늘 전자레인지에 데워먹어도 어제처럼 똑같이 맛있어요!!!새우도 하나씩 다 있고 치즈도 맛있습니다!,['https://rev-static.yogiyo.co.kr/e7ce4631e43c0228022d0e8c3068abfd_tn.jpg']
5,5,['치즈스테이크 F （4~5인）'],도우가 진짜 일품이에요 진짜맛있어요,['https://rev-static.yogiyo.co.kr/c39025b55571a4db86572234da90b254_tn.jpg']
6,5,"['A. 오리지널 MONEY 세트', '도우 변경(기본', '스파게티 선택(미트소스 스파게티', '닭다리 맛선택(청피 후라이드', '음료 선택(콜라 1.25L)']",배달도 빠르고 아주 맛있어요~,"['https://rev-static.yogiyo.co.kr/3bf7c4baa11e62ec3a88667f5db379e4_tn.jpg', 'https://rev-static.yogiyo.co.kr/76532aaec4374bc16918450f14509765_tn.jpg']"
7,5,"['（HOT）매드쉬림프 R （1~2인）', '소스 추가(청년특제갈릭소스)']",어제 비가 많이 오던 날씨라서 백번 이해하지만 음식이 많이 식어서 아쉬웠습니다ㅠ맛은 정말 좋았습니다~!,[]
8,5,"['C. 오리지널피자＋사이드메뉴（택1）＋콜라1.25L', '도우 변경(기본', '사이드 선택(미트소스 스파게티)']",맛있어요!!! 맛나게 먹었어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/90f6f630fac16b2af595cc07cbb64232_tn.jpg']
9,5,"['A. 오리지널 MONEY 세트', '도우 변경(기본', '스파게티 선택(미트소스 스파게티', '닭다리 맛선택(청피 후라이드', '음료 선택(콜라 500ml)']",그냥 맛있었다... 나중에도 시킬듯,['https://rev-static.yogiyo.co.kr/e8a942ad08c18f71458fab418276498b_tn.jpg']
10,5,['（HOT）고기밭R'],번창하세요~~~^^,[]
11,4,"['와규베스트플래버 L （2~3인）', '사이드 추가(치즈볼 14개)']",제일 자신있는 서비스로 랜덤 요구해서 받았는데 일단 콘치즈였는데.. 아주 솔직하게 말씀드리면.. 매우 짰어요.. 제 입맛에는 안 맞네요. 기름도 많고.. 두번째로 치즈볼은 치즈는 맞는것 같은데 모짜치즈인지 일단 굳어서 튀김옷만 벗겨내서 먹고.. 치즈는 다 분리했네요.. 이것도 제 입맛에는 안 맞는듯.. 마지막으로 피자.. 음.. 그냥 그래요.. 전체적으로 피자를 여러군데에서 시켜 먹는 취향이라 주문해봤는데.. 이 음식점은 제 입맛에 안 맞는다가 결론이여요. 개인취향이니까 각자 의견은 다를것이지만요. 그래도 사업은 번창하시길 바래요.,"['https://rev-static.yogiyo.co.kr/9d59317f6d69a3e183b1ec2afbf517ca_tn.jpg', 'https://rev-static.yogiyo.co.kr/9cd57b240b77dad384fb08c62f1978f9_tn.jpg', 'https://rev-static.yogiyo.co.kr/7f25521181cc3ab590bdb98a5ac64132_tn.jpg']"
12,5,"['반반 프리미엄 L', '（반반）포크페스티발', '도우 변경(기본', '사이드 추가(불고기크림 파스타', '소스 추가(청년특제갈릭소스)']",ㅎㅎ 처음 먹어보는데 맛있습니다!! 풍부한 맛에서 정성이 느껴지는 것 같습니다. 다음에 또 시킬께요~~,"['https://rev-static.yogiyo.co.kr/393e971198292cc7be3ef8bc7665e576_tn.jpg', 'https://rev-static.yogiyo.co.kr/aa3cec308b8d5f2e64ab121e1272cd1c_tn.jpg']"
13,5,"['반반 프리미엄 L', '（반반）미트만수르', '도우 변경(고구마치즈바이트', '사이드 추가(로제베이컨 스파게티', '소스 추가(피', '청년특제갈릭소', '청양마요소스)']",너무맛잇게먹엇어요ㅠㅠ,['https://rev-static.yogiyo.co.kr/826767e1935ca4fb219e77da5f45708d_tn.jpg']
14,5,['불사조쉬림프 L （2~3인）'],가족끼리 다 같이 먹었는데 다 대만족이었어요! 다음에 또 시켜먹을 거에요!,['https://rev-static.yogiyo.co.kr/3ba13e7196528de7db1128c2790f65dd_tn.jpg']
15,5,"['반반 프리미엄 L', '（반반）치즈스테이크', '도우 변경(기본', '토핑 추가(치즈 추가', '음료 추가(콜라 1.25L)']",괜찮네요~ 맛있게 잘 먹었습니다 ㅎ,['https://rev-static.yogiyo.co.kr/8557e90a598454cb5aa637837573b46c_tn.jpg']
16,5,"['A. 프리미엄피자＋사이드메뉴（택1）＋콜라1.25L', '도우 변경(기본', '사이드 선택(로제베이컨 스파게티)']",피자도 맛있구 서비스로 온 떡볶이는 더맛있도라...,['https://rev-static.yogiyo.co.kr/0cad89297a65e035d609a18dd32d3bac_tn.jpg']
