,별점,주문메뉴,리뷰,사진
0,4,"['찰보리 초계냉면', '왕만두']",냉면육수는 새콤하니 괜찮았고요. 면은 살얼음때문인지 땡땡해서 조금 먹기힘들었습니다.  닭고기가 적당히들었는데 같이먹기괜찮았어요.같이온 무김치는 너무적게들었고..왕만두는 피가 두꺼워보이지만 속은맛있네요.,"['https://rev-static.yogiyo.co.kr/1d1e2af38c8f2866ce9955a6311bd13d_tn.jpg', 'https://rev-static.yogiyo.co.kr/763af63e42f103815ec3072bb95bbee6_tn.jpg']"
1,5,['Set2（물냉면＋비빔냉면＋왕만두）'],맛있게 잘먹었습니다~~!,[]
2,4,"['찰보리 초계국수', '왕만두', '콜라1.25L']",초계국수같지않고 냉면같아요ㅠㅠ,[]
3,5,"['찰보리 초계냉면', '왕만두']",맛있게 먹었습니다~양도 만족 맛도 만족,[]
4,5,['찰보리 초계냉면'],맛있게 먹었습니다. 면도 크게 떡지지 않아서 편하게 먹을 수 있었습니다. 다만 배달시간이 조금 길어서 아쉽네요,[]
5,4,['찰보리 비빔냉면'],배달 엄청 빨리해주셨어요~ 살얼음동동 국물이 전혀 녹지않았고요.. 맛은 양념이 좀 많은듯했지만 국물넣어 먹고 냉면옆에 시원하라 넣어주신 얼음 녹을꺼 대비해 양념 더 하신듯합니다..무.. 새콤하니 맛있고요..냉명은 양 많았고요..맛은 배달시켜 먹을만한 정도 되는것같아요..,"['https://rev-static.yogiyo.co.kr/09ff9e769023b9b6634b097173eedc2e_tn.jpg', 'https://rev-static.yogiyo.co.kr/751c87cb3a8992fbcfd201e97054f2c0_tn.jpg', 'https://rev-static.yogiyo.co.kr/e4d7e6d8bf4b83c90d2ecdf7b2da5c35_tn.jpg']"
6,5,"['찰보리 초계냉면', '숯불갈비 찐만두']","초계국수와 만두 주문해서 잘 먹었습니다.면도 쫄깃하고 고기만두는 그닥 좋아하지 안는데, 느끼하지도 않고 맛있게 잘 먹었습니다~^^",[]
7,4,"['찰보리 비빔냉면', '왕만두']",면이 좀 불어서 옴.만두는 월드클래스임,[]
8,4,['Set2（물냉면＋비빔냉면＋왕만두）'],👍🏻👍🏻👍🏻❤️❤️❤️👍🏻👍🏻👍🏻👍🏻,['https://rev-static.yogiyo.co.kr/5cf5a31a62135cba9422c370e4d3369c_tn.jpg']
9,5,['찰보리 비빔냉면'],정말 다좋은데 약간 양념이 쎄네요. 그래도 맛있습니다,[]
10,3,['찰보리 초계냉면'],중국집에서 왔네요 완전 속았네요..달걀은 다 얼어있고..면도 다 붙어있구. .아.. 돈아까워,"['https://rev-static.yogiyo.co.kr/3f655271222806cac91cd2c38c67b8a0_tn.jpg', 'https://rev-static.yogiyo.co.kr/a15c0167ba43e96a4c129e205c4478d5_tn.jpg']"
11,5,['찰보리 비빔냉면'],한그릇 배달해주셔서 감사합니다잘먹었습니다,"['https://rev-static.yogiyo.co.kr/ea4934766a03d109aedf73de969f65e3_tn.jpg', 'https://rev-static.yogiyo.co.kr/116626671b5ab2952fd4c47a7269e629_tn.jpg']"
12,4,['찰보리 초계냉면'],사장님 손이 엄청 크신 듯 나 많이먹는데 어떡게 아시고 많이 주셨는지 감사한 마음에 리뷰남김,[]
13,5,['찰보리 초계냉면'],맛있게잘먹었습니다~,[]
