,별점,주문메뉴,리뷰,사진
0,5,['연어초밥12p'],진짜 맛있습니다!! 자주 시켜 먹을듯요!!,[]
1,5,['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）'],다른곳에서만 시켜보다 처음 시켜봤는디 맛났어요 . 회가 너무 크면 느글거리던데 크지도 작지도 않고 딱 적당하고 서비스로 연어도 한조각씩 넣어주심요~앞으론 이곳으로 정착요~,[]
2,5,"['연어초밥12p', '참치']",맛있게 잘 먹었어요~,['https://rev-static.yogiyo.co.kr/d8f832ef87f41679d7310441e6725e5a_tn.jpg']
3,5,['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）'],배달도 너무 빠르고 맛도 너무 있어서 놀랐어요!사실 주문하고 일이생겨서 주문취소하려고 전화걸었는데 이미 완성되었다해서 받았는데 취소했으면 후회했을정도로 초밥이 상당히 맛있네요ㅎㅎ 특히 활어위에 김치올라간 그 초밥!! 진짜 쩔어요 그게! 그리고 서비스로 올려주신 참치조각들도 감동포인트네요! 빠르고 맛있고 알차고 진짜 잘되셨으면 좋겠습니다! 번창하시길바래요,['https://rev-static.yogiyo.co.kr/6d344e03810abfe47f215dcef4127c9a_tn.jpg']
4,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '어린이초밥 8p（찐새우2＋계란2＋유부2＋베이컨2）', '우동']",배달도 빠른듯하고 맛도 생각했던것보다 맛있어요다음에 또 시켜먹어봐야죠다른 메뉴로ㅋㅋ,['https://rev-static.yogiyo.co.kr/e4f5c6c830b7c3fc97b5ca86625c206f_tn.jpg']
5,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '광어＋소고기 6p＋6p']",초밥집 처음 보는 집이여서 시켜 먹었는데 생각외로 맛있네요 가능한 자주 시켜 먹을 예정 입니다 ㅎㅎ,[]
6,5,['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）'],양도 많고  맛도 생각보다 넘나 맛잇네요 자주 시켜먹을게요!,[]
7,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '계란']",완전맛있네요 회랑 밥 양도 균형있고~ 김치광어??생소해서 젤마지막에 버리긴아까우니..하고 먹었는데 이거 되게맛있네요ㅋㅋ. 락교도많이달라하니 두통씩이나..남아서 담에또먹어도 되겠네요.이제  오와스시안시켜도될듯!감사합니다 번창하세요!,['https://rev-static.yogiyo.co.kr/42eeed06a3d1a27d734adcc74fb43756_tn.jpg']
8,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '특가!생새우6p＋초새우6p', '새우튀김 5p']",맛있어요 이번이 두번째 ㅎㅎ,[]
9,5,['연어초밥12p'],처음먹는데 너무맛있네용,[]
10,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '새우모듬초밥（생새우3＋생새우아부리3＋찐새우2＋간장새우2＋치즈새우2）', '왕새우튀김 1p']",3번째 ㅎㅎ 맛있어요 돈이거덜 날것같아요 ㅎㅎ,[]
11,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）']",주문한 메뉴와 다르게 와서 연락드렸더니금방 다시 만들어서 가져다 주셨어요빠른 대응 고맙습니다~초밥이 실하고 맛있어요근데 소고기초밥은 그냥 그랬어요생선 초밥류가 좋네요^^잘못와서 먹어본 회덮밥도 신선했어요!,[]
12,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '새우모듬초밥（생새우3＋생새우아부리3＋찐새우2＋간장새우2＋치즈새우2）', '치즈새우']",역시 맛있네요 ㅎㅎ돈이 사라지는 마술이랄까?중독 되버렸네요 또 시킬께요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/0a98fc23e9bb5abc8380296e3cfd18aa_tn.jpg']
13,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '특가!초새우 12p', '우동', '사케동']",마시서요ㅎㅎㅎㅎㅎㅎ,[]
14,5,['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）'],원래 리뷰 잘 안쓰는데 정말 맛있네요~!배달예상시간이 60분이라 주말저녁이라 밀렸나보다 하고 있는데 30분도 안걸려서 왔어요~고민하다가 시켜본건데 초밥맛도 너무 좋아요~ 회 크기도 좋구요! 요청사항도 잘 들어주시고 너무 좋아요^^담에 또 시켜먹어야겠어요~,['https://rev-static.yogiyo.co.kr/8c3b17cd92225d1bf2b851a025956cc7_tn.jpg']
15,4,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '특가!생새우6p＋초새우6p']",배달 초밥은 처음이었는데 생각 외로 괜찮았습니다사진은.. 참지 못하고 몇개 먹고 찍어 버렸네요,['https://rev-static.yogiyo.co.kr/cf5c0dd7ada60c5f688c0aaa1741af28_tn.jpg']
16,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '냉소바', '회덮밥']",양도 많고 맛있네요 소바먹고싶어서 다른 메뉴도 시킨건데 다 맛있네요 회덮밥 소스가 좀 부족했어요 활어회초밥이 아주 맛있어요 쫄깃쫄깃하고 나중에 다른  초밥도 시켜먹어 볼게요!,[]
17,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '특가!생새우6p＋초새우6p', '김치광어', '치즈새우', '사이다 355mL']",5번째 배달 ㅎㅎ맛있어요언제나 잘먹고 있습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/077a85557e58c984e66c2f6a6ca0e970_tn.jpg']
18,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '새우모듬초밥（생새우3＋생새우아부리3＋찐새우2＋간장새우2＋치즈새우2）', '어린이초밥 8p（찐새우2＋계란2＋유부2＋베이컨2）', '새우튀김 5p', '타코와사비군함', '갑오징어']",여태 배달초밥중 최고네요~배달대행이라 초밥이 쏠려온것 빼고는 다좋았어요,[]
19,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '왕새우튀김 1p', '타코야끼 5p']",매우 신선하고 맛도 좋고초밥 생선도 큼지막해초밥 생각날 때 굿입니다만족스럽네요,[]
20,5,"['특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）', '회덮밥']",진짜맛있었음~! 최고,[]
21,4,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）', '계란', '연어＋연어알']","그냥 괜찮았습니다. 제가 입이 까탈스러워서 이런소리 나오면 좋은소리 나옵니다. 저는 개인적으로 도시락 바닥에 물기가 거슬렸고 조금 많이 달았습니다. 비율은 회가 쪼금만 더큰게. 그라고, 수원 치고는 회기 좋은편. 소고기 초밥은.음. 많이 크게.그리고 연어알 초밥도.연어알양을 조금 많이. 이 단품은 돈이 조금 아까웠습니다. 감사합니다. 번창하셔요",[]
22,5,['특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）'],질쫗은 초밥을 만나게 되어 좋았습니다.,[]
23,4,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '광어＋소고기 6p＋6p']",맛있어요우우우우우우우우,[]
24,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '우동']",와 진짜 맛있어요양은 사알짝 적었지만 배달빠르고 너무 맛있었어요진짜!!!,['https://rev-static.yogiyo.co.kr/08b37a528b5b13f955405916a4499b20_tn.jpg']
25,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）', '치킨가라아게 5p', '김치광어']",김치광어 너무 맛있어요! 다른 스시도 맛있네요,[]
26,4,"['특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）', '캘리포니아롤 8p']",캘리포니아롤 마요네즈 맛이 좀 ㅜㅜ 초밥은 늘 최고 맛있네요 처음 주문한뒤로 2주동안 3번 시켰네요 근데 배달비 안받으시면 좋겠다는,[]
27,5,"['광어＋소고기 6p＋6p', '연어롤 8p', '특가!생새우6p＋초새우6p']",우리딸과너무맛있게잘먹었습니다,[]
28,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '우동', '타코와사비군함']",ㅋㅋ서비스 감사합니다,"['https://rev-static.yogiyo.co.kr/b40972e910f07943876ad0380de83712_tn.jpg', 'https://rev-static.yogiyo.co.kr/8bdbcbfa9742e48bbac3053901a8ccf6_tn.jpg']"
29,5,['참치초밥 12p'],맛있고 배달고빨라요,[]
30,4,['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）'],맛있습니다 연어 맛있어요,[]
31,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）']",맛도 양도 최고~ 넘나 좋아용,[]
32,3,"['연어초밥12p', '왕새우튀김 1p', '콜라 355mL']",그냥 가격같은 맛 연어가 맛있지 않아요,[]
33,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '김치광어']",맛있어용 활어 초밥이 쫀득하니 마싯더라구용,['https://rev-static.yogiyo.co.kr/b90ecfc08aa80f49a3871e0fd0330c5d_tn.jpg']
34,4,['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）'],맛있게 잘 먹었어요~~  종종 시켜먹을께요,['https://rev-static.yogiyo.co.kr/084bcbb542990fbddc9b515293aa2269_tn.jpg']
35,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '우동', '냉소바']",오늘의초밥 또 시켜먹었어요!너무 맛있어요 우동이랑 같이시키면 꿀조합입니다!,['https://rev-static.yogiyo.co.kr/ac252376caf888f22fa9c3e9abadd8dd_tn.jpg']
36,4,"['새우모듬초밥（생새우3＋생새우아부리3＋찐새우2＋간장새우2＋치즈새우2）', '계란', '연어뱃살']",깔끔하고 회도 크고 맛있어요.  특히 치즈새우는 꼭 먹어야해요,[]
37,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '우동', '스파클링（파인애플맛） 355mL']",요기 초밥 신선데스,[]
38,4,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '타코야끼 5p']",잘먹엇습니다. 배달도 빠르고 좋네요.,[]
39,5,"['모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '냉소바', '새우튀김 5p']",초밥쟁이 초밥은 언제 먹어도 맛있어요!,[]
40,4,"['특선초밥（활어4＋김치광어1＋연어1＋오도로1＋황새치뱃살1＋민물장어1＋소고기1＋장새우1＋찐전복1）', '새우모듬초밥（생새우3＋생새우아부리3＋찐새우2＋간장새우2＋치즈새우2）', '냉소바', '유부', '콜라 355mL']",처음 시켰는데 맛있고 좋네요 ㅎㅎ 담에도 시켜먹을꺼 같은데 아쉬운점은 콜라시켰는데 같이 안왔네요 ㅠㅠ,[]
41,5,"['오늘의 초밥（활어3＋연어2＋참치1＋찐새우1＋계란1＋생새우1＋갑오징어1）', '모듬초밥（활어3＋김치광어1＋연어2＋참치1＋민물장어1＋소고기1＋간장새우1＋찐새우1）', '광어', '김치광어']",서비스로 나온 사시미까지 완벽! 너무 맛있어요 다음에 또 시켜먹을겁니다,[]
