,별점,주문메뉴,리뷰,사진
0,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],돼지냄새도 안나고 무김치는 조금 맵구요 양은 가격이 가격이니 만큼 있는거같고 국물도 많이 주고 혼자 고기먹고싶을때 자주 시킬듯,"['https://rev-static.yogiyo.co.kr/5c2778524c6473ace98716681dcc6f5a_tn.jpg', 'https://rev-static.yogiyo.co.kr/d65d0bee511ddce2fef4eb8d89c108e4_tn.jpg']"
1,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],배달시간이 좀 걸렸지만 너무 맛있었어요 감사합니다,[]
2,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],너무 맛있네요 1인분 구성 딱 좋아요,[]
3,4,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],배달도 빠르고 금액대비 구성도좋고 맛도 괜찮네요 종종 주문해서 먹을께요~,[]
4,3,"['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）', '김치왕만두（4개）']",다좋은대 막국수에 양념이....,['https://rev-static.yogiyo.co.kr/756dec75c5c35499606e0faaa63d992c_tn.jpg']
5,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],같이 오늘 어묵탕도 좋고 깔금해서 좋았습니다,['https://rev-static.yogiyo.co.kr/1b51f6de86bac5e0ab7ef9bf2f527e0e_tn.jpg']
6,4,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],맛있게 잘 먹었습니다.,[]
7,5,"['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）', '김치왕만두（4개）', '콜라 500mL']",덕분에 맛있는 저녁 먹었네요1인분으로 1부담없이 시키기좋아요,[]
8,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],맛있게 잘먹었습니다 ㅎㅎ,[]
9,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],간만에 포식...1인분 배달 너무 좋아요고기 먹고 샆을때마다 시킬게요,[]
10,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],오뎅탕이 정말 맛나요!!보쌈도 맛있고요 자주시키겠습니다,['https://rev-static.yogiyo.co.kr/28bdfefe1f7087447092ef45db3056f7_tn.jpg']
11,1,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],배달 1시간30분 다되서왔습니다 너무느림보쌈 양 좋아요 냄새도 안나고 깔끔합니다그리고 보쌈 너무질겨요 반찬들은 맛좋네요,[]
12,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],진짜 대박임닷~~!!!,[]
13,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],1인분으로 적당합니다,['https://rev-static.yogiyo.co.kr/3de2b18ac7c0ed8f7d4e8539e163fe4e_tn.jpg']
14,5,"['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）', '야채쌈세트']",올...보쌈 좋네요  ...욜 고기갯수만큼 쌈을줘야하는거아닌 가요??쌈추가도햇는데 ...ㅠㅠ오뎅국물정말맛잇어요...단골해야겟어요 ....야채좀 더주세요 고기 추가도 넣어주세여 ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/8cf17406e2fe336fb4978b84c19b16cd_tn.jpg']
15,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],배달음식 혼자먹기 부담스러운데1인분으로 가격저렴히 판매하고 맛도있고정말 잘먹었습니다!,[]
16,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],보쌈 먹고싶을때마다 다른곳들은 삼만원씩이라 못시키고있었는데 여기는 1인세트가 있어서 시켜봤어요. 보쌈 맛도 좋고 다음에도 또 시켜먹을꺼같습니다! 특히 막국수 들어있는데 완전 좋아용,[]
17,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],양도 적당하고 맛있어요,['https://rev-static.yogiyo.co.kr/48bc3f7e0f0509f4c338431d3d024bbc_tn.jpg']
18,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],"맛있었습니다.새우젖이 없는게 조금 아쉽고 쌈,마늘과 고추가 양이 작았네요.나머진 만족입니다.",['https://rev-static.yogiyo.co.kr/ed3f5df8d2e097420d7945a18d34d92c_tn.jpg']
19,5,"['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）', '야채쌈세트', '공기밥']",혼자서 다른집에서 3만원하는돈주고 먹어왔었는데 이렇게 가성비 좋은곳 처음보네요..단골예약입니다!!!! 너무맛있어요!!@,['https://rev-static.yogiyo.co.kr/ccb9285e6e8d85059596736ab2e2aeb8_tn.jpg']
20,5,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],또 먹어도 맛있었어요!,['https://rev-static.yogiyo.co.kr/22f1d28b08cd6248dc88759b9fbbbc38_tn.jpg']
21,4,['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）'],혼자 먹기 딱 좋구요 국도 따뜻하고 포장 깔끔하게 되서 옵니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/a2d7155198e7d457724be6476af71d2b_tn.jpg']
22,5,"['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）', '야채쌈세트']",야채추가하고 먹었는데 양 매우 굿 이 가격에 보쌈이라니 완전 좋아요ㅠㅠ 오뎅탕도 시원하게 맛있네요 잘먹었습니다,['https://rev-static.yogiyo.co.kr/d4400437b94ac5a27ca937e4cf5f7a43_tn.jpg']
23,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],혼자 먹기에 보쌈은 늘 어정쩡한 가격대와 양이라서 여태 주문 한 적 없었는데 착한가격에 배불리 맛있게 먹었습니다리뷰 보시는 님들 여기서 시켜도 후회안해요,[]
24,5,['바로보쌈 가족세트 中（가마솥보쌈＋쟁반막국수＋무절임김치＋겉절이김치＋야채쌈세트＋절임백채＋즉석오뎅탕＋콜라500mL）'],양은 둘이서 먹어서 배불러서 조금 남을정도로 적당하구요.맛은 정말 맛있습니다 고기도 두껍고 특히 무말랭이랑 마늘 소스가 정말맛있네요. 다음에 먹을때도 마늘소스 또 시켜먹을 예정....ㅋㅋ 번창하세요!,['https://rev-static.yogiyo.co.kr/72b977166f7748ab185591b91d11b6b7_tn.jpg']
25,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],밥이 없는것을 확인하지 못한건 제 불찰이네요,[]
26,5,['1人 바로보쌈세트（가마솥보쌈＋무절임김치＋야채쌈세트＋홀로록막국수＋오뎅탕）'],ㅂ인분 딱 좋아요,[]
27,4,"['1人 보쌈정식세트（가마솥보쌈＋무절임김치＋야채쌈세트＋즉석오뎅탕＋공기밥）', '고기추가 ']",맛하고 양은 혼자먹기 딱이였는데 비계부분이 많아서 좀 느끼했습니다ㅠㅠ ㅑ,[]
28,5,['바로보쌈 가족세트 小（가마솥보쌈＋쟁반막국수＋무절임김치＋겉절이김치＋야채쌈세트＋절임백채＋즉석오뎅탕＋콜라500mL）'],고기가 매우 부드러워요~ 배달시간은 예상보다 조금더 걸렸지만 전체적으로 맛있게 잘먹었네요~!,['https://rev-static.yogiyo.co.kr/ceae672454b3d3baa3b1902a1b89039f_tn.jpg']
29,5,['바로보쌈 가족세트 中（가마솥보쌈＋쟁반막국수＋무절임김치＋겉절이김치＋야채쌈세트＋절임백채＋즉석오뎅탕＋콜라500mL）'],맛있게다잘먹었어요다만고기가조금큰듯? 하네요..ㅎ,[]
