,별점,주문메뉴,리뷰,사진
0,4,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택2(양념', '치킨양념 선택3(치링클', '음료 추가 선택(음료 변경 안함', '추가 선택(주먹밥 추', '순살로 변경)']",맛있게 잘 먹었습니다 다음에 또 먹을게요,[]
1,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택2(간장', '치킨양념 선택3(치링클', '음료 추가 선택(콜라1.25L로 변경)']",처음보는 치킨이엿지만 두려움을 극복하고 한입 먹었을때이것이다 라는 느낌을 받았습니다 ㅅ,[]
2,5,"['후라이드치킨', '김말이 8개']",맛있어요!!!!!!!,[]
3,3,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택2(간장', '치킨양념 선택3(후라이드', '음료 추가 선택(음료 변경 안함)']",가격에 비해 양도 많고 배달은 30분만에 왔네요치요남이 워낙 맛있단 얘기를 들어서인지 기대치가 높았나봐요 ㅠ생각보다는 그냥 평범했고 닭이 속까지 완전히 익지는 않아서 왔어요 뼈에붙은 살이 잘 안뜯기고 그랬네요,[]
4,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(허니타드', '치킨양념 선택3(간장', '음료 추가 선택(콜라1.25L로 변경', '추가 선택(머스터드딥핑소스 추', '치즈스틱8개 추가)']",한마리인거죠? ㅋㅋ그래도맛있으니ㅋㅋ담에또시킵니당ㅎ,[]
5,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(양념', '치킨양념 선택3(매운양념', '음료 추가 선택(콜라1.25L로 변경)']",배달도 빠르게 오고 양도 괜찮았어요! 그리고 배달해주시는 사장님이 친절하셔서 기분 좋게 먹었습니다~ 다음에 또 시킬게요~,[]
6,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(깐풍', '치킨양념 선택3(간장', '음료 추가 선택(음료 변경 안함', '추가 선택(떡볶이 추가)']",맛있는데양이적은것같아서아쉬워요ㅠ,[]
7,5,"['치헌팅세트（치킨 택1＋국물닭발＋콜라500mL）', '음료 추가 선택(콜라1.25L로 변경', '추가 선택(주먹밥 추가)']","우연히 손님분이 사다주셔서 전화주문하다가 요기요에 생겨서부턴 요기요로 주문해서 먹고있어요! 치킨도 맛있구 특히 깐풍ㅋㅋ 넘 맛있어요!요새 떡볶이, 곱창, 닭발등 다양한 요리랑도 시켜먹고있는데 항상 만족입니당!다음에도 쭉 이랬으면 좋겠네요^^아참 닭발은 좀 더 익혀도될것같아여",[]
8,5,"['치헌팅세트（치킨 택1＋국물닭발＋콜라500mL）', '음료 추가 선택(콜라1.25L로 변경', '추가 선택(주먹밥 추가)']","오늘 닭발 익기는 딱 좋앗습니당저번리뷰에서 닭발 좀 더 익혀도 좋겟다햇는데오늘은 딱좋앗어여ㅋㅋㅋㅋ깐풍에 웨지감자, 치즈스틱 핵맛!! 깐풍드시는 분들 이렇게 드셔보세영 더 맛나여항상 너무 맛있어요♡아시나요? 원래 시켜먹는집있는데 여기로 아예 바꿨어요..ㅋㅋㅋㅋㅋ 그리구 서비스 감사해용!근데 다음번엔....꼭...잊지말구ㅠㅠㅠㅠㅠㅠㅠㅠ무슨말인지 아시죠?ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ","['https://rev-static.yogiyo.co.kr/06c77dfc011e66633da9ea2028da2575_tn.jpg', 'https://rev-static.yogiyo.co.kr/cd14b1b3555be5801c0e084727581fc8_tn.jpg', 'https://rev-static.yogiyo.co.kr/8967c0045e5c1957e084130cbb3beaa8_tn.jpg']"
9,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '추가 선택(순살로 변경', '치킨양념 선택1(후라이드', '치킨양념 선택2(매운양념', '치킨양념 선택3(간장)']",순살치킨 맛있어요,[]
10,5,"['치야곱세트（치킨 택1＋곱창볶음＋주먹밥＋콜라500mL）', '음료 추가 선택(음료 변경 안함)']",맛있어요!! 강추!!!,[]
11,3,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(양념', '치킨양념 선택3(간장', '음료 추가 선택(음료 변경 안함', '추가 선택(주먹밥 추가)']",처음시켜먹었는데 맛있었어요👍,['https://rev-static.yogiyo.co.kr/719d56a4821eaf24d982cd9edc05bc01_tn.jpg']
12,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택1(후라이드', '치킨양념 선택2(간장', '치킨양념 선택3(깐풍)']",너무 마있땅 ㅎㅎㅎㅎ,[]
13,4,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택1(간장', '치킨양념 선택2(치링클', '치킨양념 선택3(후라이드)']",야근후 배고파서 끌린 치요남!가족들과 배불리 잘먹었어요개취로는 역시.. 간장인것같아요맥주한캔먹구 자야겠어요배달이 한시간걸렸지만 불금이라 그런거니 ㅠㅠ,['https://rev-static.yogiyo.co.kr/ca644989530a9105ea2226dfba774804_tn.jpg']
14,5,['매운양념치킨'],맛납니다 추천해요^^,[]
15,5,"['치야곱세트（치킨 택1＋곱창볶음＋주먹밥＋콜라500mL）', '음료 추가 선택(음료 변경 안함', '치킨양념 선택1(양념)']",양념 추가가 양념을 따로 주시는건줄 알고 선택했는데양념치킨이 와서 당황했지만맛있게먹었어요곱창에 파대신 양배추있으면 더 좋겠어요맛있었습니다지난번엔 배달 빨랐었는데요번엔 한시간이나 걸렸네욤 ㅜㅜ,[]
16,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(치링클', '치킨양념 선택3(간장', '음료 추가 선택(음료 변경 안함)']",맛있어요ㅠㅜㅜㅜ또먹고싶어요,[]
17,3,"['치헌팅세트（치킨 택1＋국물닭발＋콜라500mL）', '음료 추가 선택(음료 변경 안함', '추가 선택(주먹밥 추가', '치킨양념 선택1(양념)']",잘먹었습니당ㅎㅎㅎㅎ,[]
18,1,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(양념', '치킨양념 선택3(치링클', '음료 추가 선택(음료 변경 안함)']","맛도, 양도 너무 실망스럽습니다",[]
19,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '추가 선택(순살로 변경', '치킨양념 선택1(깐풍', '치킨양념 선택2(후라이드', '치킨양념 선택3(양념)']",맛있게 잘 먹었습니다,[]
20,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(양념', '치킨양념 선택3(깐풍', '음료 추가 선택(음료 변경 안함', '추가 선택(순살로 변경)']",맛볼수있는치킨이 많아서좋네요,[]
21,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(치링클', '치킨양념 선택3(레드케인', '음료 추가 선택(음료 변경 안함)']","처음 시켜봤는데 맛있습니다, 추천!",['https://rev-static.yogiyo.co.kr/b16899402afbc6b34e2e7acd4567550f_tn.jpg']
22,5,"['패밀리 한마리 반반반세트 1~2人（치킨양념 택3＋캔콜라）', '치킨양념 선택2(간장', '치킨양념 선택3(깐풍', '음료 추가 선택(음료 변경 안함', '추가 선택(순살로 변경)']",배달 시간이 표기된 것과 같아서 좋았어요!양은..처음봤을 땐 적게 느껴졌는데 이 정도면 괜찮은 거 같아요!간장이랑 깐풍 추천 드려요 💕맛있게 잘 먹었습니다 !!,"['https://rev-static.yogiyo.co.kr/bb0d13fc5e14c4149a9636a4e70b97e1_tn.jpg', 'https://rev-static.yogiyo.co.kr/20732de8f36fe83dea6b99bf264d0938_tn.jpg']"
23,5,"['치갈비세트（치킨 택1＋닭갈비＋주먹밥＋콜라500mL）', '음료 추가 선택(음료 변경 안함', '추가 선택(순살로 변경', '치킨양념 선택1(후라이드)']",먹을 만 합니다 ㅇ,['https://rev-static.yogiyo.co.kr/fdb561e953d2498d2ff9f5f20373c681_tn.jpg']
24,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '추가 선택(치킨마요덮밥 추가', '치킨양념 선택1(후라이드', '치킨양념 선택2(간장', '치킨양념 선택3(깐풍)']",맛있었어욥!! 조만간 또,[]
25,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택1(레드케인', '치킨양념 선택2(깐풍', '치킨양념 선택3(치링클)']",항상 시켜먹어서 할말이 없습니다!!방금 또 주문 한 1인!! 맥주 사러 갑니다 ㅋㅋ,[]
26,5,"['패밀리 두마리 반반반세트 3~4人（치킨양념 택3＋＋콜라500mL）', '치킨양념 선택1(매운양념', '치킨양념 선택2(후라이드', '치킨양념 선택3(간장)']",진짜 맛있고 치킨에 비해서 너무 싸서 좋았어요 맛있게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/1142433dab8e7331685628b940c7b5fe_tn.jpg']
